MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
233.0,IN_UNDER_CONSTRUCTION,1.0,O,This application is under construction.,SASHELP.FSP.OK.SLIST
266.0,IN_CONFIRM_SAVE,1.0,Q,"Are you sure you wish to save changes to: %1$ ?%N%NUse Ok to save, Cancel to quit.",SASHELP.FSP.OC.SLIST
268.0,IO_SASAPPL_NOTEXIST,1.0,N,%LNo EIS application databases exist in the data library referenced by the path ( %1$ ).,SASHELP.FSP.OK.SLIST
286.0,IN_HIER_LEV_USED,1.0,N,Hierarchy level(s) %1$ already displayed.,SASHELP.FSP.OK.SLIST
286.0,IN_HIER_LEV_USED,2.0,N,Displaying hierarchy level %2$.,SASHELP.FSP.OK.SLIST
287.0,IN_ALL_HIER_LEV_USED,1.0,N,All levels of the %1$ hierarchy are currently displayed.,SASHELP.FSP.OK.SLIST
288.0,IN_COLUMNS_REMOVED,1.0,E,A column may appear only once.,SASHELP.FSP.OK.SLIST
288.0,IN_COLUMNS_REMOVED,2.0,E,Redundant columns selections for %1$ were removed.,SASHELP.FSP.OK.SLIST
290.0,IN_CHANGES_CANCELED,1.0,N,A column may appear only once.,SASHELP.FSP.OK.SLIST
290.0,IN_CHANGES_CANCELED,2.0,N,Changes canceled due to multiple uses of %1$ .,SASHELP.FSP.OK.SLIST
293.0,IN_NOT_A_HIER,1.0,E,The selected cell does not contain a hierarchy.,SASHELP.FSP.OK.SLIST
294.0,IN_NO_DUP_COLUMNS,1.0,E,Duplicate columns are not allowed in calculation.,SASHELP.FSP.OK.SLIST
295.0,IN_EQUATION_COMPLETE,1.0,N,Equation is complete. Press Define.,SASHELP.FSP.OK.SLIST
296.0,IN_NEEDS_MORE_DATA,1.0,E,Calculation requires more data. Please choose a column.,SASHELP.FSP.OK.SLIST
297.0,IN_COLUMN_USED_IN_CALC,1.0,E,Column is used in calculation of %1$.,SASHELP.FSP.OK.SLIST
298.0,IN_DESC_MUST_BE_UNIQUE,1.0,E,Description must be unique.,SASHELP.FSP.OK.SLIST
305.0,IN_WNAME_COPYREG_NONMB,1.0,O,SAS/EIS: Copy,SASHELP.FSP.OK.SLIST
311.0,IO_DESCRIP_REQUIRED,1.0,E,%lDescription is required.,SASHELP.FSP.OK.SLIST
312.0,IO_ALIAS_REQUIRED,1.0,E,%lAlias is required.,SASHELP.FSP.OK.SLIST
313.0,IO_PATH_REQUIRED,1.0,E,%lPath is required.,SASHELP.FSP.OK.SLIST
314.0,IO_ALIAS_INVALID,1.0,E,%lAlias is not a valid SAS name.,SASHELP.FSP.OK.SLIST
315.0,IO_DEVICE_INVALID,1.0,E,%lDevice in not valid.,SASHELP.FSP.OK.SLIST
317.0,IN_NOT_A_HIER_VAR,1.0,W,The variable is not part of a hierarchy.,SASHELP.FSP.OK.SLIST
318.0,IO_FILENAME_NOTEXIST,1.0,N,"%lHotspots and ranges cannot be defined because the filename, %1$, does not exist or cannot be read.",SASHELP.FSP.OK.SLIST
319.0,IO_FILEREF1_NOTEXIST,1.0,N,"%lHotspots and ranges cannot be defined because the fileref, %1$, has not been assigned. The output cannot be displayed.",SASHELP.FSP.OK.SLIST
320.0,IO_FILEREF2_NOTEXIST,1.0,N,"%lHotspots and ranges cannot be defined because the fileref, %1$, points to a file that does not exist or cannot be read.",SASHELP.FSP.OK.SLIST
