libname,memname
MAPS,TAIWAN2
MAPS,TAJIKIS2
MAPS,TAJIKIST
MAPS,TDESC
MAPS,TDESCE
MAPS,THAILAN2
MAPS,THAILAND
MAPS,TOKYO
MAPS,TRINIDA2
MAPS,TRINIDAD
MAPS,TUNISIA
MAPS,TUNISIA2
MAPS,TURKEY
MAPS,TURKEY2
MAPS,TURKMEN2
MAPS,TURKMENI
MAPS,UK
MAPS,UK2
MAPS,UKRAINE
MAPS,UKRAINE2
MAPS,URUGUAY
MAPS,URUGUAY2
MAPS,US
MAPS,US2
MAPS,USCENTER
MAPS,USCITY
MAPS,USCOUNTY
MAPS,UZBEKIS2
MAPS,UZBEKIST
MAPS,VENEZUE2
MAPS,VENEZUEL
MAPS,VIETNAM
MAPS,VIETNAM2
MAPS,WESTBAN2
MAPS,WESTBANK
MAPS,WORLD
MAPS,ZAIRE
MAPS,ZAIRE2
MAPSGFK,AFGHANISTAN
MAPSGFK,AFGHANISTAN_ATTR
MAPSGFK,AFRICA
MAPSGFK,AFRICA1
MAPSGFK,AFRICA1_ATTR
MAPSGFK,AFRICA2
MAPSGFK,AFRICA2_ATTR
MAPSGFK,AFRICA_ATTR
MAPSGFK,ALBANIA
MAPSGFK,ALBANIA_ATTR
MAPSGFK,ALGERIA
MAPSGFK,ALGERIA_ATTR
MAPSGFK,ANDORRA
MAPSGFK,ANDORRA_ATTR
MAPSGFK,ANGOLA
MAPSGFK,ANGOLA_ATTR
MAPSGFK,ANTARCTICA
MAPSGFK,ANTARCTICA1
MAPSGFK,ANTARCTICA1_ATTR
MAPSGFK,ANTARCTICA_ATTR
MAPSGFK,ARGENTINA
MAPSGFK,ARGENTINA_ATTR
MAPSGFK,ARMENIA
MAPSGFK,ARMENIA_ATTR
MAPSGFK,ASIA
MAPSGFK,ASIA1
MAPSGFK,ASIA1_ATTR
MAPSGFK,ASIA2
MAPSGFK,ASIA2_ATTR
MAPSGFK,ASIA3
MAPSGFK,ASIA3_ATTR
MAPSGFK,ASIA_ATTR
MAPSGFK,AUSTRALIA
MAPSGFK,AUSTRALIA_ALL
MAPSGFK,AUSTRALIA_ALL_ATTR
MAPSGFK,AUSTRALIA_ATTR
MAPSGFK,AUSTRIA
MAPSGFK,AUSTRIA_ATTR
MAPSGFK,AZERBAIJAN
MAPSGFK,AZERBAIJAN_ATTR
MAPSGFK,BAHRAIN
MAPSGFK,BAHRAIN_ATTR
MAPSGFK,BANGLADESH
MAPSGFK,BANGLADESH_ATTR
MAPSGFK,BELARUS
MAPSGFK,BELARUS_ATTR
MAPSGFK,BELGIUM
MAPSGFK,BELGIUM_ATTR
MAPSGFK,BELIZE
MAPSGFK,BELIZE_ATTR
MAPSGFK,BENIN
MAPSGFK,BENIN_ATTR
MAPSGFK,BERMUDA
MAPSGFK,BERMUDA_ATTR
MAPSGFK,BHUTAN
MAPSGFK,BHUTAN_ATTR
MAPSGFK,BOLIVIA
MAPSGFK,BOLIVIA_ATTR
MAPSGFK,BOSNIA_HERZEGOVINA
MAPSGFK,BOSNIA_HERZEGOVINA_ATTR
MAPSGFK,BOTSWANA
MAPSGFK,BOTSWANA_ATTR
MAPSGFK,BRAZIL
MAPSGFK,BRAZIL_ATTR
MAPSGFK,BRUNEI_DARUSSALAM
MAPSGFK,BRUNEI_DARUSSALAM_ATTR
MAPSGFK,BULGARIA
MAPSGFK,BULGARIA_ATTR
MAPSGFK,BURKINA_FASO
MAPSGFK,BURKINA_FASO_ATTR
MAPSGFK,BURUNDI
MAPSGFK,BURUNDI_ATTR
MAPSGFK,CAMBODIA
MAPSGFK,CAMBODIA_ATTR
MAPSGFK,CAMEROON
MAPSGFK,CAMEROON_ATTR
MAPSGFK,CANADA
MAPSGFK,CANADA_ATTR
MAPSGFK,CAPE_VERDE
MAPSGFK,CAPE_VERDE_ATTR
MAPSGFK,CARIBBEAN
MAPSGFK,CARIBBEAN_ATTR
MAPSGFK,CENTRAL_AFRICAN_REPUBLIC
MAPSGFK,CENTRAL_AFRICAN_REPUBLIC_ATTR
MAPSGFK,CHAD
MAPSGFK,CHAD_ATTR
MAPSGFK,CHILE
MAPSGFK,CHILE_ATTR
MAPSGFK,CHINA
MAPSGFK,CHINA_ATTR
MAPSGFK,COLOMBIA
MAPSGFK,COLOMBIA_ATTR
MAPSGFK,COMOROS
MAPSGFK,COMOROS_ATTR
MAPSGFK,CONGO
MAPSGFK,CONGO_ATTR
MAPSGFK,COSTA_RICA
MAPSGFK,COSTA_RICA_ATTR
MAPSGFK,CROATIA
MAPSGFK,CROATIA_ATTR
MAPSGFK,CYPRUS
MAPSGFK,CYPRUS_ATTR
MAPSGFK,CZECH_REPUBLIC
MAPSGFK,CZECH_REPUBLIC_ATTR
MAPSGFK,DENMARK
MAPSGFK,DENMARK_ALL
MAPSGFK,DENMARK_ALL_ATTR
MAPSGFK,DENMARK_ATTR
MAPSGFK,DJIBOUTI
MAPSGFK,DJIBOUTI_ATTR
MAPSGFK,DR_CONGO
MAPSGFK,DR_CONGO_ATTR
MAPSGFK,ECUADOR
MAPSGFK,ECUADOR_ATTR
MAPSGFK,EGYPT
MAPSGFK,EGYPT_ATTR
MAPSGFK,EL_SALVADOR
MAPSGFK,EL_SALVADOR_ATTR
MAPSGFK,EQUATORIAL_GUINEA
MAPSGFK,EQUATORIAL_GUINEA_ATTR
MAPSGFK,ERITREA
MAPSGFK,ERITREA_ATTR
MAPSGFK,ESTONIA
MAPSGFK,ESTONIA_ATTR
MAPSGFK,ETHIOPIA
MAPSGFK,ETHIOPIA_ATTR
MAPSGFK,EUROPE
MAPSGFK,EUROPE1
MAPSGFK,EUROPE1_ATTR
MAPSGFK,EUROPE2
MAPSGFK,EUROPE2_ATTR
MAPSGFK,EUROPE3
MAPSGFK,EUROPE3_ATTR
MAPSGFK,EUROPENUTS0
MAPSGFK,EUROPENUTS0_ATTR
MAPSGFK,EUROPENUTS1
MAPSGFK,EUROPENUTS1_ATTR
MAPSGFK,EUROPENUTS2
MAPSGFK,EUROPENUTS2_ATTR
MAPSGFK,EUROPENUTS3
MAPSGFK,EUROPENUTS3_ATTR
MAPSGFK,EUROPE_ATTR
MAPSGFK,FALKLAND_ISLANDS
MAPSGFK,FALKLAND_ISLANDS_ATTR
MAPSGFK,FAROE_ISLANDS
MAPSGFK,FAROE_ISLANDS_ATTR
MAPSGFK,FINLAND
MAPSGFK,FINLAND_ATTR
MAPSGFK,FRANCE
MAPSGFK,FRANCE_ALL
MAPSGFK,FRANCE_ALL_ATTR
MAPSGFK,FRANCE_ATTR
MAPSGFK,FRENCH_GUIANA
MAPSGFK,FRENCH_GUIANA_ATTR
MAPSGFK,GABON
MAPSGFK,GABON_ATTR
MAPSGFK,GAMBIA
MAPSGFK,GAMBIA_ATTR
MAPSGFK,GEORGIA
MAPSGFK,GEORGIA_ATTR
MAPSGFK,GERMANY
MAPSGFK,GERMANY_ATTR
MAPSGFK,GHANA
MAPSGFK,GHANA_ATTR
MAPSGFK,GIBRALTAR
MAPSGFK,GIBRALTAR_ATTR
MAPSGFK,GREECE
MAPSGFK,GREECE_ATTR
MAPSGFK,GREENLAND
MAPSGFK,GREENLAND_ATTR
MAPSGFK,GUATEMALA
MAPSGFK,GUATEMALA_ATTR
MAPSGFK,GUERNSEY
MAPSGFK,GUERNSEY_ATTR
MAPSGFK,GUINEA
MAPSGFK,GUINEA_ATTR
MAPSGFK,GUINEA_BISSAU
MAPSGFK,GUINEA_BISSAU_ATTR
MAPSGFK,GUYANA
MAPSGFK,GUYANA_ATTR
MAPSGFK,HONDURAS
MAPSGFK,HONDURAS_ATTR
MAPSGFK,HUNGARY
MAPSGFK,HUNGARY_ATTR
MAPSGFK,ICELAND
MAPSGFK,ICELAND_ATTR
MAPSGFK,INDIA
MAPSGFK,INDIA_ATTR
MAPSGFK,INDONESIA
MAPSGFK,INDONESIA_ATTR
MAPSGFK,IRAN
MAPSGFK,IRAN_ATTR
MAPSGFK,IRAQ
MAPSGFK,IRAQ_ATTR
MAPSGFK,IRELAND
MAPSGFK,IRELAND_ATTR
MAPSGFK,ISLE_OF_MAN
MAPSGFK,ISLE_OF_MAN_ATTR
MAPSGFK,ISRAEL
MAPSGFK,ISRAEL_ATTR
MAPSGFK,ITALY
MAPSGFK,ITALY_ATTR
MAPSGFK,IVORY_COAST
MAPSGFK,IVORY_COAST_ATTR
MAPSGFK,JAPAN
MAPSGFK,JAPAN_ATTR
MAPSGFK,JERSEY
MAPSGFK,JERSEY_ATTR
MAPSGFK,JORDAN
MAPSGFK,JORDAN_ATTR
MAPSGFK,KAZAKHSTAN
MAPSGFK,KAZAKHSTAN_ATTR
MAPSGFK,KENYA
MAPSGFK,KENYA_ATTR
MAPSGFK,KOSOVO
MAPSGFK,KOSOVO_ATTR
MAPSGFK,KUWAIT
MAPSGFK,KUWAIT_ATTR
MAPSGFK,KYRGYZSTAN
MAPSGFK,KYRGYZSTAN_ATTR
MAPSGFK,LAOS
MAPSGFK,LAOS_ATTR
MAPSGFK,LATVIA
MAPSGFK,LATVIA_ATTR
MAPSGFK,LEBANON
MAPSGFK,LEBANON_ATTR
MAPSGFK,LESOTHO
MAPSGFK,LESOTHO_ATTR
MAPSGFK,LIBERIA
MAPSGFK,LIBERIA_ATTR
MAPSGFK,LIBYA
MAPSGFK,LIBYA_ATTR
MAPSGFK,LIECHTENSTEIN
MAPSGFK,LIECHTENSTEIN_ATTR
MAPSGFK,LITHUANIA
MAPSGFK,LITHUANIA_ATTR
MAPSGFK,LUXEMBOURG
MAPSGFK,LUXEMBOURG_ATTR
MAPSGFK,MACEDONIA
MAPSGFK,MACEDONIA_ATTR
MAPSGFK,MADAGASCAR
MAPSGFK,MADAGASCAR_ATTR
MAPSGFK,MALAWI
MAPSGFK,MALAWI_ATTR
MAPSGFK,MALAYSIA
MAPSGFK,MALAYSIA_ATTR
MAPSGFK,MALDIVES
MAPSGFK,MALDIVES_ATTR
MAPSGFK,MALI
MAPSGFK,MALI_ATTR
MAPSGFK,MALTA
MAPSGFK,MALTA_ATTR
MAPSGFK,MAURITANIA
MAPSGFK,MAURITANIA_ATTR
MAPSGFK,MAURITIUS
MAPSGFK,MAURITIUS_ATTR
MAPSGFK,MAYOTTE
MAPSGFK,MAYOTTE_ATTR
MAPSGFK,MEXICO
MAPSGFK,MEXICO_ATTR
MAPSGFK,MOLDOVA
MAPSGFK,MOLDOVA_ATTR
MAPSGFK,MONACO
MAPSGFK,MONACO_ATTR
MAPSGFK,MONGOLIA
MAPSGFK,MONGOLIA_ATTR
MAPSGFK,MONTENEGRO
MAPSGFK,MONTENEGRO_ATTR
MAPSGFK,MOROCCO
MAPSGFK,MOROCCO_ATTR
MAPSGFK,MOZAMBIQUE
MAPSGFK,MOZAMBIQUE_ATTR
MAPSGFK,MYANMAR
MAPSGFK,MYANMAR_ATTR
MAPSGFK,NAMERICA
MAPSGFK,NAMERICA1
MAPSGFK,NAMERICA1_ATTR
MAPSGFK,NAMERICA2
MAPSGFK,NAMERICA2_ATTR
MAPSGFK,NAMERICA_ATTR
MAPSGFK,NAMIBIA
MAPSGFK,NAMIBIA_ATTR
MAPSGFK,NEPAL
MAPSGFK,NEPAL_ATTR
MAPSGFK,NETHERLANDS
MAPSGFK,NETHERLANDS_ALL
MAPSGFK,NETHERLANDS_ALL_ATTR
MAPSGFK,NETHERLANDS_ATTR
MAPSGFK,NICARAGUA
MAPSGFK,NICARAGUA_ATTR
MAPSGFK,NIGER
MAPSGFK,NIGERIA
MAPSGFK,NIGERIA_ATTR
MAPSGFK,NIGER_ATTR
MAPSGFK,NORTH_KOREA
MAPSGFK,NORTH_KOREA_ATTR
MAPSGFK,NORWAY
MAPSGFK,NORWAY_ALL
MAPSGFK,NORWAY_ALL_ATTR
MAPSGFK,NORWAY_ATTR
MAPSGFK,NZ
MAPSGFK,NZ_ATTR
MAPSGFK,OCEANIA
MAPSGFK,OCEANIA1
MAPSGFK,OCEANIA1_ATTR
MAPSGFK,OCEANIA2
MAPSGFK,OCEANIA2_ATTR
MAPSGFK,OCEANIA_ATTR
MAPSGFK,OMAN
MAPSGFK,OMAN_ATTR
MAPSGFK,PAKISTAN
MAPSGFK,PAKISTAN_ATTR
MAPSGFK,PANAMA
MAPSGFK,PANAMA_ATTR
MAPSGFK,PAPUA_NEW_GUINEA
MAPSGFK,PAPUA_NEW_GUINEA_ATTR
MAPSGFK,PARAGUAY
MAPSGFK,PARAGUAY_ATTR
MAPSGFK,PERU
MAPSGFK,PERU_ATTR
MAPSGFK,PHILIPPINES
MAPSGFK,PHILIPPINES_ATTR
MAPSGFK,POLAND
MAPSGFK,POLAND_ATTR
MAPSGFK,PORTUGAL
MAPSGFK,PORTUGAL_ATTR
MAPSGFK,PROJPARM
MAPSGFK,QATAR
MAPSGFK,QATAR_ATTR
MAPSGFK,README
MAPSGFK,REUNION
MAPSGFK,REUNION_ATTR
MAPSGFK,ROMANIA
MAPSGFK,ROMANIA_ATTR
MAPSGFK,RUSSIA
MAPSGFK,RUSSIA_ATTR
MAPSGFK,RWANDA
MAPSGFK,RWANDA_ATTR
MAPSGFK,SAMERICA
MAPSGFK,SAMERICA1
MAPSGFK,SAMERICA1_ATTR
MAPSGFK,SAMERICA2
MAPSGFK,SAMERICA2_ATTR
MAPSGFK,SAMERICA_ATTR
MAPSGFK,SAN_MARINO
MAPSGFK,SAN_MARINO_ATTR
MAPSGFK,SAO_TOME_PRINCIPE
MAPSGFK,SAO_TOME_PRINCIPE_ATTR
MAPSGFK,SAUDI_ARABIA
MAPSGFK,SAUDI_ARABIA_ATTR
MAPSGFK,SENEGAL
MAPSGFK,SENEGAL_ATTR
MAPSGFK,SERBIA
MAPSGFK,SERBIA_ATTR
MAPSGFK,SEYCHELLES
MAPSGFK,SEYCHELLES_ATTR
MAPSGFK,SIERRA_LEONE
MAPSGFK,SIERRA_LEONE_ATTR
MAPSGFK,SINGAPORE
MAPSGFK,SINGAPORE_ATTR
MAPSGFK,SLOVAKIA
MAPSGFK,SLOVAKIA_ATTR
MAPSGFK,SLOVENIA
MAPSGFK,SLOVENIA_ATTR
MAPSGFK,SOMALIA
MAPSGFK,SOMALIA_ATTR
MAPSGFK,SOUTH_AFRICA
MAPSGFK,SOUTH_AFRICA_ATTR
MAPSGFK,SOUTH_GEORGIA_ISLANDS
MAPSGFK,SOUTH_GEORGIA_ISLANDS_ATTR
MAPSGFK,SOUTH_KOREA
MAPSGFK,SOUTH_KOREA_ATTR
MAPSGFK,SOUTH_SUDAN
MAPSGFK,SOUTH_SUDAN_ATTR
MAPSGFK,SPAIN
MAPSGFK,SPAIN_ATTR
MAPSGFK,SRI_LANKA
MAPSGFK,SRI_LANKA_ATTR
MAPSGFK,SUDAN
MAPSGFK,SUDAN_ATTR
MAPSGFK,SURINAME
MAPSGFK,SURINAME_ATTR
MAPSGFK,SVALBARD_JAN_MAYEN_ISLANDS
MAPSGFK,SVALBARD_JAN_MAYEN_ISLANDS_ATTR
MAPSGFK,SWAZILAND
MAPSGFK,SWAZILAND_ATTR
MAPSGFK,SWEDEN
MAPSGFK,SWEDEN_ATTR
MAPSGFK,SWITZERLAND
MAPSGFK,SWITZERLAND_ATTR
MAPSGFK,SYRIA
MAPSGFK,SYRIA_ATTR
MAPSGFK,TAIWAN
MAPSGFK,TAIWAN_ATTR
MAPSGFK,TAJIKISTAN
MAPSGFK,TAJIKISTAN_ATTR
MAPSGFK,TANZANIA
MAPSGFK,TANZANIA_ATTR
MAPSGFK,THAILAND
MAPSGFK,THAILAND_ATTR
MAPSGFK,TIMOR_LESTE
MAPSGFK,TIMOR_LESTE_ATTR
MAPSGFK,TOGO
MAPSGFK,TOGO_ATTR
MAPSGFK,TUNISIA
MAPSGFK,TUNISIA_ATTR
MAPSGFK,TURKEY
MAPSGFK,TURKEY_ATTR
MAPSGFK,TURKMENISTAN
MAPSGFK,TURKMENISTAN_ATTR
MAPSGFK,UGANDA
MAPSGFK,UGANDA_ATTR
MAPSGFK,UK
MAPSGFK,UKRAINE
MAPSGFK,UKRAINE_ATTR
MAPSGFK,UK_ALL
MAPSGFK,UK_ALL_ATTR
MAPSGFK,UK_ATTR
MAPSGFK,UNITED_ARAB_EMIRATES
MAPSGFK,UNITED_ARAB_EMIRATES_ATTR
MAPSGFK,URUGUAY
MAPSGFK,URUGUAY_ATTR
MAPSGFK,US
MAPSGFK,USCENTER
MAPSGFK,USCENTER_ALL
MAPSGFK,USCITY
MAPSGFK,USCITY_ALL
MAPSGFK,US_ALL
MAPSGFK,US_ALL_ATTR
MAPSGFK,US_COUNTIES
MAPSGFK,US_COUNTIES_ATTR
MAPSGFK,US_STATES
MAPSGFK,US_STATES_ATTR
MAPSGFK,UZBEKISTAN
MAPSGFK,UZBEKISTAN_ATTR
MAPSGFK,VATICAN_CITY
MAPSGFK,VATICAN_CITY_ATTR
MAPSGFK,VENEZUELA
MAPSGFK,VENEZUELA_ATTR
MAPSGFK,VIET_NAM
MAPSGFK,VIET_NAM_ATTR
MAPSGFK,WESTERN_SAHARA
MAPSGFK,WESTERN_SAHARA_ATTR
MAPSGFK,WORLD
MAPSGFK,WORLD_ATTR
MAPSGFK,WORLD_CITIES
MAPSGFK,YEMEN
MAPSGFK,YEMEN_ATTR
MAPSGFK,ZAMBIA
MAPSGFK,ZAMBIA_ATTR
MAPSGFK,ZIMBABWE
MAPSGFK,ZIMBABWE_ATTR
MAPSSAS,AFGHANI2
MAPSSAS,AFGHANIS
MAPSSAS,AFRICA
MAPSSAS,AFRICA2
MAPSSAS,ALGERIA
MAPSSAS,ALGERIA2
MAPSSAS,ANDORRA
MAPSSAS,ANDORRA2
MAPSSAS,ANOMALY
MAPSSAS,ANTARCT2
MAPSSAS,ANTARCTI
MAPSSAS,ARGENTI2
MAPSSAS,ARGENTIN
MAPSSAS,ARMENIA
MAPSSAS,ARMENIA2
MAPSSAS,ASIA
MAPSSAS,ASIA2
MAPSSAS,AUSTRAL
MAPSSAS,AUSTRAL2
MAPSSAS,AUSTRIA
MAPSSAS,AUSTRIA2
MAPSSAS,AZERBAI2
MAPSSAS,AZERBAIJ
MAPSSAS,BANGLAD2
MAPSSAS,BANGLADE
MAPSSAS,BELARUS
MAPSSAS,BELARUS2
MAPSSAS,BELGIUM
MAPSSAS,BELGIUM2
MAPSSAS,BELIZE
MAPSSAS,BELIZE2
MAPSSAS,BHUTAN
MAPSSAS,BHUTAN2
MAPSSAS,BOLIVIA
MAPSSAS,BOLIVIA2
MAPSSAS,BOSNIAH2
MAPSSAS,BOSNIAHE
MAPSSAS,BRAZIL
MAPSSAS,BRAZIL2
MAPSSAS,BRUNEI
MAPSSAS,BRUNEI2
MAPSSAS,BULGARI2
MAPSSAS,BULGARIA
MAPSSAS,CAMBODI2
MAPSSAS,CAMBODIA
MAPSSAS,CANADA
MAPSSAS,CANADA2
MAPSSAS,CANADA3
MAPSSAS,CANADA4
MAPSSAS,CANCENS
MAPSSAS,CHILE
MAPSSAS,CHILE2
MAPSSAS,CHINA
MAPSSAS,CHINA2
MAPSSAS,CNTYNAME
MAPSSAS,COLOMBI2
MAPSSAS,COLOMBIA
MAPSSAS,COSTRIC2
MAPSSAS,COSTRICA
MAPSSAS,COUNTIES
MAPSSAS,COUNTY
MAPSSAS,CROATIA
MAPSSAS,CROATIA2
MAPSSAS,CUBA
MAPSSAS,CUBA2
MAPSSAS,CYPRUS
MAPSSAS,CYPRUS2
MAPSSAS,CZECH
MAPSSAS,CZECH2
MAPSSAS,DENMARK
MAPSSAS,DENMARK2
MAPSSAS,DOMINRE2
MAPSSAS,DOMINREP
MAPSSAS,ECUADOR
MAPSSAS,ECUADOR2
MAPSSAS,EGYPT
MAPSSAS,EGYPT2
MAPSSAS,ERITREA
MAPSSAS,ERITREA2
MAPSSAS,ESTONIA
MAPSSAS,ESTONIA2
MAPSSAS,ETHIOPI2
MAPSSAS,ETHIOPIA
MAPSSAS,EUROPE
MAPSSAS,EUROPE2
MAPSSAS,FGUIANA
MAPSSAS,FGUIANA2
MAPSSAS,FINLAND
MAPSSAS,FINLAND2
MAPSSAS,FRANCE
MAPSSAS,FRANCE2
MAPSSAS,GAZASTR2
MAPSSAS,GAZASTRI
MAPSSAS,GEORGIA
MAPSSAS,GEORGIA2
MAPSSAS,GERMANY
MAPSSAS,GERMANY2
MAPSSAS,GREECE
MAPSSAS,GREECE2
MAPSSAS,GUATEMA2
MAPSSAS,GUATEMAL
MAPSSAS,GUYANA
MAPSSAS,GUYANA2
MAPSSAS,HAITI
MAPSSAS,HAITI2
MAPSSAS,HKDB1
MAPSSAS,HKDB2
MAPSSAS,HKKWDB1
MAPSSAS,HKKWDB2
MAPSSAS,HKKWPU1
MAPSSAS,HKKWPU2
MAPSSAS,HKNTDB1
MAPSSAS,HKNTDB2
MAPSSAS,HKNTPU1
MAPSSAS,HKNTPU2
MAPSSAS,HKPU1
MAPSSAS,HKPU2
MAPSSAS,HONDURA2
MAPSSAS,HONDURAS
MAPSSAS,HUNGARY
MAPSSAS,HUNGARY2
MAPSSAS,INDIA
MAPSSAS,INDIA2
MAPSSAS,INDONES2
MAPSSAS,INDONESI
MAPSSAS,IRAN
MAPSSAS,IRAN2
MAPSSAS,IRAQ
MAPSSAS,IRAQ2
MAPSSAS,IRAQSAU2
MAPSSAS,IRAQSAUD
MAPSSAS,IRELAND
MAPSSAS,IRELAND2
