ENGINE,LIBREF,OPTIONS,PATH,SERVER,ICON,CLASNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,OBJNAME
V7,SASHELP,,,,,SASHELP.MDCLASS.LIBRARY,1210009353.17106,1210009353.17106,,,A5GFGYAU.A10A0001,,0.0,0.0,128.0,1.0,SASHELP
V7,WORK,,/tmp/SAS_work43650000324D,,,SASHELP.MDCLASS.LIBRARY,1210009590.81391,1210009590.81391,,,A5GFGYAU.A10A0002,,0.0,0.0,128.0,1.0,WORK
