TERM
a
ab
aber
able
about
according
accordingly
acht
achtzig
actually
after
afterwards
against
ah
ai
ain
ainsi
air
ait
alice
alle
allein
aller
allons
almost
alone
along
alors
already
als
also
although
am
ami
among
amongst
amour
an
and
anderer
andererseits
anders
another
ans
any
anybody
anyhow
anyone
anything
anyway
anyways
anywhere
apart
appreciate
appropriate
après
aren
arrive
aside
ask
asking
assez
associated
at
au
auch
auf
aurait
aus
ausser
ausserdem
ausserhalb
aussi
autour
autre
autres
aux
avaient
available
avait
avant
avec
avez
avoir
avons
away
b
bas
be
beau
beaucoup
became
because
become
becomes
becoming
been
before
being
believe
belle
ben
besides
best
beyond
bezueglich
bien
bon
bonheur
bonjour
bonne
bras
by
c
c'
c'est
c'était
came
can
cannot
cant
capitaine
car
ce
cela
celle
celui
cent
cependant
certain
certainly
ces
cet
cette
ceux
chambre
changes
chaque
chez
chose
choses
ci
cinq
cinquante
co
com
come
comme
comment
consequently
consider
considering
contain
containing
contre
corresponding
could
couldn
coup
course
currently
côté
d
d'
d'accord
d'autres
d'un
d'une
daher
dans
darauf
darum
darunter
das
de
definitely
demande
depuis
der
deren
des
described
deshalb
despite
dess
dessen
deswegen
deux
deuxième
devant
devoir
did
didn
die
dies
diesem
diesen
dieser
dieses
different
dire
dis
dit
dix
do
does
doesn
doing
doit
don
donc
done
donner
dont
dort
doute
drei
dreissig
droit
du
durch
dès
déjà
désirez
e
each
edu
eg
eh
eigen
eigene
eigenem
eigener
eigenes
ein
eine
einem
einer
eines
eins
einst
einstmals
either
elf
elle
elles
en
encore
enfin
enough
ensuite
entre
entweder
er
erselbst
es
est
et
etc
etwa
etwas
eu
eut
eux
ever
every
everybody
everyone
everything
everywhere
example
exemple
eût
f
fa
faire
faisait
fait
faite
faites
fast
faut
ferner
fils
fin
fit
fois
for
former
formerly
fort
france
francs
from
fuenf
fuenfzig
furthermore
fut
g
genug
get
gets
getting
given
gives
go
goes
going
gone
got
gotten
grand
greetings
gros
h
habe
haben
habt
had
hadn
has
hasn
hat
hatte
hatten
have
haven
having
he
hein
hello
help
hence
her
herab
herauf
here
hereafter
hereby
herein
hereupon
hers
herself
herunter
hi
hier
hierauf
him
himself
hin
hinab
hinauf
hinein
hinter
hinunter
his
hither
hopefully
how
howbeit
however
huit
hundert
i
ich
ici
ie
if
ignored
ihr
ihrem
ihren
ihrer
ihres
il
ill
ils
immer
in
inasmuch
inner
insofar
instead
into
inzwischen
irgendein
irgendeine
irgendeiner
irgendwie
irgendwo
is
isn
it
its
itself
j
j'
j'ai
ja
jamais
je
jede
jedem
jeder
jedes
jetzt
just
k
kann
koennen
koennte
konnte
l
l'
l'autre
la
last
le
least
les
less
lest
let
leur
leurs
liked
ll
loin
long
longtemps
looking
looks
lui
là
m
m'
ma
maintenant
mais
mal
manch
manchmal
may
maybe
me
meanwhile
mehr
mehrere
mer
merci
merely
mes
mich
