role,Term,numdocs
Adv,de secreto,105.0
Adv,de seguro,362.0
Adv,de sobra,7.0
Adv,de su peso,45.0
Adv,de suyo,2.0
Adv,de sí,9.0
Adv,de todo punto,6.0
Adv,de través,2.0
Adv,de tránsito,462.0
Adv,de un día a otro,2.0
Adv,de una vez,80.0
Adv,de vacio,6.0
Adv,de verdad,8.0
Adv,de vez en cuando,59.0
Prep,debajo de,656.0
Adv,del todo,63.0
Prep,delante de,92.0
Prep,dentro de,4342.0
Prep,dentro del,2690.0
Adv,desde ahora,57.0
Adv,desde luego,16.0
Prep,después de,4059.0
Conj,después de que,543.0
Prep,después del,1690.0
Conj,después que,22.0
Prep,detrás de,97.0
Prep,detrás del,79.0
Adv,día y noche,4.0
Adv,el centro,2.0
Pron,el cual,2176.0
Pron,el nuestro,1.0
Pron,el suyo,29.0
Pron,el tal,2.0
Adv,en absoluto,182.0
Adv,en alto,6.0
Adv,en aquel entonces,9.0
Adv,en cambio,452.0
Adv,en canal,45.0
Conj,en caso de que,3450.0
Conj,en caso que,20.0
Adv,en común,390.0
Adv,en conciencia,6.0
Adv,en consideración,1919.0
Adv,en contrario,405.0
Conj,en cuanto,743.0
Prep,en cuanto a,2026.0
Prep,en cuanto al,788.0
Adv,en demasía,4.0
Adv,en efecto,559.0
Adv,en el acto,68.0
Conj,en el caso de que,1062.0
Adv,en esto,9.0
Adv,en falso,2.0
Adv,en fin,23.0
Adv,en firme,25.0
Adv,en flor,8.0
Adv,en general,1794.0
Adv,en la vida,174.0
Conj,en lugar de,526.0
Adv,en mano,62.0
Adv,en medio,105.0
Adv,en mejor,12.0
Adv,en más,611.0
Adv,en nada,26.0
Adv,en orden,203.0
Adv,en particular,18600.0
Adv,en pedazos,9.0
Adv,en persona,17.0
Adv,en peso,619.0
Adv,en pie,93.0
Adv,en poco,20.0
Adv,en pos,50.0
Adv,en principio,1195.0
Adv,en privado,10.0
Adv,en punto,60.0
Adv,en público,11.0
Adv,en rama,22.0
Adv,en razón de,392.0
Adv,en realidad,279.0
Adv,en regla,15.0
Adv,en rústica,7.0
Adv,en seco,95.0
Adv,en secreto,21.0
Adv,en seguida,8.0
Adv,en serie,120.0
Adv,en señal,12.0
Adv,en su vida,13.0
Adv,en sustancia,30.0
Adv,en tanto,542.0
Adv,en todo caso,488.0
Prep,en torno a,538.0
Prep,en torno al,260.0
Prep,en torno de,2.0
Adv,en vano,6.0
Adv,en verdad,3.0
Adv,en vez de,377.0
Adv,en vida,2.0
Adv,en vigor,14202.0
Adv,en virtud,7078.0
Prep,en vista de,309.0
Adv,en vivo,39.0
Prep,encima de,49.0
Prep,enfrente de,7.0
Adv,entre dos luces,6.0
Conj,entre que,2.0
Adv,entre tanto,79.0
Adv,eso mismo,4.0
Adj,estados federados de micronesia,2.0
Adv,estados unidos de américa,4.0
Prep,frente a,1811.0
Adv,frente a frente,3.0
Prep,frente al,522.0
Prep,fuera de,1849.0
Prep,fuera del,861.0
Prep,gracias a,833.0
Prep,gracias al,221.0
Adv,hasta cierto punto,66.0
Conj,hasta que,1591.0
Adv,hong kong,3.0
Adv,hoy en día,127.0
Adv,hoy por hoy,29.0
Adv,inter vivos,6.0
Adv,ipso facto,27.0
Adv,ipso jure,2.0
Prep,junto a,315.0
Prep,junto al,84.0
Prep,junto con,2153.0
Pron,la cual,2050.0
Pron,la nuestra,1.0
Pron,la suya,26.0
Pron,la tal,2.0
Adv,la unión,3.0
Pron,las cuales,1983.0
Pron,las nuestras,2.0
Pron,las suyas,29.0
Prep,lejos de,106.0
Adv,lo contrario,721.0
Pron,lo cual,1138.0
Conj,lo mismo que,25.0
Pron,los cuales,2750.0
Adv,los estados unidos de américa,7.0
Pron,los nuestros,1.0
Pron,los suyos,14.0
Adj,mano de obra,3.0
Interj,manos a la obra,3.0
Prep,merced a,131.0
Adv,mientras tanto,126.0
Adv,motu proprio,2.0
Adv,mutatis mutandis,538.0
Adv,más bien,293.0
Prep,más que,575.0
Adv,más tarde o más temprano,2.0
Adv,más y más,3.0
Adv,nada menos,9.0
Adv,ni más ni menos,2.0
Adv,ni siquiera,208.0
Det,ni un,100.0
Pron,ni una,106.0
Pron,ni unas,1.0
Pron,ni uno,2.0
Pron,ni unos,6.0
Adv,no obstante,6356.0
Adv,o sea,201.0
Adv,otra vez,41.0
Adv,p. ej.,4.0
Conj,para que,5548.0
Adv,per se,24.0
Conj,pero si,36.0
Prep,pese a,456.0
Prep,pese al,78.0
Adv,poco a poco,37.0
Adv,por ahora,54.0
Adv,por alto,49.0
Adv,por añadidura,43.0
Adv,por cierto,5.0
Conj,por consiguiente,4151.0
Conj,por cuanto,161.0
Adv,por ejemplo,3163.0
Adv,por el contrario,495.0
Adv,por encima,868.0
Adv,por ende,144.0
Adv,por fin,37.0
Adv,por hora,176.0
Adv,por horas,31.0
Adv,por igual,165.0
Adv,por la cuenta,3.0
Adv,por la fuerza,25.0
Adv,por la mala,2.0
Adv,por las buenas,3.0
Adv,por lo bajo,2.0
Adv,por lo demás,151.0
Adv,por lo general,431.0
Adv,por lo menos,1143.0
Adv,por lo pronto,2.0
Adv,por lo regular,3.0
Adv,por lo tanto,3632.0
Conj,por más que,5.0
Adv,por nada,2.0
Adv,por poco,4.0
Adv,por primera vez,873.0
Adv,por puntos,27.0
Adv,por qué,275.0
Adv,por si acaso,3.0
Adv,por supuesto,123.0
Adv,por tanto,2704.0
Interj,por vida,2.0
Adv,por vía,688.0
Adv,por último,1009.0
Conj,pues que,18.0
Conj,puesto que,1250.0
Adj,quincuagésima octava,2.0
Adj,quincuagésima séptima,2.0
Adv,república federal de alemania,6.0
Prep,respecto a,5088.0
Prep,respecto al,1737.0
Prep,respecto de,2525.0
Adv,santo tomé y príncipe,2.0
Adj,sexagésima tercera,2.0
Adj,sexagésimo primer,2.0
Adj,sexagésimo quinto,2.0
Conj,si bien,1110.0
Conj,si como,14.0
Conj,siempre que,4390.0
Adv,sin duda,195.0
Adv,sin embargo,3318.0
Adv,sin falta,3.0
Conj,sin que,1331.0
Adv,sin reserva,25.0
Adv,sine qua non,39.0
Adv,sobre seguro,10.0
Adv,sobre sí,5.0
Adv,sobre todo,1527.0
Adv,statu quo,73.0
Adv,sui generis,19.0
Conj,tal como,3345.0
Adv,tal cual,45.0
Adv,tal vez,82.0
Conj,tales como,1786.0
Adv,tan siquiera,5.0
Prep,tocante a,208.0
Prep,tocante al,78.0
Adj,trigésima quinta,2.0
Adj,trigésimo quinto,2.0
Adj,trigésimo séptimo,3.0
Adv,trinidad y tobago,3.0
Adv,un poco,77.0
Pron,un tal,4.0
Adv,una por una,14.0
Pron,una tal,3.0
Adv,una vez más,154.0
Pron,unas cuantas,16.0
Adv,uno a otro,40.0
Adv,uno a uno,7.0
Adv,uno por uno,14.0
Pron,unos cuantos,32.0
Adj,vigésima novena,4.0
Adj,vigésima octava,5.0
Adj,vigésima primera,3.0
Adj,vigésima quinta,4.0
Adj,vigésima segunda,7.0
Adj,vigésimo cuarto,4.0
Adj,vigésimo octavo,8.0
Adj,vigésimo primer,81.0
Adj,vigésimo quinto,7.0
Adj,vigésimo segundo,3.0
Adj,vigésimo séptimo,2.0
Adj,vigésimo tercer,3.0
Adv,vía recta,3.0
Conj,ya que,2269.0
