unicode,ibm,pcms
U+FF4C,4220,A320
U+FF4D,4220,A320
U+FF4E,4220,A320
U+FF4F,4220,A320
U+FF50,4220,A320
U+FF51,4220,A320
U+FF52,4220,A320
U+FF53,42A2,A320
U+FF54,42A3,A320
U+FF55,42A4,A320
U+FF56,42A5,A320
U+FF57,42A6,A320
U+FF58,42A7,A320
U+FF59,42A8,A320
U+FF5A,42A9,A320
U+FF5B,42C0,A320
U+FF5C,424F,A320
U+FF5D,42D0,A3FD
U+FF20,42A1,A3FE
U+3041,4447,A4A1
U+3042,4420,A4A2
U+3043,4448,A4A3
U+3044,4420,A4A4
U+3045,4449,A4A5
U+3046,4420,A4A6
U+3047,4451,A4A7
U+3048,4420,A4A8
U+3049,4452,A4A9
U+304A,4420,A4AA
U+304B,4420,A4AB
U+304C,44C0,A4AC
U+304D,4420,A4AD
U+304E,44C1,A4AE
U+304F,4420,A4AF
U+3050,44C2,A4B0
U+3051,4420,A4B1
U+3052,44C3,A4B2
U+3053,4420,A4B3
U+3054,44C4,A4B4
U+3055,4420,A4B5
U+3056,44C5,A4B6
U+3057,4420,A4B7
U+3058,44C6,A4B8
U+3059,4420,A4B9
U+305A,44C7,A4BA
U+305B,4420,A4BB
U+305C,44C8,A4BC
U+305D,4420,A4BD
U+305E,44C9,A4BE
U+305F,4420,A4BF
U+3060,44CA,A4C0
U+3061,4420,A4C1
U+3062,44CB,A4C2
U+3063,4456,A4C3
U+3064,4420,A4C4
U+3065,44CC,A4C5
U+3066,4420,A4C6
U+3067,44CD,A4C7
U+3068,4420,A4C8
U+3069,44CE,A4C9
U+306A,4420,A4CA
U+306B,4420,A4CB
U+306C,4420,A4CC
U+306D,4420,A4CD
U+306E,4420,A4CE
U+306F,4420,A4CF
U+3070,44CF,A4D0
U+3071,44D5,A4D1
U+3072,4420,A4D2
U+3073,44D0,A4D3
U+3074,44D6,A4D4
U+3075,4420,A4D5
U+3076,44D1,A4D6
U+3077,44D7,A4D7
U+3078,44A2,A4D8
U+3079,44D2,A4D9
U+307A,44D8,A4DA
U+307B,44A3,A4DB
U+307C,44D3,A4DC
U+307D,44D9,A4DD
U+307E,44A4,A4DE
U+307F,44A5,A4DF
U+3080,44A6,A420
U+3020,44A7,A420
U+3020,44A8,A420
U+3020,4453,A420
U+3020,44A9,A420
U+3020,4454,A420
U+3020,44AA,A420
U+3020,4455,A420
U+3020,44AC,A420
U+3020,44AD,A420
U+3020,44AE,A420
U+3020,44AF,A420
U+3020,44BA,A420
U+3020,44BB,A420
U+3020,4457,A420
U+3020,44BC,A420
U+3020,44DA,A420
U+3020,44DB,A420
U+3020,4446,A420
U+3020,44BD,A420
