unicode,ibm,pcms
U+7574,4A20,B320
U+8E0C,4A20,B320
U+7A20,4A20,B320
U+6101,4A20,B320
U+7B79,4A20,B320
U+4EC7,4A20,B320
U+7E20,4A20,B320
U+7720,4A20,B320
U+4E11,4A20,B320
U+81ED,4A20,B320
U+521D,4A20,B320
U+5120,4A20,B320
U+6A71,4A20,B320
U+53A8,4A20,B320
U+8E87,4A20,B320
U+9504,4A20,B320
U+96CF,4A20,B320
U+6EC1,4A20,B320
U+9664,4A20,B3FD
U+695A,4A20,B3FE
U+7840,4AA0,B4A1
U+50A8,4AA1,B4A2
U+77D7,4AA2,B4A3
U+6410,4AA3,B4A4
U+89E6,4AA4,B4A5
U+5904,4AA5,B4A6
U+6320,4AA6,B4A7
U+5DDD,4AA7,B4A8
U+7A7F,4AA8,B4A9
U+693D,4AA9,B4AA
U+4F20,4AAA,B4AB
U+8239,4AAB,B4AC
U+5520,4AAC,B4AD
U+4E32,4AAD,B4AE
U+75AE,4AAE,B4AF
U+7A20,4AAF,B4B0
U+5E62,4AB0,B4B1
U+5E20,4AB1,B4B2
U+95EF,4AB2,B4B3
U+521B,4AB3,B4B4
U+5439,4AB4,B4B5
U+7020,4AB5,B4B6
U+6376,4AB6,B4B7
U+9524,4AB7,B4B8
U+5720,4AB8,B4B9
U+6625,4AB9,B4BA
U+693F,4ABA,B4BB
U+9187,4ABB,B4BC
U+5507,4ABC,B4BD
U+6D20,4ABD,B4BE
U+7EAF,4ABE,B4BF
U+8822,4ABF,B4C0
U+6233,4AC0,B4C1
U+7E20,4AC1,B4C2
U+75B5,4AC2,B4C3
U+8328,4AC3,B4C4
U+78C1,4AC4,B4C5
U+96CC,4AC5,B4C6
U+8F9E,4AC6,B4C7
U+6148,4AC7,B4C8
U+7420,4AC8,B4C9
U+8BCD,4AC9,B4CA
U+6B64,4ACA,B4CB
U+523A,4ACB,B4CC
U+8D50,4ACC,B4CD
U+6B21,4ACD,B4CE
U+806A,4ACE,B4CF
U+8471,4ACF,B4D0
U+5620,4AD0,B4D1
U+5306,4AD1,B4D2
U+4ECE,4AD2,B4D3
U+4E1B,4AD3,B4D4
U+51D1,4AD4,B4D5
U+7C20,4AD5,B4D6
U+918B,4AD6,B4D7
U+7C07,4AD7,B4D8
U+4FC3,4AD8,B4D9
U+8E7F,4AD9,B4DA
U+7B20,4ADA,B4DB
U+7A20,4ADB,B4DC
U+6467,4ADC,B4DD
U+5D14,4ADD,B4DE
U+50AC,4ADE,B4DF
U+8106,4ADF,B420
U+7601,4A20,B420
U+7CB9,4A20,B420
U+6D20,4A20,B420
U+7F20,4A20,B420
U+6751,4A20,B420
U+5B58,4A20,B420
U+5B20,4A20,B420
U+78CB,4A20,B420
U+64AE,4A20,B420
U+6413,4A20,B420
U+63AA,4A20,B420
U+632B,4A20,B420
U+9519,4A20,B420
U+642D,4A20,B420
U+8FBE,4A20,B420
U+7B54,4A20,B420
U+7629,4A20,B420
U+6253,4A20,B420
U+5927,4A20,B420
U+5446,4A20,B420
U+6B79,4A20,B420
U+50A3,4A20,B420
U+6234,4A20,B420
U+5E26,4A20,B420
U+6B20,4A20,B420
U+4E20,4A20,B420
U+8D37,4A20,B420
U+888B,4A20,B420
U+5F20,4A20,B4FD
U+902E,4AFD,B4FE
U+6020,4B41,B5A1
U+803D,4B42,B5A2
U+62C5,4B43,B5A3
U+4E39,4B44,B5A4
U+5355,4B45,B5A5
U+90F8,4B46,B5A6
U+63B8,4B47,B5A7
U+80C6,4B48,B5A8
U+6520,4B49,B5A9
U+6C2E,4B4A,B5AA
U+4F46,4B4B,B5AB
U+6020,4B4C,B5AC
U+6D20,4B4D,B5AD
U+8BDE,4B4E,B5AE
U+5F39,4B4F,B5AF
U+86CB,4B50,B5B0
U+5F53,4B51,B5B1
U+6321,4B52,B5B2
U+515A,4B53,B5B3
U+8361,4B54,B5B4
U+6863,4B55,B5B5
U+5200,4B56,B5B6
U+6363,4B57,B5B7
U+8E48,4B58,B5B8
U+5012,4B59,B5B9
U+5C20,4B5A,B5BA
U+7977,4B5B,B5BB
U+5B20,4B5C,B5BC
U+5230,4B5D,B5BD
U+7A3B,4B5E,B5BE
U+60BC,4B5F,B5BF
U+9053,4B60,B5C0
U+76D7,4B61,B5C1
U+5FB7,4B62,B5C2
U+5F20,4B63,B5C3
U+7620,4B64,B5C4
U+8E6C,4B65,B5C5
U+706F,4B66,B5C6
U+767B,4B67,B5C7
U+7B49,4B68,B5C8
U+77AA,4B69,B5C9
U+5120,4B6A,B5CA
U+9093,4B6B,B5CB
U+5824,4B6C,B5CC
U+4F4E,4B6D,B5CD
U+6E20,4B6E,B5CE
U+8FEA,4B6F,B5CF
U+654C,4B70,B5D0
U+7B1B,4B71,B5D1
U+72C4,4B72,B5D2
U+6DA4,4B73,B5D3
U+7FDF,4B74,B5D4
U+5A20,4B75,B5D5
U+62B5,4B76,B5D6
U+5E20,4B77,B5D7
U+5730,4B78,B5D8
U+8482,4B79,B5D9
U+7B2C,4B7A,B5DA
U+5E1D,4B7B,B5DB
U+5F1F,4B7C,B5DC
U+9012,4B7D,B5DD
U+7F14,4B7E,B5DE
U+98A0,4B7F,B5DF
U+6320,4B20,B520
U+6EC7,4B20,B520
U+7820,4B20,B520
U+70B9,4B20,B520
U+5178,4B20,B520
U+975B,4B20,B520
U+57AB,4B20,B520
U+7535,4B20,B520
U+4F43,4B20,B520
U+7538,4B20,B520
U+5E20,4B20,B520
U+6020,4B20,B520
U+5960,4B20,B520
U+6DC0,4B20,B520
U+6BBF,4B20,B520
U+7820,4B20,B520
U+5320,4B20,B520
U+96D5,4B20,B520
U+51CB,4B20,B520
U+5201,4B20,B520
U+6320,4B20,B520
U+540A,4B20,B520
U+9493,4B20,B520
U+8C03,4B20,B520
U+8DCC,4B20,B520
U+7239,4B20,B520
U+7820,4B20,B520
U+8776,4B20,B520
U+8FED,4B20,B520
U+8C0D,4B20,B5FD
U+5320,4B20,B5FE
U+4E01,4BA0,B6A1
U+7620,4BA1,B6A2
U+5320,4BA2,B6A3
U+9489,4BA3,B6A4
U+9876,4BA4,B6A5
U+9F0E,4BA5,B6A6
U+952D,4BA6,B6A7
U+5B20,4BA7,B6A8
U+8BA2,4BA8,B6A9
U+4E22,4BA9,B6AA
U+4E1C,4BAA,B6AB
U+51AC,4BAB,B6AC
U+8463,4BAC,B6AD
U+61C2,4BAD,B6AE
U+52A8,4BAE,B6AF
U+680B,4BAF,B6B0
U+4F20,4BB0,B6B1
U+606B,4BB1,B6B2
U+51BB,4BB2,B6B3
U+6D1E,4BB3,B6B4
U+515C,4BB4,B6B5
U+6220,4BB5,B6B6
U+6520,4BB6,B6B7
U+9661,4BB7,B6B8
U+8C46,4BB8,B6B9
U+9017,4BB9,B6BA
U+75D8,4BBA,B6BB
U+90FD,4BBB,B6BC
U+7763,4BBC,B6BD
U+6BD2,4BBD,B6BE
U+7220,4BBE,B6BF
U+7220,4BBF,B6C0
U+8BFB,4BC0,B6C1
U+5835,4BC1,B6C2
U+7779,4BC2,B6C3
U+8D4C,4BC3,B6C4
U+675C,4BC4,B6C5
U+9540,4BC5,B6C6
U+8020,4BC6,B6C7
U+5EA6,4BC7,B6C8
U+6E21,4BC8,B6C9
U+5920,4BC9,B6CA
U+7A20,4BCA,B6CB
U+7720,4BCB,B6CC
U+953B,4BCC,B6CD
U+6BB5,4BCD,B6CE
U+65AD,4BCE,B6CF
U+7F0E,4BCF,B6D0
U+5806,4BD0,B6D1
U+5151,4BD1,B6D2
U+961F,4BD2,B6D3
U+5B20,4BD3,B6D4
U+58A9,4BD4,B6D5
U+5428,4BD5,B6D6
U+8E72,4BD6,B6D7
U+6566,4BD7,B6D8
U+987F,4BD8,B6D9
U+5620,4BD9,B6DA
U+949D,4BDA,B6DB
U+76FE,4BDB,B6DC
U+9041,4BDC,B6DD
U+6320,4BDD,B6DE
U+54C6,4BDE,B6DF
U+591A,4BDF,B620
U+593A,4B20,B620
U+5720,4B20,B620
U+8EB2,4B20,B620
U+6735,4B20,B620
U+8DFA,4B20,B620
U+8235,4B20,B620
U+5241,4B20,B620
U+6020,4B20,B620
U+5815,4B20,B620
U+86FE,4B20,B620
U+5C20,4B20,B620
U+9E45,4B20,B620
U+4FC4,4B20,B620
U+989D,4B20,B620
U+8BB9,4B20,B620
U+5A25,4B20,B620
U+6076,4B20,B620
U+5320,4B20,B620
U+627C,4B20,B620
U+904F,4B20,B620
U+9102,4B20,B620
U+997F,4B20,B620
U+6069,4B20,B620
U+800C,4B20,B620
U+513F,4B20,B620
U+8033,4B20,B620
U+5C14,4B20,B620
U+9975,4B20,B620
U+6D31,4B20,B6FD
U+4E20,4BFD,B6FE
U+8D30,4C41,B7A1
U+53D1,4C42,B7A2
U+7F5A,4C43,B7A3
U+7B4F,4C44,B7A4
U+4F10,4C45,B7A5
U+4E4F,4C46,B7A6
U+2000,4C47,B7A7
U+6CD5,4C48,B7A8
U+73D0,4C49,B7A9
U+85E9,4C4A,B7AA
U+5E06,4C4B,B7AB
U+756A,4C4C,B7AC
U+7F20,4C4D,B7AD
U+6A0A,4C4E,B7AE
U+77FE,4C4F,B7AF
U+9492,4C50,B7B0
U+7E41,4C51,B7B1
U+5120,4C52,B7B2
U+7020,4C53,B7B3
U+53CD,4C54,B7B4
U+8FD4,4C55,B7B5
U+8303,4C56,B7B6
U+8D29,4C57,B7B7
U+72AF,4C58,B7B8
U+996D,4C59,B7B9
U+6CDB,4C5A,B7BA
U+574A,4C5B,B7BB
U+82B3,4C5C,B7BC
U+65B9,4C5D,B7BD
U+80AA,4C5E,B7BE
U+623F,4C5F,B7BF
U+9632,4C60,B7C0
U+59A8,4C61,B7C1
U+4EFF,4C62,B7C2
U+8BBF,4C63,B7C3
U+7EBA,4C64,B7C4
U+653E,4C65,B7C5
U+83F2,4C66,B7C6
U+975E,4C67,B7C7
U+5561,4C68,B7C8
U+98DE,4C69,B7C9
U+80A5,4C6A,B7CA
U+532A,4C6B,B7CB
U+8BFD,4C6C,B7CC
U+5420,4C6D,B7CD
U+80BA,4C6E,B7CE
U+5E20,4C6F,B7CF
U+6CB8,4C70,B7D0
U+8D39,4C71,B7D1
U+82AC,4C72,B7D2
U+915A,4C73,B7D3
U+5429,4C74,B7D4
U+6C1B,4C75,B7D5
U+5206,4C76,B7D6
U+7EB7,4C77,B7D7
U+575F,4C78,B7D8
U+711A,4C79,B7D9
U+6C7E,4C7A,B7DA
U+7C20,4C7B,B7DB
U+594B,4C7C,B7DC
U+4EFD,4C7D,B7DD
U+5FFF,4C7E,B7DE
U+6124,4C7F,B7DF
U+7CAA,4C20,B720
U+4E30,4C20,B720
U+5C01,4C20,B720
U+67AB,4C20,B720
U+8702,4C20,B720
U+5C20,4C20,B720
U+950B,4C20,B720
U+98CE,4C20,B720
U+75AF,4C20,B720
U+70FD,4C20,B720
U+9022,4C20,B720
U+51AF,4C20,B720
U+7F1D,4C20,B720
U+8BBD,4C20,B720
U+5949,4C20,B720
U+5120,4C20,B720
U+4F5B,4C20,B720
U+5426,4C20,B720
U+592B,4C20,B720
U+6577,4C20,B720
U+80A4,4C20,B720
U+5B75,4C20,B720
U+6276,4C20,B720
U+62C2,4C20,B720
U+8F90,4C20,B720
U+5E45,4C20,B720
U+6C1F,4C20,B720
U+7B26,4C20,B720
U+4F0F,4C20,B720
U+4FD8,4C20,B7FD
U+670D,4C20,B7FE
U+6D6E,4CA0,B8A1
U+6DAA,4CA1,B8A2
U+7920,4CA2,B8A3
U+88B1,4CA3,B8A4
U+5F17,4CA4,B8A5
U+752B,4CA5,B8A6
U+6220,4CA6,B8A7
U+8F85,4CA7,B8A8
U+4F20,4CA8,B8A9
U+91DC,4CA9,B8AA
U+65A7,4CAA,B8AB
U+812F,4CAB,B8AC
U+8151,4CAC,B8AD
U+5E20,4CAD,B8AE
U+8150,4CAE,B8AF
U+8D74,4CAF,B8B0
U+526F,4CB0,B8B1
U+8986,4CB1,B8B2
U+8D4B,4CB2,B8B3
U+590D,4CB3,B8B4
U+5020,4CB4,B8B5
U+4ED8,4CB5,B8B6
U+961C,4CB6,B8B7
U+7236,4CB7,B8B8
U+8179,4CB8,B8B9
U+8D1F,4CB9,B8BA
U+5BCC,4CBA,B8BB
U+8BA3,4CBB,B8BC
U+9644,4CBC,B8BD
U+5920,4CBD,B8BE
U+7F1A,4CBE,B8BF
U+5420,4CBF,B8C0
U+5676,4CC0,B8C1
U+560E,4CC1,B8C2
U+8BE5,4CC2,B8C3
U+6539,4CC3,B8C4
U+6920,4CC4,B8C5
U+9499,4CC5,B8C6
U+76D6,4CC6,B8C7
U+6E20,4CC7,B8C8
U+5E72,4CC8,B8C9
U+7518,4CC9,B8CA
U+6746,4CCA,B8CB
U+67D1,4CCB,B8CC
U+7AFF,4CCC,B8CD
U+8020,4CCD,B8CE
U+8D76,4CCE,B8CF
U+611F,4CCF,B8D0
U+79C6,4CD0,B8D1
U+6562,4CD1,B8D2
U+8D63,4CD2,B8D3
U+5120,4CD3,B8D4
U+521A,4CD4,B8D5
U+94A2,4CD5,B8D6
U+7F38,4CD6,B8D7
U+8020,4CD7,B8D8
U+7EB2,4CD8,B8D9
U+5C20,4CD9,B8DA
U+6E2F,4CDA,B8DB
U+6760,4CDB,B8DC
U+7BD9,4CDC,B8DD
U+7620,4CDD,B8DE
U+9AD8,4CDE,B8DF
U+818F,4CDF,B820
U+7F20,4C20,B820
U+7CD5,4C20,B820
U+641E,4C20,B820
U+9550,4C20,B820
U+7A3F,4C20,B820
U+544A,4C20,B820
U+5420,4C20,B820
U+6B4C,4C20,B820
U+6401,4C20,B820
U+6208,4C20,B820
U+9E3D,4C20,B820
U+8020,4C20,B820
U+7520,4C20,B820
U+5272,4C20,B820
U+9769,4C20,B820
U+845B,4C20,B820
U+683C,4C20,B820
U+86E4,4C20,B820
U+9601,4C20,B820
U+9694,4C20,B820
U+94EC,4C20,B820
U+4E2A,4C20,B820
U+5404,4C20,B820
U+7ED9,4C20,B820
U+6839,4C20,B820
U+8DDF,4C20,B820
U+8015,4C20,B820
U+6620,4C20,B820
U+5E20,4C20,B8FD
U+7FB9,4CFD,B8FE
U+57C2,4D41,B9A1
U+803F,4D42,B9A2
U+6820,4D43,B9A3
U+5D20,4D44,B9A4
U+653B,4D45,B9A5
U+5220,4D46,B9A6
U+606D,4D47,B9A7
U+9F9A,4D48,B9A8
U+4F20,4D49,B9A9
U+8EAC,4D4A,B9AA
U+516C,4D4B,B9AB
U+5BAB,4D4C,B9AC
U+5F13,4D4D,B9AD
U+5D20,4D4E,B9AE
U+6C5E,4D4F,B9AF
U+6220,4D50,B9B0
U+8D21,4D51,B9B1
U+5171,4D52,B9B2
U+94A9,4D53,B9B3
U+52FE,4D54,B9B4
U+6C20,4D55,B9B5
U+82DF,4D56,B9B6
U+72D7,4D57,B9B7
U+57A2,4D58,B9B8
U+6720,4D59,B9B9
U+8D2D,4D5A,B9BA
U+591F,4D5B,B9BB
U+8F9C,4D5C,B9BC
U+83C7,4D5D,B9BD
U+5420,4D5E,B9BE
U+7B20,4D5F,B9BF
U+4F30,4D60,B9C0
U+6CBD,4D61,B9C1
U+5B64,4D62,B9C2
U+59D1,4D63,B9C3
U+9F13,4D64,B9C4
U+5320,4D65,B9C5
U+86CA,4D66,B9C6
U+9AA8,4D67,B9C7
U+8C37,4D68,B9C8
U+80A1,4D69,B9C9
U+6545,4D6A,B9CA
U+987E,4D6B,B9CB
U+5620,4D6C,B9CC
U+96C7,4D6D,B9CD
U+522E,4D6E,B9CE
U+74DC,4D6F,B9CF
U+5250,4D70,B9D0
U+5B20,4D71,B9D1
U+6302,4D72,B9D2
U+8902,4D73,B9D3
U+4E56,4D74,B9D4
U+62D0,4D75,B9D5
U+602A,4D76,B9D6
U+6820,4D77,B9D7
U+5173,4D78,B9D8
U+5B20,4D79,B9D9
U+51A0,4D7A,B9DA
U+89C2,4D7B,B9DB
U+7BA1,4D7C,B9DC
U+9986,4D7D,B9DD
U+7F50,4D7E,B9DE
U+6020,4D7F,B9DF
U+704C,4D20,B920
U+8D2F,4D20,B920
U+5149,4D20,B920
U+5E7F,4D20,B920
U+901B,4D20,B920
U+7470,4D20,B920
U+89C4,4D20,B920
U+572D,4D20,B920
U+7845,4D20,B920
U+5F52,4D20,B920
U+9F9F,4D20,B920
U+95FA,4D20,B920
U+8F68,4D20,B920
U+9B3C,4D20,B920
U+8BE1,4D20,B920
U+7678,4D20,B920
U+6842,4D20,B920
U+67DC,4D20,B920
U+8DEA,4D20,B920
U+8D35,4D20,B920
U+523D,4D20,B920
U+8F8A,4D20,B920
U+6EDA,4D20,B920
U+68CD,4D20,B920
U+9505,4D20,B920
U+90ED,4D20,B920
U+56FD,4D20,B920
U+6720,4D20,B920
U+88F9,4D20,B920
U+8FC7,4D20,B9FD
U+54C8,4D20,B9FE
U+9AB8,4DA0,BAA1
U+5B69,4DA1,BAA2
U+6D77,4DA2,BAA3
U+6C26,4DA3,BAA4
U+4EA5,4DA4,BAA5
U+5BB3,4DA5,BAA6
U+9A87,4DA6,BAA7
U+9163,4DA7,BAA8
U+61A8,4DA8,BAA9
U+90AF,4DA9,BAAA
U+97E9,4DAA,BAAB
U+542B,4DAB,BAAC
U+6DB5,4DAC,BAAD
U+5BD2,4DAD,BAAE
U+51FD,4DAE,BAAF
U+5520,4DAF,BAB0
U+7F55,4DB0,BAB1
U+7F20,4DB1,BAB2
U+64BC,4DB2,BAB3
U+634D,4DB3,BAB4
U+6520,4DB4,BAB5
U+61BE,4DB5,BAB6
U+6020,4DB6,BAB7
U+710A,4DB7,BAB8
U+6C57,4DB8,BAB9
U+6C49,4DB9,BABA
U+592F,4DBA,BABB
U+676D,4DBB,BABC
U+822A,4DBC,BABD
U+58D5,4DBD,BABE
U+5620,4DBE,BABF
U+8C6A,4DBF,BAC0
U+6B20,4DC0,BAC1
U+90DD,4DC1,BAC2
U+597D,4DC2,BAC3
U+8017,4DC3,BAC4
U+5320,4DC4,BAC5
U+6D69,4DC5,BAC6
U+5475,4DC6,BAC7
U+5520,4DC7,BAC8
U+8377,4DC8,BAC9
U+83CF,4DC9,BACA
U+6838,4DCA,BACB
U+79BE,4DCB,BACC
U+5420,4DCC,BACD
U+4F55,4DCD,BACE
U+5408,4DCE,BACF
U+76D2,4DCF,BAD0
U+8C89,4DD0,BAD1
U+9602,4DD1,BAD2
U+6CB3,4DD2,BAD3
U+6DB8,4DD3,BAD4
U+8D6B,4DD4,BAD5
U+8910,4DD5,BAD6
U+9E64,4DD6,BAD7
U+8D3A,4DD7,BAD8
U+563F,4DD8,BAD9
U+9ED1,4DD9,BADA
U+75D5,4DDA,BADB
U+5F20,4DDB,BADC
U+7220,4DDC,BADD
U+6068,4DDD,BADE
U+5420,4DDE,BADF
U+4EA8,4DDF,BA20
U+6A2A,4D20,BA20
U+8861,4D20,BA20
U+6052,4D20,BA20
U+8F70,4D20,BA20
U+54C4,4D20,BA20
U+70D8,4D20,BA20
U+8679,4D20,BA20
U+9E3F,4D20,BA20
U+6D2A,4D20,BA20
U+5B20,4D20,BA20
U+5F18,4D20,BA20
U+7EA2,4D20,BA20
U+5520,4D20,BA20
U+4FAF,4D20,BA20
U+7334,4D20,BA20
U+543C,4D20,BA20
U+5320,4D20,BA20
U+5019,4D20,BA20
U+540E,4D20,BA20
U+547C,4D20,BA20
U+4E4E,4D20,BA20
U+5FFD,4D20,BA20
U+745A,4D20,BA20
U+5820,4D20,BA20
U+846B,4D20,BA20
U+8020,4D20,BA20
U+8774,4D20,BA20
U+72D0,4D20,BA20
U+7CCA,4D20,BAFD
U+6E56,4DFD,BAFE
U+5F27,4E41,BBA1
U+864E,4E42,BBA2
U+552C,4E43,BBA3
U+62A4,4E44,BBA4
U+4E20,4E45,BBA5
U+6CAA,4E46,BBA6
U+6237,4E47,BBA7
U+82B1,4E48,BBA8
U+54D7,4E49,BBA9
U+534E,4E4A,BBAA
U+733E,4E4B,BBAB
U+6ED1,4E4C,BBAC
U+753B,4E4D,BBAD
U+5212,4E4E,BBAE
U+5316,4E4F,BBAF
U+8BDD,4E50,BBB0
U+69D0,4E51,BBB1
U+5F20,4E52,BBB2
U+6000,4E53,BBB3
U+6D20,4E54,BBB4
U+574F,4E55,BBB5
U+6B22,4E56,BBB6
U+73AF,4E57,BBB7
U+6853,4E58,BBB8
U+8FD8,4E59,BBB9
U+7F13,4E5A,BBBA
U+6362,4E5B,BBBB
U+60A3,4E5C,BBBC
U+5524,4E5D,BBBD
U+7520,4E5E,BBBE
U+8C62,4E5F,BBBF
U+7115,4E60,BBC0
U+6DA3,4E61,BBC1
U+5BA6,4E62,BBC2
U+5E7B,4E63,BBC3
U+8352,4E64,BBC4
U+614C,4E65,BBC5
U+9EC4,4E66,BBC6
U+7820,4E67,BBC7
U+8757,4E68,BBC8
U+7C27,4E69,BBC9
U+7620,4E6A,BBCA
U+5120,4E6B,BBCB
U+6020,4E6C,BBCC
U+714C,4E6D,BBCD
U+6643,4E6E,BBCE
U+5E4C,4E6F,BBCF
U+604D,4E70,BBD0
U+8C0E,4E71,BBD1
U+7070,4E72,BBD2
U+6325,4E73,BBD3
U+8F89,4E74,BBD4
U+5FBD,4E75,BBD5
U+6062,4E76,BBD6
U+86D4,4E77,BBD7
U+56DE,4E78,BBD8
U+6BC1,4E79,BBD9
U+6020,4E7A,BBDA
U+6167,4E7B,BBDB
U+5349,4E7C,BBDC
U+6020,4E7D,BBDD
U+6666,4E7E,BBDE
U+8D3F,4E7F,BBDF
U+79FD,4E20,BB20
U+4F1A,4E20,BB20
U+7020,4E20,BB20
U+6C47,4E20,BB20
U+8BB3,4E20,BB20
U+8BF2,4E20,BB20
U+7ED8,4E20,BB20
U+8364,4E20,BB20
U+660F,4E20,BB20
U+5A5A,4E20,BB20
U+9B42,4E20,BB20
U+6D51,4E20,BB20
U+6D20,4E20,BB20
U+8C41,4E20,BB20
U+6D3B,4E20,BB20
U+4F19,4E20,BB20
U+706B,4E20,BB20
U+83B7,4E20,BB20
U+6216,4E20,BB20
U+60D1,4E20,BB20
U+970D,4E20,BB20
U+8D27,4E20,BB20
U+7978,4E20,BB20
U+5120,4E20,BB20
U+573E,4E20,BB20
U+5720,4E20,BB20
U+673A,4E20,BB20
U+7578,4E20,BB20
U+7A3D,4E20,BB20
U+7920,4E20,BBFD
U+7B20,4E20,BBFE
U+8020,4EA0,BCA1
U+9965,4EA1,BCA2
U+8FF9,4EA2,BCA3
U+6FC0,4EA3,BCA4
U+8BA5,4EA4,BCA5
U+9E21,4EA5,BCA6
U+5920,4EA6,BCA7
U+7E20,4EA7,BCA8
U+7F09,4EA8,BCA9
U+5409,4EA9,BCAA
U+6720,4EAA,BCAB
U+68D8,4EAB,BCAC
U+8F91,4EAC,BCAD
U+7C4D,4EAD,BCAE
U+96C6,4EAE,BCAF
U+53CA,4EAF,BCB0
U+6025,4EB0,BCB1
U+75BE,4EB1,BCB2
U+6C72,4EB2,BCB3
U+5373,4EB3,BCB4
U+5AC9,4EB4,BCB5
U+7EA7,4EB5,BCB6
U+6324,4EB6,BCB7
U+5120,4EB7,BCB8
U+810A,4EB8,BCB9
U+5D20,4EB9,BCBA
U+84DF,4EBA,BCBB
U+6280,4EBB,BCBC
U+5180,4EBC,BCBD
U+5B63,4EBD,BCBE
U+4F0E,4EBE,BCBF
U+796D,4EBF,BCC0
U+5242,4EC0,BCC1
U+60B8,4EC1,BCC2
U+6D4E,4EC2,BCC3
U+5BC4,4EC3,BCC4
U+5BC2,4EC4,BCC5
U+8BA1,4EC5,BCC6
U+8BB0,4EC6,BCC7
U+6520,4EC7,BCC8
U+5FCC,4EC8,BCC9
U+9645,4EC9,BCCA
U+5920,4ECA,BCCB
U+7E20,4ECB,BCCC
U+7EAA,4ECC,BCCD
U+5609,4ECD,BCCE
U+67B7,4ECE,BCCF
U+5939,4ECF,BCD0
U+4F73,4ED0,BCD1
U+5BB6,4ED1,BCD2
U+52A0,4ED2,BCD3
U+835A,4ED3,BCD4
U+988A,4ED4,BCD5
U+8D3E,4ED5,BCD6
U+7532,4ED6,BCD7
U+94BE,4ED7,BCD8
U+5047,4ED8,BCD9
U+7A3C,4ED9,BCDA
U+4E20,4EDA,BCDB
U+67B6,4EDB,BCDC
U+9A7E,4EDC,BCDD
U+5AC1,4EDD,BCDE
U+6B7C,4EDE,BCDF
U+76D1,4EDF,BC20
U+575A,4E20,BC20
U+5C16,4E20,BC20
U+7B3A,4E20,BC20
U+95F4,4E20,BC20
U+714E,4E20,BC20
U+517C,4E20,BC20
U+80A9,4E20,BC20
U+8270,4E20,BC20
U+5978,4E20,BC20
U+7F04,4E20,BC20
U+8327,4E20,BC20
U+68C0,4E20,BC20
U+6720,4E20,BC20
U+78B1,4E20,BC20
U+7877,4E20,BC20
U+6220,4E20,BC20
U+6361,4E20,BC20
U+7B80,4E20,BC20
U+4F20,4E20,BC20
U+526A,4E20,BC20
U+51CF,4E20,BC20
U+8350,4E20,BC20
U+69DB,4E20,BC20
U+9274,4E20,BC20
U+8DF5,4E20,BC20
U+8D31,4E20,BC20
U+89C1,4E20,BC20
U+952E,4E20,BC20
U+7BAD,4E20,BCFD
U+4E20,4EFD,BCFE
U+5065,4F41,BDA1
U+8230,4F42,BDA2
U+5251,4F43,BDA3
U+996F,4F44,BDA4
U+6E10,4F45,BDA5
U+6E20,4F46,BDA6
U+6DA7,4F47,BDA7
U+5E20,4F48,BDA8
U+5020,4F49,BDA9
U+59DC,4F4A,BDAA
U+5C06,4F4B,BDAB
U+6D46,4F4C,BDAC
U+6C5F,4F4D,BDAD
U+7520,4F4E,BDAE
U+848B,4F4F,BDAF
U+6868,4F50,BDB0
U+5956,4F51,BDB1
U+8BB2,4F52,BDB2
U+5320,4F53,BDB3
U+9171,4F54,BDB4
U+964D,4F55,BDB5
U+8549,4F56,BDB6
U+6912,4F57,BDB7
U+7901,4F58,BDB8
U+7126,4F59,BDB9
U+8020,4F5A,BDBA
U+4EA4,4F5B,BDBB
U+90CA,4F5C,BDBC
U+6D47,4F5D,BDBD
U+9A84,4F5E,BDBE
U+5A07,4F5F,BDBF
U+56BC,4F60,BDC0
U+6405,4F61,BDC1
U+94F0,4F62,BDC2
U+7720,4F63,BDC3
U+4FA5,4F64,BDC4
U+811A,4F65,BDC5
U+7220,4F66,BDC6
U+89D2,4F67,BDC7
U+997A,4F68,BDC8
U+7F34,4F69,BDC9
U+7EDE,4F6A,BDCA
U+527F,4F6B,BDCB
U+6559,4F6C,BDCC
U+9175,4F6D,BDCD
U+8F7F,4F6E,BDCE
U+8F83,4F6F,BDCF
U+5320,4F70,BDD0
U+7A20,4F71,BDD1
U+6320,4F72,BDD2
U+63A5,4F73,BDD3
U+7620,4F74,BDD4
U+7920,4F75,BDD5
U+8857,4F76,BDD6
U+9636,4F77,BDD7
U+622A,4F78,BDD8
U+52AB,4F79,BDD9
U+8282,4F7A,BDDA
U+6854,4F7B,BDDB
U+6770,4F7C,BDDC
U+6377,4F7D,BDDD
U+776B,4F7E,BDDE
U+7A20,4F7F,BDDF
U+6D01,4F20,BD20
U+7ED3,4F20,BD20
U+89E3,4F20,BD20
U+59D0,4F20,BD20
U+6212,4F20,BD20
U+85C9,4F20,BD20
U+82A5,4F20,BD20
U+754C,4F20,BD20
U+501F,4F20,BD20
U+4ECB,4F20,BD20
U+75A5,4F20,BD20
U+8BEB,4F20,BD20
U+5C4A,4F20,BD20
U+5DFE,4F20,BD20
U+7B4B,4F20,BD20
U+65A4,4F20,BD20
U+91D1,4F20,BD20
U+4ECA,4F20,BD20
U+6D25,4F20,BD20
U+895F,4F20,BD20
U+7D27,4F20,BD20
U+9526,4F20,BD20
U+4EC5,4F20,BD20
U+8C28,4F20,BD20
