role,Term,numdocs
Adv,au moment opportun,23.0
Conj,au moment où,632.0
Adv,au moment voulu,7.0
Prep,au moyen d',1159.0
Prep,au moyen de,1212.0
Prep,au moyen des,346.0
Prep,au moyen du,355.0
Prep,au moyen d’,225.0
Adv,au même moment,137.0
Prep,au niveau d',96.0
Prep,au niveau de,1604.0
Prep,au niveau des,933.0
Prep,au niveau du,581.0
Prep,au niveau d’,37.0
Prep,au nom d',70.0
Prep,au nom de,1862.0
Prep,au nom des,168.0
Prep,au nom du,221.0
Prep,au nom d’,17.0
Prep,au nord d',6.0
Prep,au nord de,78.0
Prep,au nord des,1.0
Prep,au nord du,34.0
Adv,au passage,83.0
Adv,au pire,10.0
Adv,au pis,2.0
Adv,au plus,5266.0
Adv,au plus vite,51.0
Prep,au point de vue de,14.0
Prep,au point de vue des,1.0
Prep,au point de vue du,4.0
Conj,au point où,33.0
Conj,au point qu',13.0
Conj,au point que,26.0
Adv,au possible,2.0
Prep,au pouvoir d',8.0
Prep,au pouvoir de,4.0
Prep,au pouvoir d’,1.0
Prep,au prix d',149.0
Prep,au prix de,141.0
Prep,au prix des,54.0
Prep,au prix du,85.0
Prep,au prix d’,30.0
Prep,au profit d',110.0
Prep,au profit de,233.0
Prep,au profit des,230.0
Prep,au profit du,80.0
Prep,au profit d’,36.0
Prep,au prorata d',1.0
Prep,au prorata de,187.0
Prep,au prorata des,149.0
Prep,au prorata du,82.0
Adv,au préalable,444.0
Prep,au préjudice de,4.0
Prep,au préjudice des,7.0
Prep,au préjudice du,1.0
Prep,au rang d',3.0
Prep,au rang de,19.0
Prep,au rang des,14.0
Prep,au rang d’,2.0
Prep,au ras du,2.0
Prep,au regard d',18.0
Prep,au regard de,722.0
Prep,au regard des,650.0
Prep,au regard du,236.0
Prep,au regard d’,9.0
Adv,au reste,62.0
Prep,au risque d',32.0
Prep,au risque de,77.0
Prep,au risque des,5.0
Prep,au risque du,6.0
Prep,au risque d’,5.0
Prep,au sein d',382.0
Prep,au sein de,1717.0
Prep,au sein des,654.0
Prep,au sein du,1677.0
Prep,au sein d’,88.0
Prep,au sortir d',1.0
Prep,au sortir de,3.0
Prep,au sujet d',74.0
Prep,au sujet de,548.0
Prep,au sujet des,442.0
Prep,au sujet du,192.0
Prep,au sujet d’,17.0
Prep,au terme d',111.0
Prep,au terme de,395.0
Prep,au terme des,56.0
Prep,au terme du,90.0
Prep,au terme d’,48.0
Prep,au titre d',381.0
Prep,au titre de,3978.0
Prep,au titre des,1239.0
Prep,au titre du,2082.0
Prep,au titre d’,66.0
Prep,au travers d',72.0
Prep,au travers de,186.0
Prep,au travers des,83.0
Prep,au travers du,54.0
Prep,au travers d’,29.0
Prep,au vu d',11.0
Prep,au vu de,280.0
Prep,au vu des,278.0
Prep,au vu du,169.0
Prep,au vu d’,4.0
Prep,au-dessous d',24.0
Prep,au-dessous de,160.0
Prep,au-dessous des,30.0
Prep,au-dessous du,126.0
Prep,au-dessous d’,3.0
Prep,au-dessus d',42.0
Prep,au-dessus de,210.0
Prep,au-dessus des,75.0
Prep,au-dessus du,233.0
Prep,au-dessus d’,6.0
Prep,auprès d',461.0
Prep,auprès de,1554.0
Prep,auprès des,1443.0
Prep,auprès du,726.0
Prep,auprès d’,100.0
Conj,aussi bien qu,1.0
Conj,aussi bien qu',21.0
Conj,aussi bien que,70.0
Conj,aussi bien qu’,10.0
Conj,aussitôt qu',22.0
Conj,aussitôt que,98.0
Conj,autant qu',26.0
Conj,autant que,80.0
Adv,autant que faire se peut,54.0
Adv,autant que possible,544.0
Conj,autant qu’,6.0
Prep,autour d',80.0
Prep,autour de,364.0
Prep,autour des,135.0
Prep,autour du,118.0
Prep,autour d’,29.0
Adv,autre part,4.0
Adv,autrement dit,157.0
Adv,aux alentours,14.0
Prep,aux alentours de,69.0
Prep,aux alentours des,5.0
Prep,aux alentours du,4.0
Prep,aux alentours d’,2.0
Prep,aux confins de,4.0
Prep,aux dires de,5.0
Prep,aux dires des,1.0
Prep,aux dires du,1.0
Prep,aux dépens d',5.0
Prep,aux dépens de,37.0
Prep,aux dépens des,22.0
Prep,aux dépens du,14.0
Prep,aux environs de,23.0
Prep,aux environs des,1.0
Prep,aux environs du,2.0
Adv,aux trois quarts,27.0
Adv,aux trois-quarts,4.0
