role,Term,numdocs
Prep,eu égard aux,467.0
Prep,eu égard à,640.0
Adv,ex aequo,18.0
Adv,ex nihilo,4.0
Prep,exception faite d',1.0
Prep,exception faite de,46.0
Prep,exception faite des,76.0
Prep,exception faite du,9.0
Prep,exception faite d’,1.0
Adv,extra muros,81.0
Prep,face au,121.0
Prep,face aux,508.0
Prep,face à,725.0
Adv,face à face,3.0
Prep,faute d',85.0
Prep,faute de,155.0
Conj,faute de quoi,49.0
Adv,faute de temps,6.0
Prep,faute des,3.0
Prep,faute du,7.0
Prep,faute d’,33.0
Adv,fin août,9.0
Adv,fin avril,11.0
Adv,fin décembre,21.0
Adv,fin février,30.0
Adv,fin janvier,7.0
Adv,fin juillet,8.0
Adv,fin juin,31.0
Adv,fin mai,5.0
Adv,fin mars,22.0
Adv,fin novembre,11.0
Adv,fin octobre,11.0
Adv,fin septembre,10.0
Pron,grand chose,3.0
Adv,grosso modo,17.0
Prep,grâce au,262.0
Prep,grâce aux,314.0
Prep,grâce à,1355.0
Adj,haut de gamme,36.0
Prep,hors d',127.0
Prep,hors de,566.0
Prep,hors des,73.0
Prep,hors du,204.0
Prep,hors d’,22.0
Adv,in absentia,3.0
Adv,in extenso,18.0
Adv,in fine,46.0
Adv,in situ,74.0
Adv,in utero,7.0
Adv,in vitro,101.0
Adv,in vivo,49.0
Prep,indépendamment d',25.0
Prep,indépendamment de,501.0
Prep,indépendamment des,221.0
Prep,indépendamment du,254.0
Prep,indépendamment d’,2.0
Adv,infiniment plus,3.0
Adv,intra muros,84.0
Adv,ipso facto,41.0
Adv,jusqu'à aujourd'hui,3.0
Conj,jusqu'à ce qu',379.0
Conj,jusqu'à ce que,600.0
Conj,jusqu'à ce qu’,4.0
Adv,jusqu'à maintenant,10.0
Adv,jusqu'à preuve du contraire,13.0
Adv,jusqu'à présent,346.0
Prep,jusques et y compris,6.0
Conj,jusqu’à ce que,88.0
Conj,jusqu’à ce qu’,42.0
Adv,jusqu’à maintenant,5.0
Adv,jusqu’à preuve du contraire,1.0
Adv,jusqu’à présent,104.0
Pron,la leur,20.0
Pron,la nôtre,2.0
Adv,la plupart du temps,63.0
Pron,la sienne,23.0
Adv,le cas échéant,4757.0
Pron,le leur,63.0
Prep,le long d',28.0
Prep,le long de,137.0
Prep,le long des,84.0
Prep,le long du,51.0
Prep,le long d’,4.0
Adv,le moins,226.0
Pron,le nôtre,1.0
Adv,le plus,2553.0
Pron,le sien,27.0
Pron,les leurs,23.0
Pron,les nôtres,6.0
Pron,les siennes,19.0
Pron,les siens,6.0
Pron,les unes,126.0
Pron,les uns,186.0
Prep,loin d',84.0
Prep,loin de,66.0
Prep,loin des,12.0
Prep,loin du,15.0
Prep,loin d’,35.0
Conj,loin qu',2.0
Conj,loin que,40.0
Prep,lors d',614.0
Prep,lors de,5936.0
Prep,lors des,1222.0
Prep,lors du,1134.0
Prep,lors d’,119.0
Prep,made in,27.0
Adv,main dans la main,6.0
Conj,maintenant qu',9.0
Conj,maintenant que,22.0
Conj,maintenant qu’,1.0
Conj,mais encore,48.0
Conj,malgré qu',2.0
Conj,malgré que,2.0
Conj,malgré qu’,1.0
Adv,malgré tout,28.0
Adj,meilleur marché,14.0
Prep,mis à part,64.0
Adv,mot pour mot,2.0
Adv,mutatis mutandis,543.0
Pron,n'importe qui,1.0
Part,ne jamais,18.0
Part,ne pas,3604.0
Part,ne pas toujours,7.0
Part,ne plus,183.0
Adv,ni plus ni moins,2.0
Adv,noir sur blanc,2.0
Adv,non pas,319.0
Conj,non que,4.0
Conj,non qu’,1.0
Adv,non seulement,1210.0
Adv,nulle part,14.0
Adj,numéro un,3.0
Pron,n’importe qui,1.0
Conj,ou bien,464.0
Adv,outre mesure,17.0
Conj,outre qu',23.0
Conj,outre que,7.0
Conj,outre qu’,7.0
Conj,où qu',31.0
Conj,où que,9.0
Conj,où qu’,14.0
Adv,par ailleurs,1878.0
Adv,par avance,23.0
Adv,par conséquent,3289.0
Adv,par contre,215.0
Prep,par crainte de,4.0
Adv,par essence,27.0
Prep,par ex.,86.0
Adv,par exemple,2871.0
Adv,par extension,10.0
Adv,par hasard,7.0
Adv,par inadvertance,29.0
Adv,par intermittence,4.0
Prep,par l'entremise d',18.0
Prep,par l'entremise de,46.0
Prep,par l'entremise des,9.0
Prep,par l'entremise du,14.0
Prep,par l'intermédiaire d',313.0
Prep,par l'intermédiaire de,572.0
Prep,par l'intermédiaire des,184.0
Prep,par l'intermédiaire du,243.0
Prep,par l'intermédiaire d’,3.0
Adv,par la bande,6.0
Adv,par la force,26.0
Adv,par la suite,841.0
Prep,par le biais d',401.0
Prep,par le biais de,623.0
Prep,par le biais des,187.0
Prep,par le biais du,162.0
Prep,par le biais d’,87.0
Prep,par le canal d',2.0
Prep,par le canal de,11.0
Prep,par le canal des,7.0
Prep,par le canal du,8.0
Prep,par le fait même de,2.0
Prep,par le moyen d',14.0
Prep,par le moyen de,101.0
Prep,par le moyen des,5.0
Prep,par le moyen du,6.0
Adv,par le passé,193.0
Prep,par le truchement d',16.0
Prep,par le truchement de,35.0
Prep,par le truchement des,13.0
Prep,par le truchement du,11.0
Prep,par le truchement d’,8.0
Prep,par l’entremise d',1.0
Prep,par l’entremise de,5.0
Prep,par l’entremise du,1.0
Prep,par l’entremise d’,2.0
Prep,par l’intermédiaire d',1.0
Prep,par l’intermédiaire de,138.0
Prep,par l’intermédiaire des,57.0
Prep,par l’intermédiaire du,75.0
Prep,par l’intermédiaire d’,87.0
Adv,par moments,2.0
Adv,par mégarde,7.0
Adv,par principe,42.0
Prep,par rapport au,933.0
Prep,par rapport aux,1421.0
Prep,par rapport à,1941.0
Adv,par ricochet,2.0
Adv,par suite,457.0
Adv,par trop,8.0
Adv,par tête,60.0
Adv,par voie de conséquence,90.0
Prep,par égard pour,3.0
Conj,parce qu',443.0
Conj,parce que,637.0
Conj,parce qu’,132.0
Conj,partout où,31.0
Adv,pas du tout,72.0
Adv,pas encore,1483.0
Adv,pas mal,3.0
Conj,pas plus qu',32.0
Conj,pas plus que,40.0
Conj,pas plus qu’,9.0
Adv,pas spécialement,6.0
Adv,pas à pas,16.0
Adv,pendant ce temps,17.0
Conj,pendant qu',44.0
Conj,pendant que,63.0
Conj,pendant qu’,3.0
Adv,per capita,6.0
Adv,petit à petit,8.0
Adv,peu après,31.0
Adv,peu ou prou,5.0
Adv,peu à peu,26.0
Adv,plus du tout,2.0
Adv,plus ou moins,293.0
Adv,plus tard,212.0
Prep,plutôt qu',167.0
Prep,plutôt que,352.0
Prep,plutôt que d',54.0
Prep,plutôt que de,152.0
Prep,plutôt que d’,10.0
Prep,plutôt qu’,57.0
Adv,pour ainsi dire,9.0
Adv,pour autant,532.0
Conj,pour autant qu,1.0
Conj,pour autant qu',1014.0
Conj,pour autant que,2357.0
Conj,pour autant qu’,151.0
Prep,pour cause d',30.0
Prep,pour cause de,109.0
Prep,pour cause d’,3.0
Adv,pour ce faire,396.0
Prep,pour ce qui concerne,885.0
Prep,pour ce qui est d',26.0
Prep,pour ce qui est de,567.0
Prep,pour ce qui est des,501.0
Prep,pour ce qui est du,165.0
Prep,pour ce qui est d’,6.0
Adv,pour changer,12.0
Adv,pour conclure,91.0
Adv,pour l'heure,23.0
Adv,pour l'instant,74.0
Adv,pour la forme,6.0
Adv,pour la plupart,211.0
Conj,pour le cas où,99.0
Adv,pour le moins,26.0
Adv,pour le principe,6.0
Adv,pour l’heure,13.0
Adv,pour l’instant,32.0
Adv,pour mémoire,59.0
Prep,pour ou contre,2.0
Conj,pour peu qu',1.0
Conj,pour peu que,4.0
Conj,pour qu',617.0
Conj,pour que,2017.0
Conj,pour qu’,148.0
Adv,pour sa part,143.0
Conj,pourvu qu',72.0
Conj,pourvu que,176.0
Conj,pourvu qu’,18.0
Adv,pro forma,26.0
Prep,près d',34.0
Prep,près de,518.0
Prep,près des,50.0
Prep,près du,59.0
Prep,près d’,17.0
Adv,purement et simplement,16.0
Conj,quand bien même,25.0
Adv,quand même,24.0
Prep,quant au,629.0
Prep,quant aux,648.0
Prep,quant à,1789.0
Pron,quelque chose,16.0
Adv,quelque peu,141.0
Adv,qui plus est,112.0
Pron,qui que ce soit,5.0
Adv,quitte à,12.0
Adv,quoi qu'il en soit,45.0
Pron,quoi que ce soit,8.0
Adv,quoi qu’il en soit,42.0
Prep,rapport au,466.0
Prep,rapport aux,41.0
Prep,rapport à,343.0
Adv,recto verso,15.0
Prep,relativement au,17.0
Prep,relativement aux,39.0
Prep,relativement à,84.0
Prep,s'agissant d',82.0
Prep,s'agissant de,302.0
Prep,s'agissant des,253.0
Prep,s'agissant du,100.0
Prep,s'agissant d’,1.0
Adv,sans ambages,2.0
Adv,sans ambiguïté,83.0
Adv,sans arrêt,2.0
Adv,sans aucun doute,58.0
Adv,sans aucune ambiguïté,4.0
Adv,sans cesse,87.0
Adv,sans compter,34.0
Adv,sans conséquence,8.0
Adv,sans conteste,18.0
Adv,sans contrepartie,25.0
Adv,sans discontinuer,16.0
Adv,sans doute,120.0
Adv,sans défense,26.0
Adv,sans délai,1209.0
Adv,sans désemparer,4.0
Adv,sans effort,6.0
Adv,sans effusion de sang,2.0
Adv,sans faille,16.0
Adv,sans interruption,126.0
Adv,sans partage,3.0
Adv,sans plus,19.0
Adv,sans précédent,61.0
Prep,sans préjudice d',220.0
Prep,sans préjudice de,2020.0
Prep,sans préjudice des,2025.0
Prep,sans préjudice du,605.0
Prep,sans préjudice d’,26.0
Conj,sans qu',448.0
Conj,sans que,713.0
Conj,sans quoi,17.0
Conj,sans qu’,73.0
Adv,sans raison,12.0
Adv,sans relâche,19.0
Adv,sans restriction,120.0
Prep,sauf au,13.0
Prep,sauf aux,11.0
Conj,sauf qu',7.0
Conj,sauf que,34.0
Conj,sauf qu’,1.0
Conj,sauf s',310.0
Conj,sauf si,896.0
Conj,sauf s’,32.0
Prep,sauf à,71.0
Conj,selon qu',160.0
Conj,selon que,163.0
Conj,selon qu’,38.0
Adv,si besoin est,166.0
Conj,si bien qu',44.0
Conj,si bien que,109.0
Conj,si bien qu’,34.0
Prep,si ce n'est,120.0
Conj,si ce n'est qu',9.0
Conj,si ce n'est que,28.0
Prep,si ce n’est,21.0
Conj,si ce n’est que,1.0
Conj,si jamais,8.0
Adv,si nécessaire,1474.0
Adv,si peu,8.0
Conj,si seulement,4.0
Conj,si tant est qu',8.0
Conj,si tant est qu’,1.0
Adj,sine qua non,63.0
Conj,sinon qu',1.0
Conj,sinon que,2.0
Conj,sitôt que,2.0
Conj,soit qu',44.0
Conj,soit que,48.0
Conj,soit qu’,4.0
Adv,sous clé,9.0
Adv,sous condition,39.0
Prep,sous couvert d',46.0
Prep,sous couvert de,28.0
Prep,sous couvert des,19.0
Prep,sous couvert du,27.0
Prep,sous couvert d’,3.0
Prep,sous forme d',958.0
Prep,sous forme de,1457.0
Prep,sous forme des,6.0
Prep,sous forme du,7.0
Prep,sous forme d’,207.0
Prep,sous l'égide d',3.0
Prep,sous l'égide de,58.0
Prep,sous l'égide des,18.0
Prep,sous l'égide du,16.0
Prep,sous le coup d',4.0
Prep,sous le coup de,42.0
Prep,sous le coup des,15.0
Prep,sous le coup du,4.0
Prep,sous le coup d’,5.0
Prep,sous le couvert d',74.0
Prep,sous le couvert de,48.0
Prep,sous le couvert des,11.0
Prep,sous le couvert du,32.0
Prep,sous le couvert d’,6.0
Prep,sous le rapport de,2.0
Prep,sous le toit du,4.0
Prep,sous l’égide de,20.0
Prep,sous l’égide des,5.0
Prep,sous l’égide du,6.0
Prep,sous peine d',20.0
Prep,sous peine de,67.0
Prep,sous peine d’,6.0
Adv,sous peu,25.0
Prep,sous prétexte d',1.0
Prep,sous prétexte de,2.0
Prep,sous prétexte d’,1.0
Prep,sous réserve d',269.0
Prep,sous réserve de,1215.0
Prep,sous réserve des,1095.0
Prep,sous réserve du,381.0
Prep,sous réserve d’,90.0
Adj,sri lankaise,1.0
Adj,sri lankaises,1.0
Adv,stricto sensu,20.0
Adj,sui generis,20.0
Prep,suite au,144.0
Prep,suite aux,616.0
Prep,suite à,1317.0
Conj,suivant qu',5.0
Conj,suivant que,16.0
Conj,supposé qu',2.0
Conj,supposé que,28.0
Conj,supposé qu’,2.0
Adv,sur commande,29.0
Adv,sur demande,1352.0
Prep,sur le point d',43.0
Prep,sur le point de,99.0
Prep,sur le point d’,18.0
Adv,sur le tas,4.0
Adv,sur le terrain,306.0
Adv,sur mesure,70.0
Adv,sur place,1051.0
Adv,sur sa lancée,4.0
Adv,surtout pas,3.0
Prep,s’agissant d',1.0
Prep,s’agissant de,99.0
Prep,s’agissant des,78.0
Prep,s’agissant du,31.0
Prep,s’agissant d’,24.0
Conj,tandis qu',97.0
Conj,tandis que,968.0
Conj,tandis qu’,49.0
Conj,tant qu,1.0
Conj,tant qu',145.0
Conj,tant que,467.0
Conj,tant qu’,14.0
Conj,tel qu,1.0
Conj,tel qu',1560.0
Conj,tel que,1793.0
Adj,tel quel,86.0
Conj,tel qu’,313.0
Adj,telle quelle,31.0
Adj,telles quelles,26.0
Adj,tels quels,68.0
Adj,top secret,4.0
Adv,toujours pas,179.0
Adv,tour à tour,11.0
Det,tous ces,449.0
Pron,tous ceux,74.0
Det,tous les,7081.0
Det,tous leurs,108.0
Det,tous nos,3.0
Det,tous ses,9354.0
Adv,tout au long,2.0
Prep,tout au long d',16.0
Prep,tout au long de,581.0
Prep,tout au long des,34.0
Prep,tout au long du,95.0
Prep,tout au long d’,1.0
Adv,tout au moins,68.0
Adv,tout au plus,55.0
Adv,tout autant,20.0
Conj,tout autant que,6.0
Conj,tout autant qu’,1.0
Adv,tout bien considéré,7.0
Adv,tout bien pesé,5.0
Pron,tout ce,178.0
Pron,tout ceci,19.0
Pron,tout cela,52.0
Adv,tout compte fait,2.0
Adv,tout d'abord,260.0
Adv,tout de même,21.0
Adv,tout de suite,8.0
Adv,tout d’abord,102.0
Adv,tout entier,46.0
Adv,tout juste,24.0
Det,tout le,684.0
Prep,tout le long de,5.0
Prep,tout le long du,4.0
Det,tout leur,36.0
Det,tout son,65.0
Adv,tout à fait,257.0
Det,toute cette,39.0
Det,toute la,1556.0
Det,toute leur,104.0
Det,toute notre,1.0
Det,toute sa,86.0
Det,toute son,20.0
Pron,toutes celles,16.0
Det,toutes ces,358.0
Adv,toutes choses égales par ailleurs,7.0
Det,toutes les,7032.0
Det,toutes leurs,104.0
Det,toutes nos,2.0
Det,toutes ses,338.0
Adv,trop tard,20.0
Adv,trop tôt,35.0
Adv,tôt ou tard,2.0
Adv,un par un,2.0
Adv,un peu,67.0
Adv,un peu moins,42.0
Adv,un peu plus,90.0
Adv,un à un,3.0
Adv,une fois,1831.0
Adv,une fois pour toutes,10.0
Adv,une nouvelle fois,139.0
Adv,vice versa,21.0
Prep,vis-à-vis d',43.0
Prep,vis-à-vis de,349.0
Prep,vis-à-vis des,374.0
Prep,vis-à-vis du,175.0
Prep,vis-à-vis d’,11.0
Conj,vu qu',22.0
Conj,vu que,86.0
Conj,vu qu’,7.0
Prep,y compris,5360.0
Prep,à base d',144.0
Prep,à base de,1255.0
Prep,à base des,3.0
Prep,à base d’,19.0
Adv,à bon escient,13.0
Adv,à brève échéance,48.0
Prep,à cause d',46.0
Prep,à cause de,185.0
Prep,à cause des,71.0
Prep,à cause du,37.0
Prep,à cause d’,9.0
Adv,à ce jour,353.0
Adv,à ce prix,10.0
Conj,à ce qu',755.0
Conj,à ce que,2935.0
Conj,à ce qu’,136.0
Adv,à ce stade,338.0
Prep,à ce stade d',7.0
Prep,à ce stade de,73.0
Prep,à ce stade des,9.0
Prep,à ce stade du,5.0
Prep,à ce stade d’,6.0
Adv,à charge,352.0
Adv,à ciel ouvert,24.0
Adv,à claire-voie,11.0
Adv,à clé,39.0
Prep,à commencer par,40.0
Prep,à compter d',22.0
Prep,à compter de,3245.0
Prep,à compter des,15.0
Prep,à compter du,1952.0
Prep,à compter d’,7.0
Prep,à condition d',133.0
Prep,à condition de,260.0
Prep,à condition d’,8.0
Conj,à condition qu',743.0
Conj,à condition que,1864.0
Conj,à condition qu’,94.0
Adv,à contre-courant,13.0
Adv,à contre-jour,3.0
Adv,à contresens,2.0
Adv,à court terme,603.0
Prep,à côté d',10.0
Prep,à côté de,78.0
Prep,à côté des,56.0
Prep,à côté du,46.0
Adv,à demi,5.0
Adv,à domicile,110.0
Prep,à défaut d',146.0
Prep,à défaut de,197.0
Prep,à défaut des,4.0
Prep,à défaut du,5.0
Prep,à défaut d’,12.0
Adv,à fond,100.0
Prep,à force d',1.0
Prep,à force de,1.0
Adv,à gauche,107.0
Adv,à grands frais,2.0
Adv,à grands pas,2.0
Adv,à géométrie variable,11.0
Prep,à hauteur d',41.0
Prep,à hauteur de,227.0
Prep,à hauteur des,24.0
Prep,à hauteur du,33.0
Prep,à hauteur d’,8.0
Adv,à huis clos,7.0
Adv,à jeun,4.0
Adv,à jour,1713.0
Adv,à juste titre,78.0
Prep,à l'adresse de,34.0
Prep,à l'adresse des,22.0
Prep,à l'adresse du,10.0
Prep,à l'aide d',637.0
Prep,à l'aide de,651.0
Prep,à l'aide des,223.0
Prep,à l'aide du,176.0
Adv,à l'air libre,31.0
Adv,à l'amiable,49.0
Adv,à l'arrière,56.0
Prep,à l'arrière d',8.0
Prep,à l'arrière de,27.0
Prep,à l'arrière des,7.0
Prep,à l'arrière du,41.0
Adv,à l'avance,770.0
Prep,à l'avant d',7.0
Prep,à l'avant de,20.0
Prep,à l'avant des,11.0
Prep,à l'avant du,34.0
Adv,à l'avenant,4.0
Adv,à l'encontre,25.0
Prep,à l'encontre d',119.0
Prep,à l'encontre de,540.0
Prep,à l'encontre des,358.0
Prep,à l'encontre du,131.0
Adv,à l'envers,1.0
Prep,à l'exception d',71.0
Prep,à l'exception de,1175.0
Prep,à l'exception des,1326.0
Prep,à l'exception du,486.0
Prep,à l'exception d’,1.0
Prep,à l'exclusion d',21.0
Prep,à l'exclusion de,670.0
Prep,à l'exclusion des,764.0
Prep,à l'exclusion du,220.0
Adv,à l'extérieur,486.0
Adv,à l'heure actuelle,266.0
Adv,à l'horizon,102.0
Prep,à l'image d',1.0
Prep,à l'image de,14.0
Prep,à l'image des,3.0
Prep,à l'image du,2.0
Adv,à l'improviste,10.0
Prep,à l'initiative d',36.0
Prep,à l'initiative de,472.0
Prep,à l'initiative des,58.0
Prep,à l'initiative du,52.0
Conj,à l'instant où,4.0
Prep,à l'instar d',8.0
Prep,à l'instar de,79.0
Prep,à l'instar des,48.0
Prep,à l'instar du,23.0
Prep,à l'insu de,3.0
Prep,à l'insu des,2.0
Adv,à l'intérieur,411.0
Prep,à l'intérieur d',306.0
Prep,à l'intérieur de,1229.0
Prep,à l'intérieur des,305.0
Prep,à l'intérieur du,359.0
Prep,à l'intérieur d’,1.0
Prep,à l'inverse d',1.0
Prep,à l'inverse de,2.0
Prep,à l'inverse des,13.0
Prep,à l'inverse du,1.0
Prep,à l'issue d',198.0
Prep,à l'issue de,402.0
Prep,à l'issue des,102.0
Prep,à l'issue du,85.0
Prep,à l'issue d’,1.0
Adv,à l'occasion,29.0
Prep,à l'occasion d',145.0
Prep,à l'occasion de,511.0
Prep,à l'occasion des,111.0
Prep,à l'occasion du,84.0
Prep,à l'occasion d’,1.0
Adv,à l'oeil,31.0
Adv,à l'ombre,2.0
Adv,à l'opposé,5.0
Prep,à l'opposé de,3.0
Prep,à l'opposé du,4.0
Adv,à l'ordre du jour,127.0
Adv,à l'origine,268.0
Prep,à l'origine d',78.0
Prep,à l'origine de,324.0
Prep,à l'origine des,70.0
Prep,à l'origine du,73.0
Prep,à l'origine d’,1.0
Adv,à l'unanimité,371.0
Adv,à l'œil,5.0
Prep,à l'égard d',221.0
Prep,à l'égard de,923.0
Prep,à l'égard des,829.0
Prep,à l'égard du,423.0
Prep,à l'égard d’,2.0
Prep,à l'épreuve d',9.0
Prep,à l'épreuve de,20.0
Prep,à l'épreuve des,17.0
Prep,à l'épreuve du,2.0
Adv,à l'étranger,252.0
Adv,à l'évidence,58.0
Conj,à la condition qu',88.0
Conj,à la condition que,278.0
Conj,à la condition qu’,13.0
Prep,à la demande d',581.0
Prep,à la demande de,1104.0
Prep,à la demande des,296.0
Prep,à la demande du,562.0
Prep,à la demande d’,84.0
Prep,à la discrétion d',1.0
Prep,à la discrétion de,41.0
Prep,à la discrétion des,39.0
Prep,à la discrétion du,15.0
Prep,à la discrétion d’,1.0
Prep,à la faveur d',8.0
Prep,à la faveur de,19.0
Prep,à la faveur des,4.0
Prep,à la faveur d’,4.0
Prep,à la fin d',53.0
Prep,à la fin de,1346.0
Prep,à la fin des,128.0
Prep,à la fin du,559.0
Prep,à la fin d’,14.0
Adv,à la fois,1599.0
Prep,à la hauteur d',6.0
Prep,à la hauteur de,56.0
Prep,à la hauteur des,33.0
Prep,à la hauteur du,21.0
Prep,à la hauteur d’,1.0
Adv,à la lettre,73.0
Adv,à la longue,10.0
Adv,à la loupe,3.0
Prep,à la lumière d',54.0
Prep,à la lumière de,799.0
Prep,à la lumière des,840.0
Prep,à la lumière du,152.0
Prep,à la lumière d’,13.0
Adv,à la main,271.0
Prep,à la manière d',6.0
Prep,à la manière de,7.0
Prep,à la manière d’,2.0
Prep,à la mémoire de,3.0
Prep,à la place d',21.0
Prep,à la place de,80.0
Prep,à la place des,34.0
Prep,à la place du,32.0
Prep,à la place d’,3.0
Prep,à la portée d',4.0
Prep,à la portée de,8.0
Prep,à la portée des,9.0
Prep,à la portée du,7.0
Prep,à la suite d',849.0
Prep,à la suite de,1950.0
Prep,à la suite des,430.0
Prep,à la suite du,229.0
Prep,à la suite d’,268.0
Prep,à la tête d',8.0
Prep,à la tête de,27.0
Prep,à la tête des,3.0
Prep,à la tête du,7.0
Prep,à la tête d’,1.0
Prep,à la veille de,7.0
Prep,à la veille des,1.0
Prep,à la veille du,6.0
Prep,à la veille d’,2.0
Adv,à leur encontre,20.0
Adv,à leur insu,2.0
Adv,à leur portée,3.0
Adv,à long terme,1386.0
Adv,à longue échéance,22.0
Adv,à l’accoutumée,2.0
Prep,à l’adresse de,6.0
Prep,à l’adresse des,1.0
Prep,à l’adresse du,2.0
Prep,à l’aide d',2.0
Prep,à l’aide de,102.0
Prep,à l’aide des,31.0
Prep,à l’aide du,33.0
Prep,à l’aide d’,71.0
Adv,à l’air libre,3.0
Adv,à l’amiable,19.0
Adv,à l’arrière,2.0
Prep,à l’arrière de,2.0
Prep,à l’arrière des,1.0
Prep,à l’arrière du,3.0
Prep,à l’arrière d’,1.0
Adv,à l’avance,98.0
Prep,à l’avant de,2.0
Prep,à l’avant des,3.0
Prep,à l’avant du,1.0
Adv,à l’encontre,4.0
Prep,à l’encontre de,151.0
Prep,à l’encontre des,113.0
Prep,à l’encontre du,42.0
Prep,à l’encontre d’,33.0
Adv,à l’envers,1.0
Prep,à l’exception d',2.0
Prep,à l’exception de,236.0
Prep,à l’exception des,240.0
Prep,à l’exception du,103.0
Prep,à l’exception d’,22.0
Prep,à l’exclusion de,122.0
Prep,à l’exclusion des,131.0
Prep,à l’exclusion du,31.0
Adv,à l’extérieur,108.0
Adv,à l’heure actuelle,120.0
Adv,à l’horizon,48.0
Prep,à l’image de,2.0
Prep,à l’image des,1.0
Prep,à l’image du,3.0
Prep,à l’initiative de,57.0
Prep,à l’initiative des,19.0
Prep,à l’initiative du,12.0
Prep,à l’initiative d’,16.0
Prep,à l’instar de,37.0
Prep,à l’instar des,21.0
Prep,à l’instar du,6.0
Prep,à l’instar d’,1.0
Prep,à l’insu de,2.0
Prep,à l’insu du,1.0
Adv,à l’intérieur,81.0
Prep,à l’intérieur d',3.0
Prep,à l’intérieur de,195.0
Prep,à l’intérieur des,62.0
Prep,à l’intérieur du,61.0
Prep,à l’intérieur d’,47.0
Prep,à l’inverse de,1.0
Prep,à l’inverse des,1.0
Prep,à l’issue d',1.0
Prep,à l’issue de,92.0
Prep,à l’issue des,32.0
Prep,à l’issue du,16.0
Prep,à l’issue d’,68.0
Adv,à l’occasion,7.0
Prep,à l’occasion d',1.0
Prep,à l’occasion de,116.0
Prep,à l’occasion des,14.0
Prep,à l’occasion du,28.0
Prep,à l’occasion d’,25.0
Adv,à l’opposé,4.0
Adv,à l’ordre du jour,47.0
Adv,à l’origine,59.0
Prep,à l’origine d',1.0
Prep,à l’origine de,96.0
Prep,à l’origine des,8.0
Prep,à l’origine du,21.0
Prep,à l’origine d’,23.0
Adv,à l’unanimité,99.0
Adv,à l’œil,5.0
Prep,à l’égard d',5.0
Prep,à l’égard de,166.0
Prep,à l’égard des,158.0
Prep,à l’égard du,89.0
Prep,à l’égard d’,22.0
Prep,à l’épreuve de,1.0
Prep,à l’épreuve du,1.0
Adv,à l’étranger,68.0
Adv,à l’évidence,11.0
Prep,à l´exclusion des,1.0
Adv,à main levée,5.0
Adv,à mesure que,78.0
Adv,à mi-chemin,12.0
Adv,à mi-chemin de,6.0
Adv,à mi-course,7.0
Adv,à mi-hauteur,18.0
Adv,à mi-parcours,262.0
Prep,à moins d',50.0
Prep,à moins de,269.0
Prep,à moins d’,14.0
Adv,à moins que,863.0
Adv,à moitié,7.0
Adv,à moyen terme,429.0
Adv,à nouveau,629.0
Adv,à part,163.0
Prep,à partir d',677.0
Prep,à partir de,3656.0
Prep,à partir des,822.0
Prep,à partir du,4695.0
Conj,à partir du moment où,126.0
Prep,à partir d’,130.0
Adv,à peine,105.0
Adv,à peu de frais,3.0
Adv,à peu près,103.0
Adj,à pic,2.0
Adv,à plein temps,39.0
Adv,à plus forte raison,8.0
Adv,à plusieurs reprises,467.0
Adv,à point,47.0
Adv,à point nommé,8.0
Prep,à portée d',2.0
Prep,à portée de,10.0
Prep,à portée des,2.0
Adj,à propos,49.0
Prep,à propos d',37.0
Prep,à propos de,217.0
Prep,à propos des,135.0
Prep,à propos du,63.0
Prep,à propos d’,33.0
Adv,à proximité,145.0
Prep,à proximité d',19.0
Prep,à proximité de,181.0
Prep,à proximité des,85.0
Prep,à proximité du,109.0
Prep,à proximité d’,4.0
Adv,à présent,324.0
Conj,à présent qu',1.0
Conj,à présent que,16.0
Conj,à présent qu’,1.0
Prep,à raison d',94.0
Prep,à raison de,186.0
Prep,à raison des,22.0
Prep,à raison du,9.0
Prep,à raison d’,10.0
Adv,à ras bord,3.0
Adv,à rebours,3.0
Adv,à sa convenance,7.0
Adv,à sa portée,2.0
Conj,à savoir,2290.0
Adv,à ses frais,44.0
Adv,à son détriment,3.0
Adv,à son encontre,26.0
Adv,à son sens,5.0
Adv,à son tour,157.0
Conj,à tel point qu',2.0
Conj,à tel point que,8.0
Conj,à tel point qu’,2.0
Adv,à temps partiel,129.0
Adv,à terme,369.0
Prep,à titre d',452.0
Prep,à titre de,504.0
Prep,à titre d’,108.0
Adv,à titre gracieux,14.0
Adv,à titre onéreux,141.0
Adv,à tort ou à raison,2.0
Adv,à tour de rôle,62.0
Adv,à tout instant,15.0
Adv,à tout moment,984.0
Adv,à tout prix,12.0
Adv,à toute épreuve,2.0
Prep,à travers,830.0
Adv,à trois reprises,43.0
Adv,à usage externe,2.0
Adv,à usage interne,6.0
Adv,à usage unique,38.0
Adv,à volonté,8.0
Adv,à vrai dire,3.0
Prep,étant donné,541.0
Conj,étant donné qu',397.0
Conj,étant donné que,1302.0
Conj,étant donné qu’,140.0
