libname,memname,memtype,dbms_memtype,engine,index,path
MAPS,CHILE2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,CHINA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,CHINA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,CNTYNAME,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,COLOMBI2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,COLOMBIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,COSTRIC2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,COSTRICA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,COUNTIES,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,COUNTY,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,CROATIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,CROATIA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,CUBA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,CUBA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,CYPRUS,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,CYPRUS2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,CZECH,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,CZECH2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,DENMARK,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,DENMARK2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,DOMINRE2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,DOMINREP,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ECUADOR,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ECUADOR2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,EGYPT,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,EGYPT2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ERITREA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ERITREA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ESTONIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ESTONIA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ETHIOPI2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ETHIOPIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,EUROPE,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,EUROPE2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,FGUIANA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
