CLASNAME,OBJNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,PREDCLAS,PREDROLE,SUCCCLAS,SUCCROLE,VERB,PREDCARD,SUCCCARD
CMRassocmgr,DELETED *** ColumnTransform IS_COMPOSED_OF_0_1 Query,1290438856.0306,1303146201.26099,,,A0000001.A400001U,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRctrnfm,SELECTCOLUMNLIST,CMRquery,SELECTQUERY,DELETED,0:1,1:m
CMRassocmgr,DELETED *** ColumnTransform CONTAINS Query,1290438856.03071,1303146201.26102,,,A0000001.A400001V,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRctrnfm,ORDERBYCOLUMNLIST,CMRquery,ORDERBYQUERY,DELETED,0:1,0:m
CMRassocmgr,DELETED *** SourceStore CONTAINS ColumnTransform,1290438856.03083,1303146201.26104,,,A0000001.A400001W,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRsrcstore,STOREDCODELIST,CMRctrnfm,COLUMNTRANSFORMOBJECT,DELETED,0:1,0:m
CMRassocmgr,DELETED *** SASDBMSConnection IS_RELATED_TO_0_N WLibrary,1290438856.03095,1303146201.26106,,,A0000001.A400001X,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdbmsconn,DBMSCONNECTION,CMRwlibrary,LIBRARYLIST,DELETED,0:m,0:1
CMRassocmgr,DELETED *** WLibrary USES SourceCatEntry,1290438856.03105,1303146201.26109,,,A0000001.A400001Y,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRwlibrary,LIBRARYLIST,CMRsrccat,SOURCECATENTRYLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** Root USES Document,1290438856.03138,1303146201.26111,,,A0000001.A400001Z,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRroot,DOCUMENTEDOBJECTLIST,CMRdocument,DOCUMENTLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** Hierarchy IS_RELATED_TO_1 Dimension,1290438856.0316,1303146201.26114,,,A0000001.A4000020,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRhrarchy,DEFAULTHIERARCHY,CMRdim,DEFAULTFORDIMENSION,DELETED,1:1,0:1
CMRassocmgr,DELETED *** Cube IS_CONTAINED_IN_0_1 Dimension,1290438856.03171,1303146201.29048,,,A0000001.A4000021,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRcube,DEFAULTFORCUBE,CMRdim,DEFAULTDIMENSION,DELETED,0:1,1:1
CMRassocmgr,DELETED *** Dimension HAS Cube,1286978388.15682,1289214752.85776,,,A0000001.A4000022,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdim,DIMENSIONLIST,CMRcube,OWNINGCUBE,DELETED,1:1,0:m
CMRassocmgr,DELETED *** Dimension IS_CONTAINED_IN_0_N Hierarchy,1290438856.03193,1303146201.29054,,,A0000001.A4000023,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdim,OWNINGDIMENSION,CMRhrarchy,HIERARCHYLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** Dimension IS_CONTAINED_IN_0_N CategoryHierarchy,1290438856.03204,1303146201.29056,,,A0000001.A4000024,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdim,DIMENSION,CMRcathier,CATEGORYHIERARCHYLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** Dimension IS_CONTAINED_IN_0_N CategoricalAttribu,1290438856.03216,1303146201.29062,,,A0000001.A4000025,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdim,DIMENSION,CMRcatatt,CATEGORICALATTRIBUTELIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** Connection HAS DeployedComponent,1290438856.03295,1303146201.29065,,,A0000001.A4000026,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRcnction,SOURCECONNECTIONLIST,CMRdepcomp,SOURCE,DELETED,1:1,0:m
CMRassocmgr,DELETED *** DeployedComponent USES Connection,1290438856.03306,1303146201.29067,,,A0000001.A4000027,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdepcomp,PROVIDERLIST,CMRcnction,PROVIDERCONNECTIONLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** Machine IS_RELATED_TO_0_N DeployedComponent,1290438856.03317,1303146201.29069,,,A0000001.A4000028,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRmachine,OWNINGMACHINE,CMRdepcomp,DEPCOMPONENTLIST,DELETED,0:m,0:1
CMRassocmgr,DELETED *** DeployedComponent USES DeployedDataPackage,1290438856.03329,1303146201.29071,,,A0000001.A4000029,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdepcomp,LINKEDTOCOMPONENTLIST,CMRddatapkg,AVAILABLEPACKAGELIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** DeployedComponent IS_COMPOSED_OF_0_N LocalizedPr,1290438856.03341,1303146201.29074,,,A0000001.A400002A,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdepcomp,DEPLOYEDCOMPONENTLIST,CMRlproc,INITPROCESSLIST,DELETED,0:m,1:m
CMRassocmgr,DELETED *** DeployedComponent IS_CONTAINED_IN_0_1 InitInfo,1290438856.03352,1303146201.29076,,,A0000001.A400002B,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdepcomp,INITCOMPONENT,CMRinitinfo,INITINFORMATION,DELETED,0:1,1:1
CMRassocmgr,DELETED *** AuthDomain IS_RELATED_TO_0_N Connection,1290438856.03364,1303146201.29078,,,A0000001.A400002C,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRauthdom,CONNECTIONDOMAIN,CMRcnction,DOMAINCONNECTIONLIST,DELETED,0:m,0:1
CMRassocmgr,DELETED *** DeployedDataPackage USES DataFile,1290438856.03386,1303146201.29081,,,A0000001.A400002D,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRddatapkg,DATAPACKAGELIST,CMRdatafile,DATAFILELIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** DeployedDataPackage USES DeployedDataPackage,1290438856.03397,1303146201.29083,,,A0000001.A400002E,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRddatapkg,USEDPACKAGELIST,CMRddatapkg,USINGPACKAGELIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** SourceFile USES Directory,1290438856.03407,1303146201.29086,,,A0000001.A400002F,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRsrcfile,SOURCEFILELIST,CMRdirectry,DIRLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** KeyAssociation IS_COMPOSED_OF ForeignKey,1290438856.03418,1303146201.29088,,,A0000001.A400002G,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRkeyassoc,KEYASSOCIATIONLIST,CMRfkey,ASSOCIATEDFOREIGNKEY,DELETED,1:1,1:m
CMRassocmgr,DELETED *** ForeignKey HAS DataFile,1290438856.03428,1303146201.2909,,,A0000001.A400002H,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRfkey,FOREIGNKEYLIST,CMRdatafile,FKTABLE,DELETED,1:1,0:m
CMRassocmgr,DELETED *** UniqueKey IS_CONTAINED_IN_0_N ForeignKey,1290438856.0344,1303146201.29093,,,A0000001.A400002I,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRukey,PARTNERUNIQUEKEY,CMRfkey,FOREIGNKEYLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** UniqueKey HAS DataFile,1290438856.03449,1303146201.29095,,,A0000001.A400002J,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRukey,UNIQUEKEYLIST,CMRdatafile,UKTABLE,DELETED,1:1,0:m
CMRassocmgr,DELETED *** DataFile USES DataFile,1290438856.0346,1303146201.29098,,,A0000001.A400002K,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdatafile,INPUTSOURCELIST,CMRdatafile,OUTPUTTARGETLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** PrimaryKey HAS DataFile,1286210512.82532,1286978395.12751,,,A0000001.A400002L,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRprimkey,PRIMARYKEYLIST,CMRdatafile,PKTABLE,DELETED,1:1,0:m
CMRassocmgr,DELETED *** DataFile IS_COMPOSED_OF_0_1 LoaderProcess,1290438856.03471,1303146201.29102,,,A0000001.A400002M,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdatafile,OUTPUTTABLELIST,CMRldproc,LOADPROCESS,DELETED,0:1,1:m
CMRassocmgr,DELETED *** DataFile IS_RELATED_TO_0_N DataFile,1290438856.03482,1303146201.2911,,,A0000001.A400002N,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdatafile,DATAGROUP,CMRdatafile,DATAMEMBERLIST,DELETED,0:m,0:1
CMRassocmgr,DELETED *** ScriptFile IS_RELATED_TO_0_N SASConnect,1290438856.03504,1303146201.29112,,,A0000001.A400002O,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRscrfile,USESCRIPT,CMRsasconn,SCRIPTCONNECTIONLIST,DELETED,0:m,0:1
CMRassocmgr,DELETED *** AuthDomain IS_RELATED_TO_0_N Login,1290438856.03515,1303146201.29115,,,A0000001.A400002P,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRauthdom,LOGINDOMAIN,CMRlogin,LOGINLIST,DELETED,0:m,0:1
CMRassocmgr,DELETED *** Login IS_RELATED_TO_0_N InitInfo,1290438856.03525,1303146201.29117,,,A0000001.A400002Q,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRlogin,INITLOGIN,CMRinitinfo,INITLIST,DELETED,0:m,0:1
CMRassocmgr,DELETED *** SourceStore IS_RELATED_TO_0_N Transform,1290438856.03547,1303146201.29123,,,A0000001.A400002R,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRsrcstore,STOREDCODELIST,CMRtrnsform,TRANSFORMOBJECT,DELETED,0:m,0:1
CMRassocmgr,DELETED *** Where IS_RELATED_TO_1 Query,1290438856.04878,1303146201.29127,,,A0000001.A400002S,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRwhere,WHERECLAUSE,CMRquery,QUERYOBJECT,DELETED,1:1,0:1
CMRassocmgr,DELETED *** Having IS_RELATED_TO_1 Query,1290438856.04892,1303146201.29129,,,A0000001.A400002T,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRhaving,HAVINGCLAUSE,CMRquery,QUERYOBJECT,DELETED,1:1,0:1
CMRassocmgr,DELETED *** AbstractColumn USES Where,1290438856.04902,1303146201.29131,,,A0000001.A400002U,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRabscol,ACOLUMNLIST,CMRwhere,WHERETARGETLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** AbstractColumn USES Having,1290438856.04912,1303146201.29134,,,A0000001.A400002V,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRabscol,ACOLUMNLIST,CMRhaving,HAVINGTARGETLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** On IS_RELATED_TO_1 Join,1290438856.04922,1303146201.2914,,,A0000001.A400002W,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRon,ONCLAUSE,CMRjoin,JOINOBJECT,DELETED,1:1,0:1
CMRassocmgr,DELETED *** AbstractColumn USES On,1290438856.04932,1303146201.29142,,,A0000001.A400002X,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRabscol,ACOLUMNLIST,CMRon,ONCLAUSETARGETLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** CategoricalAttribute IS_CONTAINED_IN_0_N Categor,1290438856.04944,1303146201.29145,,,A0000001.A400002Y,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRcatatt,CATEGORICALATTRIBUTE,CMRcatmem,CATEGORYMEMBERLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** CategoryHierarchy USES CategoricalAttribute,1290438856.04955,1303146201.29147,,,A0000001.A400002Z,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRcathier,CATEGORYLHIERARCHYLIST,CMRcatatt,CATEGORICALATTRIBUTELIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** AbstractColumn USES AbstractColumn,1290438856.04966,1303146201.29159,,,A0000001.A4000030,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRabscol,COLUMNSOURCELIST,CMRabscol,COLUMNTARGETLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** Tree IS_CONTAINED_IN_0_N Group,1290438856.02698,1303146201.29162,,,A0000001.A4000031,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRtree,OWNINGTREE,CMRgroup,TREEGROUPLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** AuxProcess HAS Process,1290438856.0297,1303146201.2918,,,A0000001.A4000032,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRauxprcs,POSTPROCESSLIST,CMRprocess,AFTERPROCESS,DELETED,1:1,0:m
CMRassocmgr,DELETED *** AuxProcess HAS Process,1290438856.03015,1303146201.29196,,,A0000001.A4000033,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRauxprcs,PREPROCESSLIST,CMRprocess,BEFOREPROCESS,DELETED,1:1,0:m
CMRassocmgr,DELETED *** PhysicalTable IS_RELATED_TO_1 ColumnSet,1286978388.15078,1289214752.85857,,,A0000001.A4000034,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRptable,PHYSICALSTORAGE,CMRcolset,OWNINGCOLUMNSET,DELETED,1:1,0:1
CMRassocmgr,DELETED *** AbstractGroup USES Root,1290438856.03127,1303146201.29201,,,A0000001.A4000035,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRabsgroup,GROUPLIST,CMRroot,MEMBERLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** Connection IS_CONTAINED_IN_0_N Option,1290438856.03375,1303146201.29203,,,A0000001.A4000036,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRcnction,OPTIONEDCONNECTION,CMRoption,OPTIONLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** DataFile IS_CONTAINED_IN_0_N Option,1290438856.03493,1303146201.29206,,,A0000001.A4000037,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRdatafile,OPTIONEDDATAFILE,CMRoption,OPTIONLIST,DELETED,0:m,1:1
CMRassocmgr,DELETED *** ResponsibleParty HAS_1_N_OF Person,1286978388.15263,1289214752.85866,,,A0000001.A4000038,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRrespons,RESPONSIBILITYLIST,CMRperson,PERSONLIST,DELETED,1:m,0:m
CMRassocmgr,DELETED *** Root USES ResponsibleParty,1290438856.03148,1303146201.2921,,,A0000001.A4000039,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRroot,OWNEDOBJECTLIST,CMRrespons,RESPONSIBLEPARTYLIST,DELETED,0:m,0:m
CMRassocmgr,DELETED *** Scheduler IS_CONTAINED_IN_0_N Option,1290438856.03271,1303146201.29212,,,A0000001.A400003A,This association template has been deleted.,2.0,0.0,0.0,2.0,CMRschedulr,OPTIONEDSCHEDULER,CMRoption,OPTIONLIST,DELETED,0:m,1:1
