Name,Name2,City,City2,MapIDNameAbrv,ZIP,ZCTA,First,Last
Battery,BATTERY,Raleigh,RALEIGH,NC,27610.0,27610.0,11466.0,11475.0
Battery Bee,BATTERYBEE,Apex,APEX,NC,27523.0,27523.0,11476.0,11477.0
Battery Crest,BATTERYCREST,Wake Forest,WAKEFOREST,NC,27587.0,27587.0,11478.0,11479.0
Battery Point,BATTERYPOINT,Cary,CARY,NC,27513.0,27513.0,11480.0,11483.0
Battery Wagner,BATTERYWAGNER,Apex,APEX,NC,27523.0,27523.0,11484.0,11485.0
Battery Walk,BATTERYWALK,Cary,CARY,NC,27519.0,27519.0,11486.0,11487.0
Battle Abby,BATTLEABBY,Knightdale,KNIGHTDALE,NC,27545.0,27545.0,11488.0,11489.0
Battle Bridge,BATTLEBRIDGE,Raleigh,RALEIGH,NC,27610.0,27610.0,11508.0,11561.0
Battle Field,BATTLEFIELD,Garner,GARNER,NC,27529.0,27529.0,11562.0,11565.0
Battleford,BATTLEFORD,Raleigh,RALEIGH,NC,27612.0,27612.0,11566.0,11577.0
Battleford,BATTLEFORD,Raleigh,RALEIGH,NC,27613.0,27613.0,11578.0,11585.0
Battlement,BATTLEMENT,Knightdale,KNIGHTDALE,NC,27545.0,27545.0,11586.0,11587.0
Battles,BATTLES,Holly Springs,HOLLYSPRINGS,NC,27540.0,27540.0,11588.0,11589.0
Battleview,BATTLEVIEW,Raleigh,RALEIGH,NC,27613.0,27613.0,11590.0,11605.0
Battlewood,BATTLEWOOD,Apex,APEX,NC,27523.0,27523.0,11606.0,11615.0
Battom,BATTOM,Raleigh,RALEIGH,NC,27613.0,27613.0,11616.0,11617.0
Batts,BATTS,Raleigh,RALEIGH,NC,27603.0,27603.0,11618.0,11619.0
Batts,BATTS,Raleigh,RALEIGH,NC,27604.0,27604.0,11620.0,11621.0
Baucatcher,BAUCATCHER,Zebulon,ZEBULON,NC,27597.0,27597.0,11622.0,11623.0
Baucom,BAUCOM,Apex,APEX,NC,27502.0,27502.0,11624.0,11629.0
Baucom,BAUCOM,Raleigh,RALEIGH,NC,27610.0,27610.0,11632.0,11635.0
Baucom Grove,BAUCOMGROVE,Cary,CARY,NC,27519.0,27519.0,11646.0,11647.0
Bauer,BAUER,Raleigh,RALEIGH,NC,27604.0,27604.0,11648.0,11649.0
Baugh,BAUGH,Wendell,WENDELL,NC,27591.0,27591.0,11650.0,11651.0
Baugh,BAUGH,Raleigh,RALEIGH,NC,27604.0,27604.0,11652.0,11661.0
Baver,BAVER,Raleigh,RALEIGH,NC,27607.0,27607.0,11662.0,11663.0
Bavin,BAVIN,Raleigh,RALEIGH,NC,27613.0,27613.0,11664.0,11665.0
Bax Hill,BAXHILL,Fuquay Varina,FUQUAYVARINA,NC,27526.0,27526.0,11666.0,11666.0
Bax Hill,BAXHILL,Raleigh,RALEIGH,NC,27603.0,27603.0,11667.0,11669.0
Baxley,BAXLEY,Raleigh,RALEIGH,NC,27610.0,27610.0,11670.0,11675.0
Baxter,BAXTER,Knightdale,KNIGHTDALE,NC,,27610.0,11676.0,11678.0
Baxter,BAXTER,Knightdale,KNIGHTDALE,NC,27545.0,27610.0,11679.0,11679.0
Bay,BAY,Cary,CARY,NC,27511.0,27511.0,11680.0,11683.0
Bay,BAY,Raleigh,RALEIGH,NC,27615.0,27615.0,11684.0,11685.0
Baya Vista,BAYAVISTA,Wake Forest,WAKEFOREST,NC,27587.0,27587.0,11686.0,11687.0
Baybark,BAYBARK,Apex,APEX,NC,27539.0,27539.0,11688.0,11691.0
Bayberry,BAYBERRY,Garner,GARNER,NC,27529.0,27529.0,11692.0,11695.0
Bayberry,BAYBERRY,Raleigh,RALEIGH,NC,27612.0,27612.0,11696.0,11705.0
Bayberry Woods,BAYBERRYWOODS,Garner,GARNER,NC,27529.0,27529.0,11706.0,11709.0
Bay Bouquet,BAYBOUQUET,Apex,APEX,NC,27523.0,27523.0,11710.0,11713.0
Baybriar,BAYBRIAR,Raleigh,RALEIGH,NC,27613.0,27613.0,11714.0,11719.0
Baybridge Wynd,BAYBRIDGEWYND,Raleigh,RALEIGH,NC,27613.0,27613.0,11720.0,11725.0
Baybrook,BAYBROOK,Cary,CARY,NC,27518.0,27518.0,11726.0,11727.0
Baybush,BAYBUSH,Raleigh,RALEIGH,NC,27615.0,27615.0,11728.0,11731.0
Bay Creek,BAYCREEK,Raleigh,RALEIGH,NC,27614.0,27614.0,11732.0,11733.0
Bayfield,BAYFIELD,Raleigh,RALEIGH,NC,27606.0,27606.0,11734.0,11737.0
Baygall,BAYGALL,Holly Springs,HOLLYSPRINGS,NC,27540.0,27540.0,11738.0,11739.0
Bayham,BAYHAM,Holly Springs,HOLLYSPRINGS,NC,27540.0,27540.0,11740.0,11745.0
Bay Harbor,BAYHARBOR,Raleigh,RALEIGH,NC,27604.0,27604.0,11746.0,11753.0
Bayhill,BAYHILL,Raleigh,RALEIGH,NC,27615.0,27615.0,11754.0,11755.0
Bay Horse,BAYHORSE,Raleigh,RALEIGH,NC,27614.0,27614.0,11756.0,11757.0
Bay Hunter,BAYHUNTER,Raleigh,RALEIGH,NC,27610.0,27610.0,11758.0,11759.0
Bay Laurel,BAYLAUREL,Wake Forest,WAKEFOREST,NC,27587.0,27587.0,11760.0,11763.0
Bayleaf,BAYLEAF,Raleigh,RALEIGH,NC,27614.0,27614.0,11770.0,11773.0
Bayleaf,BAYLEAF,Raleigh,RALEIGH,NC,27615.0,27615.0,11774.0,11781.0
Bayleaf Church,BAYLEAFCHURCH,Raleigh,RALEIGH,NC,27614.0,27614.0,11782.0,11793.0
Bayleigh,BAYLEIGH,Garner,GARNER,NC,27529.0,27529.0,11794.0,11795.0
Bayless Ridge,BAYLESSRIDGE,Morrisville,MORRISVILLE,NC,27560.0,27560.0,11796.0,11797.0
Bayliner,BAYLINER,Raleigh,RALEIGH,NC,27604.0,27604.0,11798.0,11801.0
Bayliss,BAYLISS,Cary,CARY,NC,27519.0,27519.0,11802.0,11803.0
Baylor,BAYLOR,Raleigh,RALEIGH,NC,27609.0,27609.0,11804.0,11805.0
Baymar,BAYMAR,Raleigh,RALEIGH,NC,27612.0,27612.0,11806.0,11825.0
Bay Meadow,BAYMEADOW,Raleigh,RALEIGH,NC,27615.0,27615.0,11826.0,11827.0
Baymoore Rock,BAYMOOREROCK,Fuquay Varina,FUQUAYVARINA,NC,27526.0,27526.0,11828.0,11829.0
Baynam Pond,BAYNAMPOND,Wake Forest,WAKEFOREST,NC,27587.0,27587.0,11830.0,11837.0
Bayoak,BAYOAK,Cary,CARY,NC,27513.0,27513.0,11838.0,11867.0
Bayou,BAYOU,Knightdale,KNIGHTDALE,NC,27545.0,27545.0,11868.0,11871.0
Bayreuth,BAYREUTH,Cary,CARY,NC,27513.0,27513.0,11872.0,11873.0
Bayridge,BAYRIDGE,Raleigh,RALEIGH,NC,27604.0,27604.0,11874.0,11875.0
Bay Rum,BAYRUM,Raleigh,RALEIGH,NC,27610.0,27610.0,11876.0,11881.0
Baysdale,BAYSDALE,Apex,APEX,NC,27523.0,27523.0,11882.0,11883.0
Bayshore,BAYSHORE,Raleigh,RALEIGH,NC,27613.0,27613.0,11884.0,11885.0
Bayside,BAYSIDE,Raleigh,RALEIGH,NC,27613.0,27613.0,11886.0,11887.0
Bayspring,BAYSPRING,Raleigh,RALEIGH,NC,27613.0,27613.0,11888.0,11893.0
