TERM
a
à
ah
ai
ainsi
air
ait
alice
aller
allons
alors
ami
amour
ans
après
arrive
as
assez
au
aurait
aussi
autour
autre
autres
aux
avaient
avait
avant
avec
avez
avoir
avons
b
bas
beau
beaucoup
belle
ben
bien
bon
bonheur
bonjour
bonne
bras
c
c'
ça
capitaine
car
ce
cela
celle
celui
cent
cependant
ces
c'est
cet
c'était
cette
ceux
chambre
chaque
chez
chose
choses
ci
cinq
cinquante
comme
comment
contre
côté
coup
d
d'
d'accord
dans
d'autres
de
déjà
demande
depuis
des
dès
désirez
dess
deux
deuxième
devant
devoir
dire
dis
dit
dix
doit
donc
donner
dont
doute
droit
du
d'un
d'une
e
eh
elle
elles
en
encore
enfin
ensuite
entre
est
et
étaient
étais
était
été
être
eu
eut
eût
eux
exemple
f
fa
faire
faisait
fait
faite
faites
faut
fils
fin
fit
fois
fort
france
francs
fut
g
grand
gros
h
hein
huit
i
ici
il
ill
ils
j
j'
j'ai
jamais
je
k
l
l'
la
là
l'autre
le
les
leur
leurs
loin
long
longtemps
lui
m
m'
ma
maintenant
mais
mal
me
mer
merci
mes
mieux
milieu
moi
moins
mois
moment
mon
monde
n
n'
n'a
ne
n'est
ni
nom
non
nos
notre
nous
nouveau
nouvelle
n'y
o
oh
on
ont
ou
où
oui
p
par
parce
pas
pendant
petit
peu
peut
peux
plus
pour
pourquoi
pouvoir
pouvons
près
presque
puis
q
qu
qu'
quand
que
quel
quelle
qu'elle
quelque
quelques
qui
qu'il
qu'ils
quoi
qu'on
r
re
rien
s
s'
sa
sais
sans
savoir
se
sera
serait
ses
s'est
seul
seulement
si
s'il
sommes
son
sont
sous
suis
sur
sûr
t
ta
tant
te
temps
tes
toi
ton
toujours
tour
tous
tout
toute
toutes
tre
très
trop
tu
u
un
une
ur
v
va
vais
vers
veux
voilà
vos
votre
vous
vu
w
x
y
yeux
z
