unicode,euc,ibm,pcibm
U+3151,A4C1,84A1,8284
U+3152,A4C2,84C1,8285
U+3153,A4C3,84E1,8286
U+3154,A4C4,8541,8287
U+3155,A4C5,8561,828A
U+3156,A4C6,8581,828B
U+3157,A4C7,85A1,828C
U+3158,A4C8,85C1,828D
U+3159,A4C9,85E1,828E
U+315A,A4CA,8641,828F
U+315B,A4CB,8661,8292
U+315C,A4CC,8681,8293
U+315D,A4CD,86A1,8294
U+315E,A4CE,86C1,8295
U+315F,A4CF,86E1,8296
U+3160,A4D0,8741,8297
U+3161,A4D1,8761,829A
U+3162,A4D2,8781,829B
U+3163,A4D3,87A1,829C
U+2170,A5A1,4641,839F
U+2171,A5A2,4642,83A0
U+2172,A5A3,4643,83A1
U+2173,A5A4,4644,83A2
U+2174,A5A5,4645,83A3
U+2175,A5A6,4646,83A4
U+2176,A5A7,4647,83A5
U+2177,A5A8,4648,83A6
U+2178,A5A9,4649,83A7
U+2179,A5AA,464A,83A8
U+2160,A5B0,4650,83AE
U+2161,A5B1,4651,83AF
U+2162,A5B2,4652,83B0
U+2163,A5B3,4653,83B1
U+2164,A5B4,4654,83B2
U+2165,A5B5,4655,83B3
U+2166,A5B6,4656,83B4
U+2167,A5B7,4657,83B5
U+2168,A5B8,4658,83B6
U+2169,A5B9,4659,83B7
U+0320,A5C1,4661,83BF
U+0320,A5C2,4662,83C0
U+0320,A5C3,4663,83C1
U+0320,A5C4,4664,83C2
U+0320,A5C5,4665,83C3
U+0320,A5C6,4666,83C4
U+0320,A5C7,4667,83C5
U+0320,A5C8,4668,83C6
U+0320,A5C9,4669,83C7
U+0320,A5CA,466A,83C8
U+0320,A5CB,466B,83C9
U+0320,A5CC,466C,83CA
U+0320,A5CD,466D,83CB
U+0320,A5CE,466E,83CC
U+0320,A5CF,466F,83CD
U+03A0,A5D0,4670,83CE
U+03A1,A5D1,4671,83CF
U+03A3,A5D2,4672,83D0
U+03A4,A5D3,4673,83D1
U+03A5,A5D4,4674,83D2
U+03A6,A5D5,4675,83D3
U+03A7,A5D6,4676,83D4
U+03A8,A5D7,4677,83D5
U+03A9,A5D8,4678,83D6
U+03B1,A520,4620,83DF
U+03B2,A520,4620,83E0
U+03B3,A520,4620,83E1
U+03B4,A520,4620,83E2
U+03B5,A520,4620,83E3
U+03B6,A520,4620,83E4
U+03B7,A520,4620,83E5
U+03B8,A520,4620,83E6
U+03B9,A520,4620,83E7
U+03BA,A520,4620,83E8
U+03BB,A520,4620,83E9
U+03BC,A520,4620,83EA
U+03BD,A520,4620,83EB
U+03BE,A520,4620,83EC
U+03BF,A520,4620,83ED
