unicode,euc,ibm,pcibm
U+B1D0,B320,9245,884F
U+B1D4,B320,9249,8850
U+B1DC,B3FD,9251,8851
U+B1DF,B4A1,9255,8852
U+B120,B4A2,9261,8853
U+B120,B4A7,9275,8854
U+B1FD,B4A8,9277,8855
U+B204,B4A9,9281,8856
U+B205,B4AA,9282,8857
U+B208,B4AB,9285,8858
U+B20B,B4AC,9288,8859
U+B20C,B4AD,9289,885A
U+B214,B4AE,9291,885B
U+B215,B4AF,9293,885C
U+B217,B4B0,9295,885D
U+B219,B4B1,9297,885E
U+B220,B4B2,92A1,885F
U+B234,B4B3,92B6,8861
U+B23C,B4B4,92C1,8862
U+B258,B4B5,92E1,8863
U+B25C,B4B6,92E5,8864
U+B260,B4B7,92E9,8865
U+B268,B4B8,92F1,8866
U+B269,B4B9,92F3,8867
U+B274,B4BA,9341,8868
U+B275,B4BB,9342,8869
U+B27C,B4BC,9349,886A
U+B220,B4BD,9351,886B
U+B220,B4BF,9357,886C
U+B220,B4C0,9361,886D
U+B220,B4C1,9362,886E
U+B220,B4C2,9365,886F
U+B220,B4C3,9369,8870
U+B220,B4C4,936A,8871
U+B2A0,B4C6,9371,8872
U+B2A1,B4C7,9373,8873
U+B2A3,B4C8,9375,8874
U+B2A5,B4C9,9377,8875
U+B2A6,B4CA,9378,8876
U+B2AA,B4CB,937C,8878
U+B2AC,B4CC,9381,8879
U+B2B4,B4CE,9389,887A
U+B2C8,B4CF,93A1,887C
U+B2C9,B4D0,93A2,887D
U+B2CC,B4D1,93A5,887E
U+B2D0,B4D2,93A9,8880
U+B2D8,B4D4,93B1,8882
U+B2D9,B4D5,93B3,8883
U+B2DB,B4D6,93B5,8884
U+B2DD,B4D7,93B7,8885
U+B220,B4D8,93BC,8887
U+B220,B4D9,9461,8888
U+B220,B4DA,9462,8889
U+B220,B4DB,9463,888A
U+B220,B4DC,9465,888B
U+B220,B4DD,9468,888C
U+B220,B4DE,9469,888D
U+B220,B4DF,946A,888E
U+B220,B420,946B,888F
U+B220,B420,946C,8890
U+B220,B420,9470,8891
U+B220,B420,9471,8892
U+B220,B420,9473,8893
U+B220,B420,9475,8894
U+B220,B420,9477,8895
U+B220,B420,9478,8896
U+B220,B420,9479,8897
U+B2FF,B420,947D,8898
U+B300,B420,9481,8899
U+B301,B420,9482,889A
U+B304,B420,9485,889B
U+B308,B420,9489,889C
U+B310,B420,9491,889D
U+B311,B420,9493,889E
U+B313,B420,9495,889F
U+B314,B420,9496,88A0
U+B315,B420,9497,88A1
U+B31C,B420,94A1,88A2
U+B354,B420,94E1,88A5
U+B355,B420,94E2,88A6
U+B356,B420,94E3,88A7
U+B358,B420,94E5,88A8
U+B35B,B420,94E8,88A9
U+B35C,B420,94E9,88AA
U+B35E,B420,94EB,88AB
U+B35F,B420,94EC,88AC
U+B364,B4FD,94F1,88AD
U+B365,B4FE,94F3,88AE
U+B367,B5A1,94F5,88AF
U+B369,B5A2,94F7,88B1
U+B36B,B5A3,94F9,88B3
U+B36E,B5A4,94FC,88B4
U+B370,B5A5,9541,88B5
U+B371,B5A6,9542,88B6
U+B374,B5A7,9545,88B7
U+B378,B5A8,9549,88B8
U+B380,B5A9,9551,88B9
U+B320,B5AA,9553,88BA
U+B320,B5AB,9555,88BB
U+B320,B5AD,9557,88BC
U+B320,B5AE,9561,88BD
U+B320,B5AF,9565,88BE
U+B320,B5B0,9569,88BF
U+B3A8,B5B3,9581,88C1
U+B3C4,B5B5,95A1,88C2
U+B3C5,B5B6,95A2,88C3
U+B3C8,B5B7,95A5,88C4
U+B3CB,B5B8,95A8,88C5
U+B3CC,B5B9,95A9,88C6
U+B3D0,B5BB,95AD,88C7
U+B3D4,B5BC,95B1,88C9
U+B3D5,B5BD,95B3,88CA
U+B3D7,B5BE,95B5,88CB
U+B3D9,B5BF,95B7,88CC
U+B3DB,B5C0,95B9,88CD
U+B3DD,B5C1,95BB,88CE
U+B320,B5C2,95C1,88CF
U+B320,B5C5,95E1,88D0
U+B410,B5C6,95F6,88D3
U+B418,B5C7,9641,88D4
U+B41C,B5C8,9645,88D5
U+B420,B5C9,9649,88D6
U+B428,B5CA,9651,88D7
U+B429,B5CB,9653,88D8
U+B42B,B5CC,9655,88D9
U+B434,B5CD,9661,88DB
U+B450,B5CE,9681,88DC
U+B451,B5CF,9682,88DD
U+B454,B5D0,9685,88DE
U+B458,B5D1,9689,88E0
U+B460,B5D2,9691,88E1
U+B461,B5D3,9693,88E2
U+B463,B5D4,9695,88E3
U+B465,B5D5,9697,88E4
U+B46C,B5D6,96A1,88E5
U+B480,B5D7,96B6,88E7
U+B420,B5D8,96C1,88E8
U+B420,B5D9,96D7,88E9
U+B4A4,B5DA,96E1,88EA
U+B4A8,B5DB,96E5,88EB
U+B4AC,B5DC,96E9,88EC
U+B4B5,B5DD,96F3,88EE
U+B4B7,B5DE,96F5,88EF
U+B4B9,B5DF,96F7,88F0
U+B4C0,B520,9741,88F1
U+B4C8,B520,9749,88F3
U+B4D0,B520,9751,88F4
U+B4DC,B520,9761,88F5
U+B4DD,B520,9762,88F6
U+B420,B520,9765,88F7
U+B420,B520,9768,88F8
U+B420,B520,9769,88F9
U+B420,B520,9771,88FB
U+B420,B520,9773,88FC
U+B420,B520,9775,8940
U+B420,B520,9777,8941
U+B420,B520,9781,8942
U+B514,B520,97A1,8943
U+B515,B520,97A2,8944
U+B518,B520,97A5,8945
U+B51B,B520,97A8,8946
U+B51C,B520,97A9,8947
U+B524,B520,97B1,8948
U+B525,B520,97B3,8949
U+B527,B520,97B5,894A
U+B528,B520,97B6,894B
U+B529,B520,97B7,894C
U+B52A,B520,97B8,894D
U+B530,B520,9861,894F
U+B531,B520,9862,8950
U+B534,B5FD,9865,8952
U+B538,B5FE,9869,8954
U+B540,B6A1,9871,8956
U+B541,B6A2,9873,8957
U+B543,B6A3,9875,8958
U+B544,B6A4,9876,8959
U+B545,B6A5,9877,895A
U+B54B,B6A6,987D,895B
U+B54C,B6A7,9881,895C
U+B54D,B6A8,9882,895D
U+B550,B6A9,9885,895E
U+B554,B6AA,9889,895F
U+B55C,B6AB,9891,8960
U+B55D,B6AC,9893,8961
U+B55F,B6AD,9895,8962
U+B560,B6AE,9896,8963
U+B561,B6AF,9897,8964
U+B5A0,B6B0,98E1,8967
U+B5A1,B6B1,98E2,8968
U+B5A4,B6B2,98E5,8969
U+B5AB,B6B5,98EC,896B
U+B5B0,B6B6,98F1,896C
U+B5B1,B6B7,98F3,896D
U+B5B3,B6B8,98F5,896E
U+B5B4,B6B9,98F6,896F
U+B5B5,B6BA,98F7,8970
U+B5BB,B6BB,98FD,8971
U+B5BC,B6BC,9941,8972
U+B5BD,B6BD,9942,8973
U+B5C0,B6BE,9945,8974
U+B5C4,B6BF,9949,8975
U+B5CC,B6C0,9951,8976
U+B5CF,B6C2,9955,8977
U+B5D0,B6C3,9956,8978
U+B5D1,B6C4,9957,8979
U+B5D8,B6C5,9961,897A
U+B610,B6C7,99A1,897C
U+B611,B6C8,99A2,897D
U+B614,B6C9,99A5,897E
U+B618,B6CA,99A9,8980
U+B625,B6CB,99B7,8981
U+B62C,B6CC,99C1,8982
U+B634,B6CD,99C9,8983
U+B648,B6CE,99E1,8984
U+B664,B6CF,9A41,8985
U+B620,B6D1,9A81,8987
U+B620,B6D2,9A82,8988
U+B6A0,B6D3,9A85,8989
U+B6A4,B6D4,9A89,898A
U+B6AB,B6D5,9A90,898B
U+B6AC,B6D6,9A91,898C
U+B6B1,B6D7,9A97,898D
U+B6D4,B6D8,9AC1,898F
U+B620,B6D9,9AE1,8990
U+B620,B6DA,9AE5,8991
U+B620,B6DB,9AE9,8992
U+B700,B6DC,9AF1,8993
U+B701,B6DD,9AF3,8994
U+B705,B6DE,9AF7,8995
U+B728,B6DF,9B61,8997
U+B729,B620,9B62,8998
U+B72C,B620,9B65,8999
U+B72F,B620,9B68,899A
U+B730,B620,9B69,899B
U+B738,B620,9B71,899C
U+B739,B620,9B73,899D
U+B73B,B620,9B75,899E
U+B744,B620,9B81,899F
U+B748,B620,9B85,89A0
U+B74C,B620,9B89,89A1
U+B760,B620,9BA1,89A2
U+B764,B620,9BA5,89A3
U+B768,B620,9BA9,89A4
U+B770,B620,9BB1,89A5
U+B771,B620,9BB3,89A6
U+B773,B620,9BB5,89A7
U+B775,B620,9BB7,89A8
U+B77C,B620,9C61,89A9
U+B77D,B620,9C62,89AA
U+B780,B620,9C65,89AB
U+B720,B620,9C69,89AC
U+B720,B620,9C71,89AD
U+B720,B620,9C73,89AE
U+B720,B620,9C75,89AF
U+B720,B620,9C76,89B0
U+B720,B620,9C77,89B1
U+B720,B6FE,9C7D,89B2
U+B720,B7A1,9C81,89B3
U+B720,B7A2,9C82,89B4
U+B720,B7A3,9C85,89B5
U+B7A0,B7A4,9C89,89B6
U+B7A8,B7A5,9C91,89B7
U+B7A9,B7A6,9C93,89B8
U+B7AB,B7A7,9C95,89B9
U+B7AC,B7A8,9C96,89BA
U+B7AD,B7A9,9C97,89BB
U+B7B4,B7AA,9CA1,89BC
U+B7B5,B7AB,9CA2,89BD
U+B7B8,B7AC,9CA5,89BE
U+B7C9,B7AE,9CB7,89BF
U+B720,B7AF,9CE1,89C1
U+B720,B7B0,9CE2,89C2
U+B720,B7B1,9CE5,89C3
U+B720,B7B2,9CE9,89C4
U+B720,B7B3,9CF1,89C5
U+B7FD,B7B4,9CF3,89C6
U+B7FF,B7B5,9CF5,89C7
U+B800,B7B6,9CF6,89C8
U+B801,B7B7,9CF7,89C9
U+B807,B7B8,9CFD,89CA
U+B808,B7B9,9D41,89CB
U+B809,B7BA,9D42,89CC
U+B80C,B7BB,9D45,89CD
U+B810,B7BC,9D49,89CF
U+B818,B7BD,9D51,89D0
U+B819,B7BE,9D53,89D1
U+B81B,B7BF,9D55,89D2
U+B81D,B7C0,9D57,89D3
U+B824,B7C1,9D61,89D4
U+B825,B7C2,9D62,89D5
U+B828,B7C3,9D65,89D6
U+B82C,B7C4,9D69,89D7
U+B834,B7C5,9D71,89D8
U+B835,B7C6,9D73,89D9
U+B837,B7C7,9D75,89DA
U+B838,B7C8,9D76,89DB
U+B839,B7C9,9D77,89DC
U+B840,B7CA,9D81,89DD
U+B85C,B7CE,9DA1,89DE
U+B85D,B7CF,9DA2,89DF
U+B860,B7D0,9DA5,89E0
U+B864,B7D1,9DA9,89E1
U+B86C,B7D2,9DB1,89E2
U+B86D,B7D3,9DB3,89E3
U+B86F,B7D4,9DB5,89E4
U+B871,B7D5,9DB7,89E5
U+B878,B7D6,9DC1,89E6
U+B8B0,B7DA,9E41,89E8
U+B8B4,B7DB,9E45,89E9
U+B8B8,B7DC,9E49,89EA
U+B8C0,B7DD,9E51,89EB
U+B8C1,B7DE,9E53,89EC
U+B8CC,B720,9E61,89ED
U+B820,B720,9E77,89EF
U+B820,B720,9E81,89F0
U+B820,B720,9E82,89F1
U+B820,B720,9E85,89F2
U+B820,B720,9E89,89F3
U+B820,B720,9E91,89F4
U+B820,B720,9E93,89F5
U+B820,B720,9E95,89F6
U+B8FD,B720,9E97,89F7
U+B904,B720,9EA1,89F8
U+B918,B720,9EB6,89FA
U+B920,B720,9EC1,89FB
U+B93C,B720,9EE1,89FC
U+B93D,B720,9EE2,8A40
U+B958,B720,9F41,8A41
U+B959,B720,9F42,8A42
U+B95C,B720,9F45,8A43
U+B960,B720,9F49,8A44
U+B968,B7FD,9F51,8A45
U+B96B,B8A1,9F55,8A46
U+B96D,B8A2,9F57,8A47
U+B974,B8A3,9F61,8A48
U+B975,B8A4,9F62,8A49
U+B978,B8A5,9F65,8A4A
U+B97C,B8A6,9F69,8A4B
U+B920,B8A7,9F71,8A4C
U+B920,B8A8,9F73,8A4D
U+B920,B8A9,9F75,8A4E
U+B920,B8AA,9F77,8A4F
U+B920,B8AD,9F7C,8A50
U+B9AC,B8AE,9FA1,8A52
U+B9AD,B8AF,9FA2,8A53
U+B9B0,B8B0,9FA5,8A54
U+B9B4,B8B1,9FA9,8A55
U+B9BC,B8B2,9FB1,8A56
U+B9BD,B8B3,98E9,896A
U+B9BD,B8B3,9FB3,8A57
U+B9BF,B8B4,9FB5,8A58
U+B9C1,B8B5,9FB7,8A59
U+B9C8,B8B6,A061,8A5A
U+B9C9,B8B7,A062,8A5B
U+B9CC,B8B8,A065,8A5C
U+B9CE,B8B9,A067,8A5D
U+B9CF,B8BA,A068,8A5E
U+B9D0,B8BB,A069,8A5F
U+B9D1,B8BC,A06A,8A60
U+B9D8,B8BE,A071,8A61
U+B9D9,B8BF,A073,8A62
U+B9DB,B8C0,A075,8A63
U+B9DD,B8C1,A077,8A64
U+B9DE,B8C2,A078,8A65
U+B920,B8C3,A07B,8A67
U+B920,B8C4,A07D,8A68
U+B920,B8C5,A020,8A69
U+B920,B8C6,A020,8A6A
U+B920,B8C7,A020,8A6B
U+B920,B8C8,A020,8A6C
U+B920,B8C9,A020,8A6D
U+B920,B8CA,A020,8A6E
U+B920,B8CB,A020,8A6F
U+B920,B8CC,A020,8A70
U+B920,B8CD,A020,8A71
U+B920,B8CE,A020,8A72
U+BA00,B8CF,A0A1,8A74
U+BA01,B8D0,A0A2,8A75
U+BA08,B8D1,A0A9,8A76
U+BA38,B8D3,A020,8A78
U+BA39,B8D4,A020,8A79
U+BA3C,B8D5,A020,8A7A
U+BA40,B8D6,A020,8A7B
U+BA48,B8D8,A020,8A7C
U+BA49,B8D9,A020,8A7D
U+BA4B,B8DA,A020,8A7E
U+BA4D,B8DB,A020,8A80
U+BA4E,B8DC,A020,8A81
U+BA53,B8DD,A0FD,8A82
U+BA54,B8DE,A141,8A83
U+BA55,B8DF,A142,8A84
U+BA58,B820,A145,8A85
U+BA5C,B820,A149,8A86
U+BA64,B820,A151,8A87
U+BA65,B820,A153,8A88
U+BA67,B820,A155,8A89
U+BA68,B820,A156,8A8A
U+BA69,B820,A157,8A8B
U+BA70,B820,A161,8A8E
U+BA71,B820,A162,8A8F
U+BA74,B820,A165,8A90
U+BA78,B820,A169,8A91
U+BA20,B820,A175,8A93
U+BA20,B820,A176,8A94
U+BA20,B820,A177,8A95
U+BA20,B820,A179,8A96
U+BA20,B820,A120,8A97
U+BAA8,B820,A1A1,8A98
U+BAA9,B820,A1A2,8A99
U+BAAB,B820,A1A4,8A9A
U+BAAC,B820,A1A5,8A9B
U+BAB0,B820,A1A9,8A9D
U+BAB8,B820,A1B1,8A9E
U+BAB9,B820,A1B3,8A9F
U+BABB,B820,A1B5,8AA0
U+BABD,B820,A1B7,8AA1
U+BAC4,B820,A1C1,8AA3
U+BA20,B8FE,A241,8AA5
U+BB04,B9A2,A249,8AA6
U+BB0D,B9A3,A253,8AA7
U+BB0F,B9A4,A255,8AA8
U+BB18,B9A6,A261,8AA9
U+BB34,B9AB,A220,8AAA
U+BB35,B9AC,A220,8AAB
U+BB36,B9AD,A220,8AAC
U+BB38,B9AE,A220,8AAD
U+BB3B,B9AF,A220,8AAE
U+BB3C,B9B0,A220,8AAF
U+BB3D,B9B1,A220,8AB0
U+BB44,B9B3,A220,8AB1
U+BB47,B9B5,A220,8AB2
U+BB49,B9B6,A220,8AB3
U+BB4D,B9B7,A220,8AB4
U+BB4F,B9B8,A220,8AB5
U+BB50,B9B9,A2A1,8AB6
U+BB54,B9BA,A2A5,8AB7
U+BB58,B9BB,A2A9,8AB8
U+BB61,B9BC,A2B3,8AB9
U+BB63,B9BD,A2B5,8ABA
U+BB6C,B9BE,A2C1,8ABB
U+BB20,B9BF,A220,8ABC
U+BB20,B9C0,A220,8ABD
U+BB20,B9C1,A220,8ABE
U+BBA4,B9C2,A341,8ABF
U+BBA8,B9C3,A345,8AC0
U+BBAC,B9C4,A349,8AC1
U+BBB4,B9C5,A351,8AC2
U+BBC0,B9C7,A361,8AC3
U+BBC4,B9C8,A365,8AC5
U+BBC8,B9C9,A369,8AC6
U+BBD0,B9CA,A371,8AC7
U+BBD3,B9CB,A375,8AC8
U+BB20,B9CC,A3A1,8ACC
U+BB20,B9CD,A3A2,8ACD
U+BB20,B9CE,A3A5,8ACE
U+BBFF,B9CF,A3A8,8ACF
U+BC00,B9D0,A3A9,8AD0
U+BC08,B9D2,A3B1,8AD1
U+BC09,B9D3,A3B3,8AD2
U+BC0B,B9D4,A3B5,8AD3
U+BC0D,B9D6,A3B7,8AD4
U+BC0F,B9D7,A3B9,8AD6
U+BC11,B9D8,A3BB,8AD7
U+BC14,B9D9,A461,8AD8
U+BC15,B9DA,A462,8AD9
U+BC16,B9DB,A463,8ADA
U+BC18,B9DD,A465,8ADB
U+BC1B,B9DE,A468,8ADC
U+BC1C,B9DF,A469,8ADD
U+BC1D,B920,A46A,8ADE
U+BC1E,B920,A46B,8ADF
U+BC1F,B920,A46C,8AE0
U+BC24,B920,A471,8AE1
U+BC25,B920,A473,8AE2
U+BC27,B920,A475,8AE3
U+BC29,B920,A477,8AE5
U+BC2D,B920,A47B,8AE6
U+BC30,B920,A420,8AE7
U+BC31,B920,A420,8AE8
U+BC34,B920,A420,9AE9
U+BC38,B920,A420,8AEB
U+BC40,B920,A420,8AEC
U+BC41,B920,A420,8AED
U+BC43,B920,A420,8AEE
U+BC44,B920,A420,9AEF
U+BC45,B920,A420,8AF0
U+BC49,B920,A420,8AF1
U+BC4C,B920,A4A1,8AF2
U+BC4D,B920,A4A2,8AF3
U+BC50,B920,A4A5,8AF4
U+BC5D,B920,A4B3,8AF6
U+BC20,B920,A420,8AF8
U+BC20,B920,A420,8AF9
U+BC20,B920,A420,8AFA
U+BC20,B920,A420,8AFB
U+BC20,B920,A420,8AFC
U+BC20,B920,A420,8B40
U+BC20,B9FD,A420,8B41
U+BC20,B9FE,A420,8B42
U+BC20,BAA1,A420,8B44
U+BC20,BAA2,A420,8B45
U+BCA0,BAA3,A541,8B47
U+BCA1,BAA4,A542,8B48
U+BCA4,BAA5,A545,8B49
U+BCA7,BAA6,A548,8B4A
U+BCA8,BAA7,A549,8B4B
U+BCB0,BAA8,A551,8B4C
U+BCB1,BAA9,A553,8B4D
U+BCB3,BAAA,A555,8B4E
U+BCB5,BAAC,A557,8B4F
U+BCBC,BAAD,A561,8B51
U+BCBD,BAAE,A562,8B52
U+BCC0,BAAF,A565,8B53
U+BCC4,BAB0,A569,8B54
U+BCCD,BAB1,A573,8B56
U+BCCF,BAB2,A575,8B57
U+BCD0,BAB3,A576,8B58
U+BCD1,BAB4,A577,8B59
U+BCD5,BAB5,A57B,8B5D
U+BCD8,BAB6,A520,8B5E
U+BC20,BAB8,A5A1,8B5F
U+BC20,BAB9,A5A2,8B60
U+BC20,BABA,A5A3,8B61
U+BC20,BABB,A5A5,8B62
U+BC20,BABC,A5A9,8B63
U+BD04,BABD,A5B1,8B64
U+BD05,BABE,A5B3,8B65
U+BD07,BABF,A5B5,8B66
U+BD09,BAC0,A5B7,8B67
U+BD10,BAC1,A5C1,8B68
U+BD14,BAC2,A5C5,8B69
U+BD24,BAC3,A5D6,8B6B
U+BD2C,BAC4,A520,8B6C
U+BD48,BAC6,A641,8B6D
U+BD49,BAC7,A642,8B6E
U+BD4C,BAC8,A645,8B6F
U+BD50,BAC9,A649,8B70
U+BD58,BACA,A651,8B71
U+BD59,BACB,A653,8B72
U+BD64,BACC,A661,8B73
U+BD80,BACE,A620,8B74
U+BD20,BACF,A620,8B75
U+BD20,BAD0,A620,8B76
U+BD20,BAD1,A620,8B77
U+BD20,BAD2,A620,8B78
U+BD20,BAD3,A620,8B79
U+BD20,BAD5,A620,8B7A
U+BD20,BAD6,A620,8B7B
U+BD20,BAD7,A620,8B7C
U+BD20,BAD8,A620,8B7D
U+BD20,BAD9,A620,8B80
U+BD20,BADA,A620,8B81
U+BD20,BADB,A6A1,8B82
U+BDB8,BADE,A6C1,8B84
U+BDD4,BADF,A620,8B85
U+BDD8,BA20,A620,8B86
U+BDDC,BA20,A620,8B87
U+BD20,BA20,A741,8B88
U+BD20,BA20,A745,8B89
U+BE0C,BA20,A761,8B8A
U+BE0D,BA20,A762,8B8B
U+BE10,BA20,A765,8B8C
U+BE14,BA20,A769,8B8D
U+BE1C,BA20,A771,8B8F
U+BE1D,BA20,A773,8B90
U+BE1F,BA20,A775,8B91
U+BE44,BA20,A7A1,8B94
U+BE45,BA20,A7A2,8B95
U+BE48,BA20,A7A5,8B96
U+BE4C,BA20,A7A9,8B98
U+BE54,BA20,A7B1,8B99
U+BE55,BA20,A7B3,8B9A
U+BE57,BA20,A7B5,8B9B
U+BE59,BA20,A7B7,8B9C
U+BE5A,BA20,A7B8,8B9D
U+BE5B,BA20,A7B9,8B9E
U+BE60,BA20,A861,8B9F
U+BE61,BAFD,A862,8BA0
U+BE64,BAFE,A865,8BA1
U+BE68,BBA1,A869,8BA2
U+BE70,BBA3,A871,8BA3
U+BE71,BBA4,A873,8BA4
U+BE73,BBA5,A875,8BA5
U+BE74,BBA6,A876,8BA6
U+BE75,BBA7,A877,8BA7
U+BE7B,BBA8,A87D,8BA8
U+BE7C,BBA9,A820,8BA9
U+BE7D,BBAA,A820,8BAA
U+BE80,BBAB,A820,8BAB
U+BE20,BBAC,A820,8BAC
U+BE20,BBAD,A820,8BAD
U+BE20,BBAF,A820,8BAE
U+BE20,BBB0,A820,8BAF
U+BE20,BBB1,A820,8BB0
U+BE20,BBB2,A8A1,8BB1
U+BEA8,BBB4,A8B1,8BB3
U+BED0,BBB5,A820,8BB5
U+BED1,BBB6,A820,8BB6
U+BED4,BBB7,A820,8BB7
U+BED7,BBB8,A820,8BB8
U+BED8,BBB9,A820,8BB9
U+BE20,BBBA,A820,8BBA
U+BE20,BBBB,A820,8BBB
U+BE20,BBBC,A820,8BBC
U+BE20,BBBD,A820,8BBD
U+BE20,BBBE,A941,8BBE
U+BF01,BBBF,A957,8BC3
U+BF08,BBC0,A961,8BC4
U+BF09,BBC1,A962,8BC5
U+BF18,BBC2,A971,8BC6
U+BF1B,BBC4,A975,8BC7
U+BF1D,BBC6,A977,8BC8
U+BF40,BBC7,A9A1,8BCA
U+BF41,BBC8,A9A2,8BCB
U+BF44,BBC9,A9A5,8BCC
U+BF48,BBCA,A9A9,8BCD
U+BF50,BBCB,A9B1,8BCE
U+BF51,BBCC,A9B3,8BCF
U+BF55,BBCD,A9B7,8BD0
U+BF20,BBCE,AA41,8BD3
U+BFB0,BBCF,AA61,8BD4
U+BFC5,BBD0,AA77,8BD6
U+BFCC,BBD1,AA20,8BD7
U+BFCD,BBD2,AA20,8BD8
U+BFD0,BBD3,AA20,8BD9
U+BFD4,BBD4,AA20,8BDA
U+BFDC,BBD5,AA20,8BDC
U+BFDF,BBD6,AA20,8BDE
U+BF20,BBD7,AA20,8BDF
U+C03C,BBD8,AB41,8BE3
U+C058,BBDA,AB61,8BE4
U+C05C,BBDB,AB65,8BE6
U+C060,BBDC,AB69,8BE7
U+C068,BBDD,AB71,8BE8
U+C069,BBDE,AB73,8BE9
U+C020,BBDF,ABA1,8BEB
U+C020,BB20,ABA2,8BEC
U+C020,BB20,ABA5,8BED
U+C020,BB20,ABA9,8BEE
U+C0A0,BB20,ABB1,8BEF
U+C0A1,BB20,ABB3,8BF0
U+C0A3,BB20,ABB5,8BF1
U+C0A5,BB20,ABB7,8BF2
U+C0AC,BB20,AC61,8BF3
U+C0AD,BB20,AC62,8BF4
U+C0AF,BB20,AC64,8BF6
U+C0B0,BB20,AC65,8BF7
U+C0B3,BB20,AC68,8BF8
U+C0B4,BB20,AC69,8BF9
U+C0B5,BB20,AC6A,8BFA
U+C0B6,BB20,AC6B,8BFB
U+C0BC,BB20,AC71,8C41
U+C0BD,BB20,AC73,8C42
U+C0BF,BB20,AC75,8C43
U+C0C0,BB20,AC76,8C44
U+C0C1,BB20,AC77,8C45
U+C0C5,BB20,AC7B,8C47
U+C0C8,BB20,AC20,8C49
U+C0C9,BB20,AC20,8C4A
U+C0CC,BB20,AC20,8C4B
U+C0D0,BB20,AC20,8C4D
U+C0D8,BB20,AC20,8C4E
U+C0D9,BB20,AC20,8C4F
U+C0DB,BB20,AC20,8C50
U+C0DC,BB20,AC20,8C51
U+C0DD,BBFD,AC20,8C52
U+C020,BBFE,ACA1,8C53
U+C020,BCA1,ACA2,8C54
U+C020,BCA2,ACA5,8C55
U+C020,BCA3,ACA9,8C56
U+C020,BCA4,ACB1,8C57
U+C020,BCA6,ACB5,8C58
U+C020,BCA7,ACB7,8C59
U+C100,BCA8,ACC1,8C5A
U+C110,BCAB,ACD1,8C5B
U+C11C,BCAD,AC20,8C5C
U+C11D,BCAE,AC20,8C5D
U+C11E,BCAF,AC20,8C5E
U+C11F,BCB0,AC20,8C5F
U+C120,BCB1,AC20,8C60
U+C123,BCB2,AC20,8C61
U+C124,BCB3,AC20,8C62
U+C127,BCB5,AC20,8C64
U+C12C,BCB6,AC20,8C65
U+C12D,BCB7,AC20,8C66
U+C12F,BCB8,AC20,8C67
U+C130,BCB9,AC20,8C68
U+C131,BCBA,AC20,8C69
U+C136,BCBB,AC20,8C6A
U+C138,BCBC,AD41,8C6B
U+C139,BCBD,AD42,8C6C
U+C13C,BCBE,AD45,8C6D
U+C140,BCBF,AD49,8C6F
U+C148,BCC0,AD51,8C70
U+C149,BCC1,AD53,8C71
U+C14B,BCC2,AD55,8C72
U+C14D,BCC4,AD57,8C73
U+C154,BCC5,AD61,8C75
U+C155,BCC6,AD62,8C76
U+C158,BCC7,AD65,8C78
U+C15C,BCC8,AD69,8C79
U+C164,BCC9,AD71,8C7A
U+C167,BCCB,AD75,8C7B
U+C168,BCCC,AD76,8C7C
U+C169,BCCD,AD77,8C7D
U+C170,BCCE,AD20,8C7E
U+C174,BCCF,AD20,8C80
U+C178,BCD0,AD20,8C81
U+C120,BCD2,ADA1,8C82
U+C120,BCD3,ADA2,8C83
U+C120,BCD4,ADA3,8C84
U+C120,BCD5,ADA5,8C85
U+C120,BCD6,ADA9,8C87
U+C120,BCD8,ADB1,8C88
U+C120,BCD9,ADB3,8C89
U+C120,BCDA,ADB5,8C8A
U+C1A1,BCDB,ADB7,8C8B
U+C1A5,BCDC,ADBB,8C8C
U+C1A8,BCDD,ADC1,8C8D
U+C1A9,BCDE,ADC2,8C8E
U+C1B0,BC20,ADC9,8C8F
U+C1C4,BC20,AD20,8C91
U+C1C8,BC20,AD20,8C92
U+C1D7,BC20,AD20,8C93
U+C120,BC20,AE41,8C94
U+C120,BC20,AE45,8C95
U+C120,BC20,AE49,8C96
U+C120,BC20,AE51,8C97
U+C120,BC20,AE53,8C98
U+C120,BC20,AE55,8C99
U+C120,BC20,AE61,8C9A
U+C1FD,BC20,AE62,8C9B
U+C200,BC20,AE65,8C9C
U+C204,BC20,AE69,8C9D
U+C20C,BC20,AE71,8C9E
U+C20D,BC20,AE73,8C9F
U+C20F,BC20,AE75,8CA0
U+C211,BC20,AE77,8CA1
U+C218,BC20,AE20,8CA2
U+C219,BC20,AE20,8CA3
U+C21C,BC20,AE20,8CA4
U+C21F,BC20,AE20,8CA5
U+C220,BC20,AE20,8CA6
U+C228,BC20,AE20,8CA7
U+C229,BC20,AE20,8CA8
U+C22B,BCFD,AE20,8CA9
U+C22D,BCFE,AE20,8CAA
U+C22F,BDA1,AE20,8CAB
U+C231,BDA2,AE20,8CAC
U+C232,BDA3,AE20,8CAD
U+C234,BDA4,AEA1,8CAE
U+C250,BDA6,AEC1,8CAF
U+C251,BDA7,AEC2,8CB0
U+C258,BDA9,AEC9,8CB1
U+C265,BDAB,AED7,8CB2
U+C26C,BDAC,AE20,8CB3
U+C26D,BDAD,AE20,8CB4
U+C270,BDAE,AE20,8CB5
U+C274,BDAF,AE20,8CB6
U+C27C,BDB0,AE20,8CB7
U+C27D,BDB1,AE20,8CB8
U+C27F,BDB2,AE20,8CB9
