Term,Role
sungguhpun,Conj
sut,Interj
tadinya,Prep
tahunya,Prep
tak,Pron
tampaknya,Conj
tanpa,Prep
tante,Pron
tapi,Conj
tek,Interj
telanjur,Conj
tengah,Prep
tengku,Pron
tentang,Conj
tentang,Prep
terhadap,Conj
terhadap,Prep
terhadapnya,Prep
terhingga,Conj
terkecuali,Conj
ternyata,Conj
tetapi,Conj
tidak,Conj
tiga,Num
toh,Interj
tok,Interj
tri,Num
tuh,Interj
tujuh,Num
tuk,Prep
uda,Pron
uh,Interj
ujang,Pron
umpamanya,Conj
untuk,Conj
untuk,Prep
untukku,Prep
untukmu,Prep
untuknya,Prep
waduh,Interj
wah,Interj
wahai,Interj
wai,Interj
waktu,Conj
walah,Interj
walau,Conj
walaupun,Conj
weh,Interj
ya,Interj
yang,Pron
yuk,Interj
