MSGID,MNEMONIC,LINENO,LEVEL,TEXT,PBUTTONS
500.0,DI_ENTRY_TYPE_NOT_ALLOWED,1.0,E,%lThe entry type specified is not allowed.,SASHELP.FSP.OK.SLIST
501.0,DI_INVALID_FILEREF_NAME,1.0,E,%lInvalid fileref name %1$.  Please use a valid SAS name.,SASHELP.FSP.OK.SLIST
502.0,IO_FILEREF_NOT_ASSIGNED,1.0,E,%lThe fileref %1$ is not assigned.,SASHELP.FSP.OK.SLIST
503.0,DI_INCOMPLETE_ENTRY_NAME,1.0,E,%lIncomplete catalog entry name.,SASHELP.FSP.OK.SLIST
504.0,IO_INVALID_FORMAT_INFORMAT,1.0,E,%lInvalid format and informat specified,SASHELP.FSP.OK.SLIST
505.0,IN_INVALID_DATAFORM_ENTRY,1.0,E,%lInvalid Dataform Entry,SASHELP.FSP.OK.SLIST
506.0,IN_INVALID_AUTOSAVE_VALUE,1.0,E,%lInvalid Autosave Value. Value must be greater,SASHELP.FSP.OK.SLIST
506.0,IN_INVALID_AUTOSAVE_VALUE,2.0,E,than zero.,SASHELP.FSP.OK.SLIST
507.0,IN_NO_USER_ATTRIBUTE_ENTRY,1.0,E,%lNo user attribute entry specified.,SASHELP.FSP.OK.SLIST
508.0,IN_UATTR_NOT_EXIST,1.0,E,%lUser attribute program %1$ does not exist.,SASHELP.FSP.OK.SLIST
512.0,IO_INVALID_LENGTH,1.0,E,%lInvalid column length specified,SASHELP.FSP.OK.SLIST
513.0,IO_READ_ONLY_SITUATION,1.0,W,%lThis will produce a READ-ONLY situation.,SASHELP.FSP.OK.SLIST
514.0,IO_INVALID_VARIABLE,1.0,E,%lThe variable %1$ does not exist.,SASHELP.FSP.OK.SLIST
531.0,IN_NONCOMPUTED_COLUMN,1.0,W,New non-computed column in dataform entry. These,SASHELP.FSP.OK.SLIST
531.0,IN_NONCOMPUTED_COLUMN,2.0,W,columns will replace existing columns if OK is,SASHELP.FSP.OK.SLIST
531.0,IN_NONCOMPUTED_COLUMN,3.0,W,used to exit attribute screen.,SASHELP.FSP.OK.SLIST
536.0,IN_MIN_GREATER_THAN_MAX,1.0,E,Minimum value is greater than maximum value,SASHELP.FSP.OK.SLIST
537.0,IN_MAXIMUM_LESS_THAN_MINIMUM,1.0,E,Maximum value is less than minimum value,SASHELP.FSP.OK.SLIST
538.0,IN_INITIAL_OUT_OF_RANGE,1.0,E,Initial value not between maximum and minimum,SASHELP.FSP.OK.SLIST
541.0,DI_MASTER_DELETE_FAILED,1.0,E,The master record for '%1$' could not be deleted,SASHELP.FSP.OK.SLIST
541.0,DI_MASTER_DELETE_FAILED,2.0,E,because one or more associated detials could not,SASHELP.FSP.OK.SLIST
541.0,DI_MASTER_DELETE_FAILED,3.0,E,be deleted.,SASHELP.FSP.OK.SLIST
554.0,DI_INVALID_CATALOG,1.0,E,%lCatalog %1$ does not exist.  Please specify a valid SAS catalog for the %2$.,SASHELP.FSP.OK.SLIST
555.0,DI_INVALID_CLASS,1.0,E,%lInvalid configuration management class entered for the %1$.  Please specify a valid class or select the control object for a list of valid classes.,SASHELP.FSP.OK.SLIST
557.0,DI_SUBORDINATE_REQUIRED,1.0,E,"%lIn order to add an observation, values are required for both the subordinate level and subordinate class fields.  Please enter values or select cancel to exit.",SASHELP.FSP.OK.SLIST
559.0,CL_CUT,1.0,L,Cut,
560.0,CL_COPY,1.0,L,Copy,
561.0,CL_PASTE,1.0,L,Paste,
562.0,CL_CLEAR,1.0,L,Clear,
568.0,IO_ANGLE_INVALID,1.0,E,The specified angle is incorrect.,SASHELP.FSP.OK.SLIST
568.0,IO_ANGLE_INVALID,2.0,E,The angle must be between 0 and 360 degrees.,SASHELP.FSP.OK.SLIST
578.0,IN_COLUMN_TYPE_DIFFER,1.0,W,Dataform entry column's type and dataset column's,SASHELP.FSP.OK.SLIST
578.0,IN_COLUMN_TYPE_DIFFER,2.0,W,type are different.,SASHELP.FSP.OK.SLIST
579.0,IN_COLUMN_AND_COLUMN_TYPE_DIFFER,1.0,W,Non-computed column found in dataform entry,SASHELP.FSP.OK.SLIST
579.0,IN_COLUMN_AND_COLUMN_TYPE_DIFFER,2.0,W,that is not in the dataset and the dataform,SASHELP.FSP.OK.SLIST
579.0,IN_COLUMN_AND_COLUMN_TYPE_DIFFER,3.0,W,entry's column type differ from that of,SASHELP.FSP.OK.SLIST
579.0,IN_COLUMN_AND_COLUMN_TYPE_DIFFER,4.0,W,the dataset.,SASHELP.FSP.OK.SLIST
601.0,IO_FILEREF_TO_NONEXISTANT_FILE,1.0,E,"%lThe fileref specified, %1$, has been assigned but the file it points to does not exist or cannot be read.",SASHELP.FSP.OK.SLIST
602.0,IO_DIRECTORY_NOT_FILE,1.0,E,"%l %1$ is the name of a directory, not the name of a file.",SASHELP.FSP.OK.SLIST
605.0,IO_SYSMSG,1.0,E,%1$,SASHELP.FSP.OK.SLIST
