libname,memname,memtype
MAPSGFK,TUNISIA_ATTR,DATA
MAPSGFK,TURKEY,DATA
MAPSGFK,TURKEY_ATTR,DATA
MAPSGFK,TURKMENISTAN,DATA
MAPSGFK,TURKMENISTAN_ATTR,DATA
MAPSGFK,UGANDA,DATA
MAPSGFK,UGANDA_ATTR,DATA
MAPSGFK,UK,DATA
MAPSGFK,UKRAINE,DATA
MAPSGFK,UKRAINE_ATTR,DATA
MAPSGFK,UK_ALL,DATA
MAPSGFK,UK_ALL_ATTR,DATA
MAPSGFK,UK_ATTR,DATA
MAPSGFK,UNITED_ARAB_EMIRATES,DATA
MAPSGFK,UNITED_ARAB_EMIRATES_ATTR,DATA
MAPSGFK,URUGUAY,DATA
MAPSGFK,URUGUAY_ATTR,DATA
MAPSGFK,US,DATA
MAPSGFK,USCENTER,DATA
MAPSGFK,USCENTER_ALL,DATA
MAPSGFK,USCITY,DATA
MAPSGFK,USCITY_ALL,DATA
MAPSGFK,US_ALL,DATA
MAPSGFK,US_ALL_ATTR,DATA
MAPSGFK,US_COUNTIES,DATA
MAPSGFK,US_COUNTIES_ATTR,DATA
MAPSGFK,US_STATES,DATA
MAPSGFK,US_STATES_ATTR,DATA
MAPSGFK,UZBEKISTAN,DATA
MAPSGFK,UZBEKISTAN_ATTR,DATA
MAPSGFK,VATICAN_CITY,DATA
MAPSGFK,VATICAN_CITY_ATTR,DATA
MAPSGFK,VENEZUELA,DATA
MAPSGFK,VENEZUELA_ATTR,DATA
MAPSGFK,VIET_NAM,DATA
MAPSGFK,VIET_NAM_ATTR,DATA
MAPSGFK,WESTERN_SAHARA,DATA
MAPSGFK,WESTERN_SAHARA_ATTR,DATA
MAPSGFK,WORLD,DATA
MAPSGFK,WORLD_ATTR,DATA
MAPSGFK,WORLD_CITIES,DATA
MAPSGFK,YEMEN,DATA
MAPSGFK,YEMEN_ATTR,DATA
MAPSGFK,ZAMBIA,DATA
MAPSGFK,ZAMBIA_ATTR,DATA
MAPSGFK,ZIMBABWE,DATA
MAPSGFK,ZIMBABWE_ATTR,DATA
MAPSSAS,AFGHANI2,DATA
MAPSSAS,AFGHANIS,DATA
MAPSSAS,AFRICA,DATA
MAPSSAS,AFRICA2,DATA
MAPSSAS,ALGERIA,DATA
MAPSSAS,ALGERIA2,DATA
MAPSSAS,ANDORRA,DATA
MAPSSAS,ANDORRA2,DATA
MAPSSAS,ANOMALY,DATA
MAPSSAS,ANTARCT2,DATA
MAPSSAS,ANTARCTI,DATA
MAPSSAS,ARGENTI2,DATA
MAPSSAS,ARGENTIN,DATA
MAPSSAS,ARMENIA,DATA
MAPSSAS,ARMENIA2,DATA
MAPSSAS,ASIA,DATA
MAPSSAS,ASIA2,DATA
MAPSSAS,AUSTRAL,DATA
MAPSSAS,AUSTRAL2,DATA
MAPSSAS,AUSTRIA,DATA
MAPSSAS,AUSTRIA2,DATA
MAPSSAS,AZERBAI2,DATA
MAPSSAS,AZERBAIJ,DATA
MAPSSAS,BANGLAD2,DATA
MAPSSAS,BANGLADE,DATA
MAPSSAS,BELARUS,DATA
MAPSSAS,BELARUS2,DATA
MAPSSAS,BELGIUM,DATA
MAPSSAS,BELGIUM2,DATA
MAPSSAS,BELIZE,DATA
MAPSSAS,BELIZE2,DATA
MAPSSAS,BHUTAN,DATA
MAPSSAS,BHUTAN2,DATA
MAPSSAS,BOLIVIA,DATA
MAPSSAS,BOLIVIA2,DATA
MAPSSAS,BOSNIAH2,DATA
MAPSSAS,BOSNIAHE,DATA
MAPSSAS,BRAZIL,DATA
MAPSSAS,BRAZIL2,DATA
MAPSSAS,BRUNEI,DATA
MAPSSAS,BRUNEI2,DATA
MAPSSAS,BULGARI2,DATA
MAPSSAS,BULGARIA,DATA
MAPSSAS,CAMBODI2,DATA
MAPSSAS,CAMBODIA,DATA
MAPSSAS,CANADA,DATA
MAPSSAS,CANADA2,DATA
MAPSSAS,CANADA3,DATA
MAPSSAS,CANADA4,DATA
MAPSSAS,CANCENS,DATA
MAPSSAS,CHILE,DATA
MAPSSAS,CHILE2,DATA
MAPSSAS,CHINA,DATA
MAPSSAS,CHINA2,DATA
MAPSSAS,CNTYNAME,DATA
MAPSSAS,COLOMBI2,DATA
MAPSSAS,COLOMBIA,DATA
MAPSSAS,COSTRIC2,DATA
MAPSSAS,COSTRICA,DATA
MAPSSAS,COUNTIES,DATA
MAPSSAS,COUNTY,DATA
MAPSSAS,CROATIA,DATA
MAPSSAS,CROATIA2,DATA
MAPSSAS,CUBA,DATA
MAPSSAS,CUBA2,DATA
MAPSSAS,CYPRUS,DATA
MAPSSAS,CYPRUS2,DATA
MAPSSAS,CZECH,DATA
MAPSSAS,CZECH2,DATA
MAPSSAS,DENMARK,DATA
MAPSSAS,DENMARK2,DATA
MAPSSAS,DOMINRE2,DATA
MAPSSAS,DOMINREP,DATA
MAPSSAS,ECUADOR,DATA
MAPSSAS,ECUADOR2,DATA
MAPSSAS,EGYPT,DATA
MAPSSAS,EGYPT2,DATA
MAPSSAS,ERITREA,DATA
MAPSSAS,ERITREA2,DATA
MAPSSAS,ESTONIA,DATA
MAPSSAS,ESTONIA2,DATA
MAPSSAS,ETHIOPI2,DATA
MAPSSAS,ETHIOPIA,DATA
MAPSSAS,EUROPE,DATA
MAPSSAS,EUROPE2,DATA
MAPSSAS,FGUIANA,DATA
MAPSSAS,FGUIANA2,DATA
MAPSSAS,FINLAND,DATA
MAPSSAS,FINLAND2,DATA
MAPSSAS,FRANCE,DATA
MAPSSAS,FRANCE2,DATA
MAPSSAS,GAZASTR2,DATA
MAPSSAS,GAZASTRI,DATA
MAPSSAS,GEORGIA,DATA
MAPSSAS,GEORGIA2,DATA
MAPSSAS,GERMANY,DATA
MAPSSAS,GERMANY2,DATA
MAPSSAS,GREECE,DATA
MAPSSAS,GREECE2,DATA
MAPSSAS,GUATEMA2,DATA
MAPSSAS,GUATEMAL,DATA
MAPSSAS,GUYANA,DATA
MAPSSAS,GUYANA2,DATA
MAPSSAS,HAITI,DATA
MAPSSAS,HAITI2,DATA
MAPSSAS,HKDB1,DATA
MAPSSAS,HKDB2,DATA
MAPSSAS,HKKWDB1,DATA
MAPSSAS,HKKWDB2,DATA
MAPSSAS,HKKWPU1,DATA
MAPSSAS,HKKWPU2,DATA
MAPSSAS,HKNTDB1,DATA
MAPSSAS,HKNTDB2,DATA
MAPSSAS,HKNTPU1,DATA
MAPSSAS,HKNTPU2,DATA
MAPSSAS,HKPU1,DATA
MAPSSAS,HKPU2,DATA
MAPSSAS,HONDURA2,DATA
MAPSSAS,HONDURAS,DATA
MAPSSAS,HUNGARY,DATA
MAPSSAS,HUNGARY2,DATA
MAPSSAS,INDIA,DATA
MAPSSAS,INDIA2,DATA
MAPSSAS,INDONES2,DATA
MAPSSAS,INDONESI,DATA
MAPSSAS,IRAN,DATA
MAPSSAS,IRAN2,DATA
MAPSSAS,IRAQ,DATA
MAPSSAS,IRAQ2,DATA
MAPSSAS,IRAQSAU2,DATA
MAPSSAS,IRAQSAUD,DATA
MAPSSAS,IRELAND,DATA
MAPSSAS,IRELAND2,DATA
MAPSSAS,ISRAEL,DATA
MAPSSAS,ISRAEL2,DATA
MAPSSAS,ITALY,DATA
MAPSSAS,ITALY2,DATA
MAPSSAS,IVORY,DATA
MAPSSAS,IVORY2,DATA
MAPSSAS,JAMAICA,DATA
MAPSSAS,JAMAICA2,DATA
MAPSSAS,JAOSAKA,DATA
MAPSSAS,JAOSAKA2,DATA
MAPSSAS,JAPAN,DATA
MAPSSAS,JAPAN2,DATA
MAPSSAS,JATOKYO,DATA
MAPSSAS,JATOKYO2,DATA
MAPSSAS,JDESC,DATA
MAPSSAS,JDESCE,DATA
MAPSSAS,KAZAKHS2,DATA
MAPSSAS,KAZAKHST,DATA
MAPSSAS,KENYA,DATA
MAPSSAS,KENYA2,DATA
MAPSSAS,KOREANO2,DATA
MAPSSAS,KOREANOR,DATA
MAPSSAS,KOREASO2,DATA
MAPSSAS,KOREASOU,DATA
MAPSSAS,KOSEOUL,DATA
MAPSSAS,KOSEOUL2,DATA
MAPSSAS,KYRGYZS2,DATA
MAPSSAS,KYRGYZST,DATA
MAPSSAS,LAOS,DATA
MAPSSAS,LAOS2,DATA
MAPSSAS,LATVIA,DATA
MAPSSAS,LATVIA2,DATA
MAPSSAS,LEBANON,DATA
MAPSSAS,LEBANON2,DATA
MAPSSAS,LIBYA,DATA
MAPSSAS,LIBYA2,DATA
MAPSSAS,LIECHTE2,DATA
MAPSSAS,LIECHTEN,DATA
MAPSSAS,LITHUAN2,DATA
MAPSSAS,LITHUANI,DATA
MAPSSAS,LUXEMBO2,DATA
MAPSSAS,LUXEMBOU,DATA
MAPSSAS,MACAU,DATA
MAPSSAS,MACAU2,DATA
MAPSSAS,MACEDON2,DATA
MAPSSAS,MACEDONI,DATA
MAPSSAS,MALAYSI2,DATA
MAPSSAS,MALAYSIA,DATA
MAPSSAS,METAMAPS,DATA
MAPSSAS,MEXICO,DATA
MAPSSAS,MEXICO2,DATA
MAPSSAS,MOLDOVA,DATA
MAPSSAS,MOLDOVA2,DATA
MAPSSAS,MONACO,DATA
MAPSSAS,MONACO2,DATA
MAPSSAS,MONGOLI2,DATA
MAPSSAS,MONGOLIA,DATA
MAPSSAS,MONTENE2,DATA
MAPSSAS,MONTENEG,DATA
MAPSSAS,MOROCCO,DATA
MAPSSAS,MOROCCO2,DATA
MAPSSAS,MYANMAR,DATA
MAPSSAS,MYANMAR2,DATA
MAPSSAS,NAMERIC2,DATA
MAPSSAS,NAMERICA,DATA
MAPSSAS,NAMES,DATA
MAPSSAS,NEPAL,DATA
MAPSSAS,NEPAL2,DATA
MAPSSAS,NICARAG2,DATA
MAPSSAS,NICARAGU,DATA
MAPSSAS,NIGERIA,DATA
MAPSSAS,NIGERIA2,DATA
MAPSSAS,NORWAY,DATA
MAPSSAS,NORWAY2,DATA
MAPSSAS,NTLANDS,DATA
MAPSSAS,NTLANDS2,DATA
MAPSSAS,NZ,DATA
MAPSSAS,NZ2,DATA
MAPSSAS,OCEANIA,DATA
MAPSSAS,OCEANIA2,DATA
MAPSSAS,ODESC,DATA
MAPSSAS,ODESCE,DATA
MAPSSAS,OSAKA,DATA
MAPSSAS,PAKISTA2,DATA
MAPSSAS,PAKISTAN,DATA
MAPSSAS,PANAMA,DATA
MAPSSAS,PANAMA2,DATA
MAPSSAS,PARAGUA2,DATA
MAPSSAS,PARAGUAY,DATA
MAPSSAS,PERU,DATA
MAPSSAS,PERU2,DATA
MAPSSAS,PHILIPP2,DATA
MAPSSAS,PHILIPPI,DATA
MAPSSAS,POLAND,DATA
MAPSSAS,POLAND2,DATA
MAPSSAS,PORTUGA2,DATA
MAPSSAS,PORTUGAL,DATA
MAPSSAS,ROMANIA,DATA
MAPSSAS,ROMANIA2,DATA
MAPSSAS,RUSSIA,DATA
MAPSSAS,RUSSIA2,DATA
MAPSSAS,SALVADO2,DATA
MAPSSAS,SALVADOR,DATA
MAPSSAS,SAMERIC2,DATA
MAPSSAS,SAMERICA,DATA
MAPSSAS,SANMARI2,DATA
MAPSSAS,SANMARIN,DATA
MAPSSAS,SAUDIAR2,DATA
MAPSSAS,SAUDIARA,DATA
MAPSSAS,SERBIA,DATA
MAPSSAS,SERBIA2,DATA
MAPSSAS,SINGAPO2,DATA
MAPSSAS,SINGAPOR,DATA
MAPSSAS,SLOVAKI2,DATA
MAPSSAS,SLOVAKIA,DATA
MAPSSAS,SLOVENI2,DATA
MAPSSAS,SLOVENIA,DATA
MAPSSAS,SPACIFIC,DATA
MAPSSAS,SPAIN,DATA
MAPSSAS,SPAIN2,DATA
MAPSSAS,SRILANK2,DATA
MAPSSAS,SRILANKA,DATA
MAPSSAS,STATES,DATA
MAPSSAS,SURINAM2,DATA
MAPSSAS,SURINAME,DATA
MAPSSAS,SWEDEN,DATA
MAPSSAS,SWEDEN2,DATA
MAPSSAS,SWITZER2,DATA
MAPSSAS,SWITZERL,DATA
MAPSSAS,SYRIA,DATA
MAPSSAS,SYRIA2,DATA
MAPSSAS,TAIWAN,DATA
MAPSSAS,TAIWAN2,DATA
MAPSSAS,TAJIKIS2,DATA
MAPSSAS,TAJIKIST,DATA
MAPSSAS,TDESC,DATA
MAPSSAS,TDESCE,DATA
MAPSSAS,THAILAN2,DATA
MAPSSAS,THAILAND,DATA
MAPSSAS,TOKYO,DATA
MAPSSAS,TRINIDA2,DATA
MAPSSAS,TRINIDAD,DATA
MAPSSAS,TUNISIA,DATA
MAPSSAS,TUNISIA2,DATA
MAPSSAS,TURKEY,DATA
MAPSSAS,TURKEY2,DATA
MAPSSAS,TURKMEN2,DATA
MAPSSAS,TURKMENI,DATA
MAPSSAS,UK,DATA
MAPSSAS,UK2,DATA
MAPSSAS,UKRAINE,DATA
MAPSSAS,UKRAINE2,DATA
MAPSSAS,URUGUAY,DATA
MAPSSAS,URUGUAY2,DATA
MAPSSAS,US,DATA
MAPSSAS,US2,DATA
MAPSSAS,USCENTER,DATA
MAPSSAS,USCITY,DATA
MAPSSAS,USCOUNTY,DATA
MAPSSAS,UZBEKIS2,DATA
MAPSSAS,UZBEKIST,DATA
MAPSSAS,VENEZUE2,DATA
MAPSSAS,VENEZUEL,DATA
MAPSSAS,VIETNAM,DATA
MAPSSAS,VIETNAM2,DATA
MAPSSAS,WESTBAN2,DATA
MAPSSAS,WESTBANK,DATA
MAPSSAS,WORLD,DATA
MAPSSAS,ZAIRE,DATA
MAPSSAS,ZAIRE2,DATA
SASHELP,AACOMP,DATA
SASHELP,AARFM,DATA
SASHELP,ADSMSG,DATA
SASHELP,AFMSG,DATA
SASHELP,AIR,DATA
SASHELP,AIRLINE,DATA
SASHELP,APPLIANC,DATA
SASHELP,ASSCMGR,DATA
SASHELP,BASEBALL,DATA
SASHELP,BEI,DATA
SASHELP,BIRTHWGT,DATA
SASHELP,BMIMEN,DATA
SASHELP,BMT,DATA
SASHELP,BURROWS,DATA
SASHELP,BUY,DATA
SASHELP,BWEIGHT,DATA
SASHELP,CARS,DATA
SASHELP,CITIDAY,DATA
SASHELP,CITIMON,DATA
SASHELP,CITIQTR,DATA
SASHELP,CITIWK,DATA
SASHELP,CITIYR,DATA
SASHELP,CLASS,DATA
SASHELP,CLASSFIT,DATA
SASHELP,CLNMSG,DATA
SASHELP,CNTAINER,DATA
SASHELP,COLUMN,DATA
SASHELP,COMET,DATA
SASHELP,COUNTSERIES,DATA
SASHELP,CP951,DATA
SASHELP,CREDIT,DATA
SASHELP,CSSTOP,DATA
SASHELP,DASTOP,DATA
SASHELP,DEMOGRAPHICS,DATA
SASHELP,DESKACT,DATA
SASHELP,DESKFD,DATA
SASHELP,DESKOBJ,DATA
SASHELP,DESTOP,DATA
SASHELP,DFTDICT,DATA
SASHELP,DMCAS,DATA
SASHELP,DMGMSG,DATA
SASHELP,DMINE,DATA
SASHELP,DMTOOLS,DATA
SASHELP,DMWBTOOL,DATA
SASHELP,DPLOG,DATA
SASHELP,DYNATTR,DATA
SASHELP,EISMBRP,DATA
SASHELP,EISMSG,DATA
SASHELP,ELECTRIC,DATA
SASHELP,ELSTOP,DATA
SASHELP,EMSASCOD,DATA
SASHELP,EMTOOL,DATA
SASHELP,ENGSTOP,DATA
SASHELP,ENGSYNMS,DATA
SASHELP,ENG_MULTI,DATA
SASHELP,ENSO,DATA
SASHELP,ENSTOP,DATA
SASHELP,ESSTOP,DATA
SASHELP,ETSMSG,DATA
SASHELP,FAILURE,DATA
SASHELP,FEEDDET,DATA
SASHELP,FEEDER,DATA
SASHELP,FISH,DATA
SASHELP,FISTOP,DATA
SASHELP,FLAGS,DATA
SASHELP,FONTDATA,DATA
SASHELP,FORECASTBAT,DATA
SASHELP,FRCHSTOP,DATA
SASHELP,FRNCH_MULTI,DATA
SASHELP,FRSTOP,DATA
SASHELP,FSAUTH,DATA
SASHELP,FSHEAD,DATA
SASHELP,GAS,DATA
SASHELP,GCDIRECT,DATA
SASHELP,GCSTATE,DATA
SASHELP,GCTYPE,DATA
SASHELP,GEOEXM,DATA
SASHELP,GEOEXP,DATA
SASHELP,GEOEXS,DATA
SASHELP,GERM_MULTI,DATA
SASHELP,GNGMSG,DATA
SASHELP,GNGSMP1,DATA
SASHELP,GNGSMP2,DATA
SASHELP,GNP,DATA
SASHELP,GRIDDED,DATA
SASHELP,GRMNSTOP,DATA
SASHELP,GULFOIL,DATA
SASHELP,HEART,DATA
SASHELP,HESTOP,DATA
SASHELP,HISTOP,DATA
SASHELP,HKSCS01,DATA
SASHELP,HOLIDAY,DATA
SASHELP,HRSTOP,DATA
SASHELP,HUMID,DATA
SASHELP,HUSTOP,DATA
SASHELP,IDSTOP,DATA
SASHELP,IMAGERW,DATA
SASHELP,IMGMSG,DATA
SASHELP,IRIS,DATA
SASHELP,ITAL_MULTI,DATA
SASHELP,ITSTOP,DATA
SASHELP,JAC,DATA
SASHELP,JUNKMAIL,DATA
SASHELP,KOC,DATA
SASHELP,LAKE,DATA
SASHELP,LEUTEST,DATA
SASHELP,LEUTRAIN,DATA
SASHELP,LIBRARY,DATA
SASHELP,LOC,DATA
SASHELP,LSWMSG,DATA
SASHELP,MACRS10,DATA
SASHELP,MACRS15,DATA
SASHELP,MACRS20,DATA
SASHELP,MACRS3,DATA
SASHELP,MACRS5,DATA
SASHELP,MACRS7,DATA
SASHELP,MANAGE,DATA
SASHELP,MARGARIN,DATA
SASHELP,MDASSOC,DATA
SASHELP,MDBMSG,DATA
SASHELP,METAIMDB,DATA
SASHELP,METAMSG,DATA
SASHELP,MILEAGES,DATA
SASHELP,MIXDSTOP,DATA
SASHELP,MON1001,DATA
SASHELP,MON111,DATA
SASHELP,MONIKER,DATA
SASHELP,MRRGSTRY,DATA
SASHELP,MWELECT,DATA
SASHELP,NLSTOP,DATA
SASHELP,NOSTOP,DATA
SASHELP,NVST1,DATA
SASHELP,NVST2,DATA
SASHELP,NVST3,DATA
SASHELP,NVST4,DATA
SASHELP,NVST5,DATA
SASHELP,OMAASSC,DATA
SASHELP,OMAVERB,DATA
SASHELP,ORSALES,DATA
SASHELP,PLFIPS,DATA
SASHELP,PLSTOP,DATA
SASHELP,PORT_MULTI,DATA
SASHELP,PRDSAL2,DATA
SASHELP,PRDSAL3,DATA
SASHELP,PRDSALE,DATA
SASHELP,PRICEDATA,DATA
SASHELP,PROJ4DEF,DATA
SASHELP,PTSTOP,DATA
SASHELP,QSEEDS,DATA
SASHELP,QTR1001,DATA
SASHELP,QTR111,DATA
SASHELP,QUAKES,DATA
SASHELP,RENT,DATA
SASHELP,RETAIL,DATA
SASHELP,REVHUB2,DATA
SASHELP,ROCKPIT,DATA
SASHELP,ROSTOP,DATA
SASHELP,RUSTOP,DATA
SASHELP,SASMBC,DATA
SASHELP,SASMSG,DATA
SASHELP,SHELL,DATA
SASHELP,SHOES,DATA
SASHELP,SKSTOP,DATA
SASHELP,SLKWXL,DATA
SASHELP,SLSTOP,DATA
SASHELP,SMEMSG,DATA
SASHELP,SNACKS,DATA
SASHELP,SPAN_MULTI,DATA
SASHELP,SPRINGS,DATA
SASHELP,STEEL,DATA
SASHELP,STOCKS,DATA
SASHELP,STOPLST,DATA
SASHELP,STTMSG,DATA
SASHELP,SVRTDIST,DATA
SASHELP,SVSTOP,DATA
SASHELP,SYR1001,DATA
SASHELP,TABLE,DATA
SASHELP,THICK,DATA
SASHELP,TIMEDATA,DATA
SASHELP,TMINE,DATA
SASHELP,TOURISM,DATA
SASHELP,TRSTOP,DATA
SASHELP,TSXBAT,DATA
SASHELP,TSXFNC,DATA
SASHELP,USECON,DATA
SASHELP,US_DATA,DATA
SASHELP,VALLOPT,VIEW
SASHELP,VBPLAYRS,DATA
SASHELP,VCATALG,VIEW
SASHELP,VCFORMAT,VIEW
SASHELP,VCHKCON,VIEW
SASHELP,VCNCOLU,VIEW
SASHELP,VCNTABU,VIEW
SASHELP,VCOLUMN,VIEW
SASHELP,VDATAIT,VIEW
SASHELP,VDCTNRY,VIEW
SASHELP,VDEST,VIEW
SASHELP,VENGINE,VIEW
SASHELP,VERBMGR,DATA
SASHELP,VEXTFL,VIEW
SASHELP,VFILTER,VIEW
SASHELP,VFORMAT,VIEW
SASHELP,VFUNC,VIEW
SASHELP,VGOPT,VIEW
SASHELP,VIDMSG,DATA
SASHELP,VINDEX,VIEW
SASHELP,VINFOMP,VIEW
SASHELP,VLIBNAM,VIEW
SASHELP,VLOCALE,VIEW
SASHELP,VMACRO,VIEW
SASHELP,VMEMBER,VIEW
SASHELP,VOPTION,VIEW
SASHELP,VOTE1980,DATA
SASHELP,VPRMXML,VIEW
SASHELP,VPROMPT,VIEW
SASHELP,VREFCON,VIEW
SASHELP,VREMEMB,VIEW
SASHELP,VSACCES,VIEW
SASHELP,VSCATLG,VIEW
SASHELP,VSLIB,VIEW
SASHELP,VSTABLE,VIEW
SASHELP,VSTABVW,VIEW
SASHELP,VSTYLE,VIEW
SASHELP,VSVIEW,VIEW
SASHELP,VTABCON,VIEW
SASHELP,VTABLE,VIEW
SASHELP,VTITLE,VIEW
SASHELP,VVIEW,VIEW
SASHELP,VXATTR,VIEW
SASHELP,WEBMSG,DATA
SASHELP,WORKERS,DATA
SASHELP,YR1001,DATA
SASHELP,YR111,DATA
SASHELP,ZHC,DATA
SASHELP,ZIPCODE,DATA
SASHELP,ZIPMIL,DATA
SASHELP,ZTC,DATA
SASHELP,_CMPIDX_,DATA
STPSAMP,ODSSTYLE,VIEW
STPSAMP,STPBGT,DATA
STPSAMP,STPEURO,DATA
STPSAMP,STPSALE,DATA
WORK,__JUPYTERSASKERNEL__,DATA
