CLASNAME,OBJNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,PREDCLAS,PREDROLE,SUCCCLAS,SUCCROLE,VERB,PREDCARD,SUCCCARD
OMSassocmgr,DELETED *** Tree IS_CONTAINED_IN_0_N Group,1290438856.02698,,,,A0000001.A4000031,This association template has been deleted.,2.0,0.0,0.0,2.0,OMStree,OWNINGTREE,OMSgroup,TREEGROUPLIST,DELETED,0:m,1:1
OMSassocmgr,DELETED *** AuxProcess HAS Process,1290438856.0297,,,,A0000001.A4000032,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSauxprcs,POSTPROCESSLIST,OMSprocess,AFTERPROCESS,DELETED,1:1,0:m
OMSassocmgr,DELETED *** AuxProcess HAS Process,1290438856.03015,,,,A0000001.A4000033,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSauxprcs,PREPROCESSLIST,OMSprocess,BEFOREPROCESS,DELETED,1:1,0:m
OMSassocmgr,DELETED *** PhysicalTable IS_RELATED_TO_1 ColumnSet,1286978388.15078,,,,A0000001.A4000034,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSptable,PHYSICALSTORAGE,OMScolset,OWNINGCOLUMNSET,DELETED,1:1,0:1
OMSassocmgr,DELETED *** AbstractGroup USES Root,1290438856.03127,,,,A0000001.A4000035,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSabsgroup,GROUPLIST,OMSroot,MEMBERLIST,DELETED,0:m,0:m
OMSassocmgr,DELETED *** Connection IS_CONTAINED_IN_0_N Option,1290438856.03375,,,,A0000001.A4000036,This association template has been deleted.,2.0,0.0,0.0,2.0,OMScnction,OPTIONEDCONNECTION,OMSoption,OPTIONLIST,DELETED,0:m,1:1
OMSassocmgr,DELETED *** DataFile IS_CONTAINED_IN_0_N Option,1290438856.03493,,,,A0000001.A4000037,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSdatafile,OPTIONEDDATAFILE,OMSoption,OPTIONLIST,DELETED,0:m,1:1
OMSassocmgr,DELETED *** ResponsibleParty HAS_1_N_OF Person,1286978388.15263,,,,A0000001.A4000038,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSrespons,RESPONSIBILITYLIST,OMSperson,PERSONLIST,DELETED,1:m,0:m
OMSassocmgr,DELETED *** Root USES ResponsibleParty,1290438856.03148,,,,A0000001.A4000039,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSroot,OWNEDOBJECTLIST,OMSrespons,RESPONSIBLEPARTYLIST,DELETED,0:m,0:m
OMSassocmgr,DELETED *** Scheduler IS_CONTAINED_IN_0_N Option,1290438856.03271,,,,A0000001.A400003A,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSschedulr,OPTIONEDSCHEDULER,OMSoption,OPTIONLIST,DELETED,0:m,1:1
OMSassocmgr,DELETED *** TextFile IS_CONTAINED_IN_0_N Option,1290438856.03536,,,,A0000001.A400003B,This association template has been deleted.,2.0,0.0,0.0,2.0,OMStextfile,OPTIONEDTEXTFILE,OMSoption,OPTIONLIST,DELETED,0:m,1:1
OMSassocmgr,DELETED *** Transform IS_CONTAINED_IN_0_N Option,1290438856.04977,,,,A0000001.A400003C,This association template has been deleted.,2.0,0.0,0.0,2.0,OMStrnsform,OPTIONEDTRANSFORM,OMSoption,OPTIONLIST,DELETED,0:m,1:1
OMSassocmgr,DELETED *** WLibrary IS_CONTAINED_IN_0_N Option,1290438856.03117,,,,A0000001.A400003D,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSwlibrary,OPTIONEDLIBRARY,OMSoption,OPTIONLIST,DELETED,0:m,1:1
OMSassocmgr,DELETED *** CubeRegLevelAssoc HAS CubeRegion,1290438856.04987,,,,A0000001.A400003E,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSclassoc,CUBELEVELASSOCLIST,OMScubereg,OWNINGCUBEREGION,DELETED,1:1,0:m
OMSassocmgr,DELETED *** Cube IS_CONTAINED_IN_0_N CubeRegion,1290438856.03259,,,,A0000001.A400003F,This association template has been deleted.,2.0,0.0,0.0,2.0,OMScube,OWNINGCUBE,OMScubereg,CUBEREGIONLIST,DELETED,0:m,1:1
OMSassocmgr,DELETED *** Dimension USES Cube,1290438856.03181,,,,A0000001.A400003G,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSdim,DIMENSIONLIST,OMScube,CUBELIST,DELETED,0:m,0:m
OMSassocmgr,DELETED *** Dimension IS_CONTAINED_IN_0_N Level,1290438856.03227,,,,A0000001.A400003H,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSdim,OWNINGDIMENSION,OMSlevel,DIMENSIONLEVELLIST,DELETED,0:m,1:1
OMSassocmgr,DELETED *** Hierarchy USES Cube,1290438856.03248,,,,A0000001.A400003I,This association template has been deleted.,2.0,0.0,0.0,2.0,OMShrarchy,CUBEHIERARCHYLIST,OMScube,HIERARCHYCUBELIST,DELETED,0:m,0:m
OMSassocmgr,DELETED *** Hierarchy USES Level,1290438856.03238,,,,A0000001.A400003J,This association template has been deleted.,2.0,0.0,0.0,2.0,OMShrarchy,LEVELHIERARCHYLIST,OMSlevel,HIERARCHYLEVELLIST,DELETED,0:m,0:m
OMSassocmgr,DELETED *** Level IS_CONTAINED_IN_0_N CubeRegLevelAssoc,1290438856.05009,,,,A0000001.A400003K,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSlevel,OWNINGLEVEL,OMSclassoc,CUBERLEVELASSOCLIST,DELETED,0:m,1:1
OMSassocmgr,DELETED *** Level IS_CONTAINED_IN_0_N Member,1290438856.04998,,,,A0000001.A400003L,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSlevel,OWNINGLEVEL,OMSmember,LEVELMEMBERLIST,DELETED,0:m,1:1
OMSassocmgr,DELETED *** Member CONTAINS CubeRegLevelAssoc,1290438856.05019,,,,A0000001.A400003M,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSmember,CUBERMEMBERLIST,OMSclassoc,OWNINGCRLEVEL,DELETED,0:1,0:m
OMSassocmgr,DELETED *** Person IS_COMPOSED_OF_0_N ResponsibleParty,1290438856.02925,,,,A0000001.A400003N,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSperson,PERSONLIST,OMSrespons,RESPONSIBILITYLIST,DELETED,0:m,1:m
OMSassocmgr,DELETED *** SASPassword HAS PhysicalTable,1290438856.02849,,,,A0000001.A400003O,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSsaspass,SASPASSWORDLIST,OMSptable,SASFILE,DELETED,1:1,0:m
OMSassocmgr,DELETED *** ScheduledJob HAS Job,1290438856.02881,,,,A0000001.A400003P,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSschedjob,SCHEDULEDJOBLIST,OMSjob,STARTINGJOB,DELETED,1:1,0:m
OMSassocmgr,DELETED *** Scheduler IS_RELATED_TO_0_N ScheduledJob,1290438856.03284,,,,A0000001.A400003Q,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSschedulr,OWNINGSCHEDULER,OMSschedjob,SCHEDULEDJOBLIST,DELETED,0:m,0:1
OMSassocmgr,AuthenticationDomain IS_RELATED_TO_0_N Connection,1357142922.638,1357142922.638,,,A0000001.A400003R,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSauthdom,DOMAIN,OMScnction,CONNECTIONS,IS_RELATED_TO_0_N,0:m,0:1
OMSassocmgr,AuthenticationDomain IS_RELATED_TO_0_N Login,1357142922.638,1357142922.638,,,A0000001.A400003S,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSauthdom,DOMAIN,OMSlogin,LOGINS,IS_RELATED_TO_0_N,0:m,0:1
OMSassocmgr,SASCatalog IS_RELATED_TO_0_N SASCatalogEntry,1357142922.638,1357142922.638,,,A0000001.A400003T,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMScatalog,ASSOCIATEDSASCATALOG,OMScatentry,SASCATALOGENTRIES,IS_RELATED_TO_0_N,0:m,0:1
