role,Term,numdocs
Prep,dinanzi all',49.0
Prep,dinanzi alla,391.0
Prep,dinanzi alle,49.0
Prep,dinanzi allo,2.0
Prep,dinanzi all’,7.0
Conj,dopo che,1121.0
Prep,dopo d',1.0
Prep,dopo di,41.0
Adv,d’altra parte,88.0
Adv,d’ora in avanti,2.0
Adv,d’ora in poi,10.0
Adv,e così via,30.0
Conj,eccetto che,37.0
Adv,ex aequo,10.0
Adj,ex amministratore,3.0
Adv,fin d'ora,39.0
Adv,fin d’ora,11.0
Prep,fino a,1944.0
Prep,fino ad,716.0
Prep,fino agli,35.0
Prep,fino ai,115.0
Prep,fino al,3383.0
Prep,fino all',605.0
Prep,fino alla,1162.0
Prep,fino alle,76.0
Prep,fino allo,134.0
Prep,fino all’,160.0
Conj,fintanto che,160.0
Prep,fuori d',1.0
Prep,fuori dell',31.0
Prep,fuori dell’,5.0
Prep,fuori di,58.0
Prep,grazie a,397.0
Prep,grazie ad,255.0
Prep,grazie agli,57.0
Prep,grazie ai,141.0
Prep,grazie al,357.0
Prep,grazie all',231.0
Prep,grazie alla,438.0
Prep,grazie alle,209.0
Prep,grazie allo,39.0
Prep,grazie all’,127.0
Adv,in assoluto,33.0
Adv,in genere,589.0
Prep,in luogo degli,2.0
Prep,in luogo dei,11.0
Prep,in luogo del,24.0
Prep,in luogo dell',12.0
Prep,in luogo della,25.0
Prep,in luogo delle,33.0
Prep,in luogo dell’,1.0
Prep,in luogo di,46.0
Conj,in modo che,1539.0
Conj,in modo da,3051.0
Adv,in ogni,1875.0
Adv,in particolare,18533.0
Adv,in privato,5.0
Prep,in proporzione a,7.0
Prep,in proporzione agli,1.0
Prep,in proporzione ai,48.0
Prep,in proporzione al,82.0
Prep,in proporzione all',13.0
Prep,in proporzione alla,84.0
Prep,in proporzione alle,25.0
Prep,in proporzione allo,2.0
Prep,in proporzione all’,3.0
Adv,in qualsiasi,1363.0
Adv,in qualunque,192.0
Conj,in quanto,3355.0
Prep,in rapporto a,54.0
Prep,in rapporto ad,42.0
Prep,in rapporto agli,38.0
Prep,in rapporto ai,88.0
Prep,in rapporto al,118.0
Prep,in rapporto all',51.0
Prep,in rapporto alla,121.0
Prep,in rapporto alle,106.0
Prep,in rapporto allo,6.0
Prep,in rapporto all’,18.0
Adv,in realtà,333.0
Prep,in relazione a,559.0
Prep,in relazione ad,230.0
Prep,in relazione agli,210.0
Prep,in relazione ai,647.0
Prep,in relazione al,800.0
Prep,in relazione all',420.0
Prep,in relazione alla,960.0
Prep,in relazione alle,643.0
Prep,in relazione allo,45.0
Prep,in relazione all’,164.0
Adv,in verità,4.0
Prep,incontro a,13.0
Prep,incontro ad,6.0
Prep,incontro agli,4.0
Prep,incontro ai,8.0
Prep,incontro al,3.0
Prep,incontro all',1.0
Prep,incontro alla,9.0
Prep,incontro alle,35.0
Prep,innanzi a,3.0
Prep,innanzi ad,3.0
Prep,innanzi ai,2.0
Prep,innanzi al,5.0
Prep,innanzi all',1.0
Prep,innanzi alla,3.0
Prep,innanzi alle,1.0
Prep,innanzi all’,1.0
Conj,intanto che,3.0
Prep,intorno a,112.0
Prep,intorno ad,44.0
Prep,intorno agli,13.0
Prep,intorno ai,66.0
Prep,intorno al,110.0
Prep,intorno all',36.0
Prep,intorno alla,47.0
Prep,intorno alle,47.0
Prep,intorno allo,5.0
Prep,intorno all’,16.0
Prep,invece d',1.0
Prep,invece degli,8.0
Prep,invece dei,32.0
Prep,invece del,70.0
Prep,invece dell',27.0
Prep,invece della,34.0
Prep,invece delle,23.0
Prep,invece dello,4.0
Prep,invece dell’,6.0
Prep,invece di,241.0
Adv,ipso facto,22.0
Adv,ipso jure,5.0
Adj,irlanda del nord,39.0
Prep,lontano da,22.0
Prep,lontano dagli,4.0
Prep,lontano dai,10.0
Prep,lontano dal,35.0
Prep,lontano dall',8.0
Prep,lontano dalla,9.0
Prep,lontano dalle,12.0
Prep,lontano dall’,4.0
Prep,lungi da,2.0
Prep,lungi dai,1.0
Prep,lungi dal,24.0
Prep,lungi dall',31.0
Prep,lungi dalla,1.0
