TERM
ab
aber
acht
achtzig
all
alle
allein
als
an
anderer
andererseits
anders
auch
auf
aus
ausser
ausserdem
ausserhalb
bezueglich
bezüglich
daher
darauf
darum
darunter
das
der
deren
deshalb
dessen
deswegen
die
dies
diesem
diesen
dieser
dieses
dort
drei
dreissig
du
durch
eigen
eigene
eigenem
eigener
eigenes
ein
eine
einem
einer
eines
eins
einst
einstmals
elf
entweder
er
erselbst
es
etwa
etwas
fast
ferner
fuenf
fuenfzig
fünf
fünfzig
genug
habe
haben
habt
hat
hatte
hatten
herab
herauf
herunter
hier
hierauf
hin
hinab
hinauf
hinein
hinter
hinunter
hundert
ich
ihr
ihrem
ihren
ihrer
ihres
immer
in
inzwischen
irgendein
irgendeine
irgendeiner
irgendwie
irgendwo
ja
jede
jedem
jeder
jedes
jetzt
kann
koennen
koennte
konnte
können
könnte
manch
manchmal
mehr
mehrere
mich
mir
nach
nachher
naemlich
neben
nein
neun
neunzig
nicht
nichts
nichtsdestotrotz
niemand
nirgends
nirgendwo
noch
nur
nämlich
ob
obgleich
obwohl
oder
per
pro
richtig
rund
schon
sechs
sechzig
sehr
seit
sie
sieben
siebzig
sieselbst
sind
so
sogar
sonst
sonstwer
sonstwie
sonstwo
sowohl
statt
trotzdem
tu
tun
tut
ueber
ueberaus
und
unser
unserem
unserer
unseres
unter
unterdessen
verschieden
verschiedene
verschiedenes
vielleicht
vier
vierzig
vom
von
waehrend
wann
wannimmer
warum
wasimmer
weder
weil
weiter
wenig
wenige
wenn
werden
werimmer
wie
wieder
wir
wird
wo
woimmer
wuerde
wuerden
während
würde
würden
zehn
zu
zum
zur
zwanzig
zwar
zwei
zwischen
zwoelf
zwölf
über
überaus
