source,fncname,minarg,maxarg,fnctype,fncargs,fncprod
B,COLLATE,1.0,3.0,C,73.0,X
B,COMB,2.0,2.0,N,9.0,X
U,COMMIT,2.0,2.0,B,45.0,B
U,COMPANION_NEXT,5.0,8.0,B,4805781.0,B
B,COMPARE,2.0,3.0,N,146.0,X
B,COMPBL,1.0,1.0,C,2.0,X
B,COMPCOST,1.0,0.0,B,27.0,X
B,COMPFUZZ,2.0,4.0,N,585.0,X
B,COMPGED,2.0,4.0,N,1746.0,X
B,COMPLEV,2.0,4.0,N,1746.0,X
B,COMPOUND,4.0,4.0,N,585.0,X
B,COMPRESS,1.0,3.0,C,146.0,X
U,CONSTANT,1.0,2.0,N,10.0,X
U,CONVERTBASE,1.0,3.0,C,74.0,B
U,CONVX,3.0,0.0,N,73.0,X
U,CONVXP,6.0,6.0,N,37449.0,X
B,COS,1.0,1.0,N,1.0,X
B,COSH,1.0,1.0,N,1.0,X
B,COT,1.0,1.0,N,1.0,X
B,COUNT,2.0,3.0,N,146.0,X
B,COUNTC,2.0,3.0,N,146.0,X
B,COUNTQ,1.0,2.0,N,18.0,X
B,COUNTW,1.0,3.0,N,146.0,X
U,CRCXX1,1.0,-1.0,N,3.0,B
U,CRCXX2,0.0,0.0,N,0.0,B
U,CRCXX3,2.0,-1.0,B,25.0,B
U,CRCXX4,1.0,1.0,N,1.0,B
B,CSC,1.0,1.0,N,1.0,X
B,CSS,1.0,0.0,N,9.0,X
U,CUMIPMT,5.0,6.0,N,37449.0,X
U,CUMPRINC,5.0,6.0,N,37449.0,X
U,CUROBS,1.0,1.0,N,1.0,B
U,CUSUMARL,4.0,5.0,N,4682.0,B
B,CV,2.0,0.0,N,73.0,X
U,D2,1.0,1.0,N,1.0,B
U,D3,1.0,1.0,N,1.0,B
B,DACCDB,4.0,4.0,N,585.0,B
B,DACCDBSL,4.0,4.0,N,585.0,B
B,DACCSL,3.0,3.0,N,73.0,B
B,DACCSYD,3.0,3.0,N,73.0,B
B,DACCTAB,3.0,0.0,N,585.0,B
U,DAIRY,1.0,1.0,N,1.0,X
U,DATDIF,3.0,3.0,N,137.0,X
B,DATE,0.0,0.0,N,0.0,X
B,DATEJUL,1.0,1.0,N,1.0,X
B,DATEPART,1.0,1.0,N,1.0,X
B,DATETIME,0.0,0.0,N,0.0,X
B,DAY,1.0,1.0,N,1.0,X
U,DCLOSE,1.0,1.0,N,1.0,B
U,DCREATE,1.0,2.0,C,18.0,B
B,DCSS,2.0,0.0,N,73.0,X
U,DEFINE,3.0,3.0,B,211.0,B
U,DELETEALIAS,4.0,4.0,B,2706.0,B
U,DELETEMAP,3.0,3.0,B,338.0,B
U,DELETEMODEL,4.0,4.0,B,2706.0,B
B,DEPDB,4.0,4.0,N,585.0,B
B,DEPDBSL,4.0,4.0,N,585.0,B
B,DEPSL,3.0,3.0,N,73.0,B
B,DEPSYD,3.0,3.0,N,73.0,B
B,DEPTAB,3.0,0.0,N,585.0,B
