source,fncname,minarg,maxarg,fnctype,fncargs,fncprod
U,KFNCTTZH,3.0,3.0,N,74.0,B
U,KFNCTTZID,0.0,0.0,C,0.0,B
U,KFNCTTZNM,1.0,3.0,C,82.0,B
U,KFNCTTZOFF2ID,1.0,1.0,C,1.0,B
U,KFNCTTZT1,0.0,0.0,C,0.0,B
U,KFNCTTZWIN2ID,1.0,1.0,C,2.0,B
U,KFOLD,2.0,4.0,C,138.0,B
U,KGETDBLANG,0.0,0.0,C,0.0,B
U,KGETDBTYPE,0.0,0.0,C,0.0,B
B,KINDEX,2.0,2.0,N,18.0,X
B,KINDEXB,2.0,2.0,N,18.0,B
B,KINDEXC,2.0,0.0,N,146.0,X
B,KINDEXCB,2.0,0.0,N,146.0,B
B,KLEFT,1.0,1.0,C,2.0,X
B,KLENGTH,1.0,1.0,N,2.0,X
B,KLOWCASE,1.0,1.0,C,2.0,X
U,KPROPCASE,1.0,5.0,C,9362.0,B
U,KPROPCHAR,1.0,1.0,C,2.0,B
U,KPROPDATA,1.0,4.0,C,1170.0,X
U,KPRTF,2.0,0.0,B,1198.0,B
B,KREVERSE,1.0,1.0,C,2.0,X
B,KRIGHT,1.0,1.0,C,2.0,X
B,KSCAN,2.0,3.0,C,138.0,X
U,KSCANX,4.0,6.0,B,74314.0,B
U,KSCANX,2.0,4.0,C,1162.0,B
B,KSTRCAT,1.0,0.0,C,27.0,X
B,KSTRIP,1.0,1.0,C,2.0,X
B,KSUBSTR,2.0,3.0,C,74.0,X
B,KSUBSTRB,2.0,3.0,C,74.0,B
B,KSUBSTRN,2.0,3.0,C,75.0,B
B,KTRANSLATE,3.0,0.0,C,1170.0,X
B,KTRIM,1.0,1.0,C,2.0,X
B,KTRUNCATE,1.0,3.0,C,74.0,B
B,KUPCASE,1.0,1.0,C,2.0,X
B,KUPDATE,3.0,4.0,C,1226.0,X
B,KUPDATEB,3.0,4.0,C,1226.0,B
B,KUPDATES,3.0,4.0,C,1226.0,X
B,KURTOSIS,4.0,0.0,N,4681.0,X
B,KVERIFY,2.0,0.0,N,146.0,X
B,KVERIFYB,2.0,0.0,N,146.0,B
B,LABEL,2.0,2.0,B,51.0,B
B,LABEL,1.0,1.0,C,3.0,B
B,LAG,2.0,2.0,C,24.0,B
B,LARGEST,1.0,0.0,N,9.0,X
B,LBOUND,2.0,3.0,N,88.0,B
B,LCM,2.0,0.0,N,73.0,X
B,LCOMB,2.0,2.0,N,9.0,X
U,LDAPS_ADD,6.0,0.0,B,460166481.0,B
U,LDAPS_ATTRNAME,6.0,6.0,B,187465.0,B
U,LDAPS_ATTRVALUE,6.0,6.0,B,189001.0,B
U,LDAPS_CLOSE,2.0,2.0,B,41.0,B
U,LDAPS_COMPARE,6.0,6.0,B,185489.0,B
U,LDAPS_DELETE,3.0,3.0,B,337.0,B
U,LDAPS_ENTRY,5.0,5.0,B,23433.0,B
U,LDAPS_FREE,2.0,2.0,B,41.0,B
U,LDAPS_MODIFY,6.0,0.0,B,107857.0,B
U,LDAPS_OPEN,7.0,10.0,B,307569749.0,B
U,LDAPS_SEARCH,6.0,0.0,B,693417.0,B
U,LDAPS_SEARCH_PAGE,8.0,0.0,B,3593385.0,B
U,LDAPS_SETOPTIONS,7.0,9.0,B,39134281.0,B
B,LEFT,1.0,1.0,C,2.0,X
B,LENGTH,1.0,1.0,N,2.0,X
B,LENGTHC,1.0,1.0,N,2.0,X
B,LENGTHM,1.0,1.0,N,2.0,X
B,LENGTHN,1.0,1.0,N,2.0,X
U,LEXCOMB,3.0,0.0,B,1073741769.0,B
U,LEXCOMB,3.0,0.0,N,1073741769.0,B
U,LEXCOMBI,3.0,0.0,B,766958409.0,B
U,LEXCOMBI,3.0,0.0,N,766958409.0,B
U,LEXPERK,2.0,0.0,B,1073741769.0,B
U,LEXPERK,2.0,0.0,N,1073741769.0,B
U,LEXPERM,2.0,0.0,B,1073741817.0,B
U,LEXPERM,2.0,0.0,N,1073741817.0,B
B,LFACT,1.0,1.0,N,1.0,X
B,LGAMMA,1.0,1.0,N,1.0,X
U,LIBNAME,1.0,4.0,N,1170.0,B
U,LIBREF,1.0,1.0,N,2.0,B
U,LJUNGCV,2.0,3.0,N,137.0,B
B,LOG,1.0,1.0,N,1.0,X
B,LOG10,1.0,1.0,N,1.0,X
U,LOG1PX,1.0,1.0,N,1.0,X
B,LOG2,1.0,1.0,N,1.0,X
U,LOG4SAS_APPENDER,2.0,3.0,N,146.0,B
U,LOG4SAS_ENABLED,2.0,2.0,N,18.0,B
U,LOG4SAS_LOGEVENT,3.0,3.0,N,146.0,B
U,LOG4SAS_LOGGER,1.0,2.0,N,18.0,B
U,LOG4SAS_LOGRC,4.0,4.0,N,594.0,B
U,LOG4SAS_LOGRCS,5.0,5.0,N,8786.0,B
U,LOGBETA,2.0,2.0,N,9.0,X
U,LOGCDF,2.0,0.0,N,37450.0,X
U,LOGISTIC,1.0,0.0,B,5.0,B
U,LOGISTIC,1.0,1.0,N,1.0,X
U,LOGMPDFBETA1,3.0,3.0,N,74.0,B
U,LOGMPDFBETA2,3.0,3.0,N,74.0,B
U,LOGMPDFDIR1,3.0,0.0,N,37449.0,B
U,LOGMPDFDIR2,3.0,0.0,N,37449.0,B
U,LOGMPDFFREE,0.0,32767.0,N,2.0,B
U,LOGMPDFGAMMA,3.0,3.0,N,138.0,B
U,LOGMPDFIWISHART,3.0,3.0,N,138.0,B
U,LOGMPDFMULTINOM,2.0,0.0,N,37449.0,B
U,LOGMPDFNORMAL,3.0,0.0,N,201.0,B
U,LOGMPDFSET,2.0,0.0,N,37450.0,B
U,LOGMPDFSETSQ,2.0,0.0,N,37450.0,B
U,LOGMPDFT,3.0,0.0,N,201.0,B
U,LOGMPDFWISHART,3.0,3.0,N,138.0,B
U,LOGPDF,2.0,0.0,N,37450.0,X
U,LOGPMF,2.0,0.0,N,37450.0,X
U,LOGSDF,2.0,0.0,N,37450.0,X
B,LOWCASE,1.0,1.0,C,2.0,X
B,LPERM,1.0,2.0,N,9.0,X
B,LPNORM,2.0,0.0,N,73.0,B
B,MAD,1.0,0.0,N,9.0,X
U,MARGRCLPRC,6.0,6.0,N,37449.0,X
U,MARGRPTPRC,6.0,6.0,N,37449.0,X
B,MAX,1.0,0.0,N,1.0,X
U,MD5,1.0,1.0,C,2.0,B
B,MDY,3.0,3.0,N,73.0,X
B,MEAN,1.0,0.0,N,9.0,X
B,MEDIAN,1.0,0.0,N,9.0,X
U,MEST,6.0,6.0,N,37450.0,B
U,METADATA_APPPROP,2.0,2.0,C,18.0,B
U,METADATA_DELASSN,2.0,2.0,N,18.0,B
U,METADATA_DELOBJ,1.0,1.0,N,2.0,B
U,METADATA_GETATTR,3.0,3.0,N,402.0,B
U,METADATA_GETNASL,3.0,3.0,N,394.0,B
U,METADATA_GETNASN,4.0,4.0,N,3154.0,B
U,METADATA_GETNASS,4.0,4.0,N,3154.0,B
U,METADATA_GETNATR,4.0,4.0,N,3466.0,B
U,METADATA_GETNOBJ,3.0,3.0,N,394.0,B
U,METADATA_GETNPRP,4.0,4.0,N,3466.0,B
U,METADATA_GETNTYP,2.0,2.0,N,49.0,B
U,METADATA_GETPROP,3.0,4.0,N,3474.0,B
U,METADATA_GETURI,2.0,6.0,N,224690.0,B
U,METADATA_NEWOBJ,2.0,6.0,N,74930.0,B
U,METADATA_PASSID,1.0,2.0,B,18.0,B
U,METADATA_PATHOBJ,5.0,5.0,N,9362.0,B
U,METADATA_PAUSED,0.0,0.0,N,0.0,B
U,METADATA_PURGE,0.0,1.0,N,2.0,B
U,METADATA_RESOLVE,3.0,3.0,N,434.0,B
U,METADATA_SETASSN,4.0,-1.0,N,306783378.0,B
U,METADATA_SETATTR,3.0,3.0,N,146.0,B
U,METADATA_SETPROP,3.0,4.0,N,3218.0,B
U,METADATA_VERSION,0.0,0.0,N,0.0,B
U,METASEC_APPLYACT,2.0,4.0,N,658.0,B
U,METASEC_BEGTRAN,3.0,3.0,N,142.0,B
U,METASEC_DELACT,2.0,2.0,N,18.0,B
U,METASEC_ENDTRAN,3.0,3.0,N,82.0,B
U,METASEC_GETACTA,4.0,4.0,N,1170.0,B
U,METASEC_GETNACT,6.0,7.0,N,486482.0,B
U,METASEC_GETNACTA,5.0,5.0,N,11346.0,B
U,METASEC_GETNAUTH,8.0,10.0,N,299592786.0,B
U,METASEC_GETNID,5.0,8.0,N,4779090.0,B
U,METASEC_LDUMP,6.0,6.0,N,74834.0,B
U,METASEC_NEWACT,3.0,-1.0,N,306783378.0,B
U,METASEC_REMACT,3.0,4.0,N,658.0,B
U,METASEC_SETACTA,4.0,4.0,N,1170.0,B
U,METASEC_SETAUTH,7.0,8.0,N,2696338.0,B
B,MIN,1.0,0.0,N,1.0,X
B,MINUTE,1.0,1.0,N,1.0,X
B,MISSING,1.0,0.0,B,7.0,X
B,MISSING,1.0,1.0,N,3.0,X
B,MOD,2.0,3.0,N,9.0,X
U,MODEXIST,1.0,1.0,N,2.0,B
U,MODULE,1.0,-1.0,B,460175066.0,B
U,MODULEC,1.0,-1.0,C,460175066.0,B
U,MODULEI,1.0,999.0,B,0.0,I
U,MODULEIC,1.0,999.0,C,1.0,I
U,MODULEIN,1.0,999.0,N,1.0,I
U,MODULEN,1.0,-1.0,N,460175066.0,B
B,MODZ,2.0,2.0,N,9.0,X
U,MONOTONIC,0.0,32.0,N,0.0,B
U,MONOTONIC_EXEC,0.0,32.0,N,0.0,B
U,MONOTONIC_KERNEL,0.0,32.0,N,0.0,B
B,MONTH,1.0,1.0,N,1.0,X
U,MOPEN,2.0,5.0,N,8849.0,B
B,MORT,4.0,4.0,N,585.0,X
U,MQBACK,3.0,3.0,B,361.0,B
U,MQCLOSE,5.0,5.0,B,23209.0,B
U,MQCMIT,3.0,3.0,B,361.0,B
U,MQCONN,4.0,4.0,B,2922.0,B
U,MQDISC,3.0,3.0,B,365.0,B
U,MQFREE,1.0,1.0,B,1.0,B
U,MQGET,7.0,7.0,B,1495625.0,B
U,MQGETPARMS,3.0,0.0,B,1073741801.0,B
U,MQGMO,3.0,0.0,B,460174677.0,B
U,MQINQ,6.0,0.0,B,1073720137.0,B
U,MQMAP,3.0,0.0,B,306783405.0,B
U,MQMD,3.0,0.0,B,460174677.0,B
U,MQOD,3.0,0.0,B,460174677.0,B
U,MQOPEN,6.0,0.0,B,766958217.0,B
U,MQPMO,3.0,0.0,B,460174677.0,B
U,MQPUT,7.0,0.0,B,766939721.0,B
U,MQPUT1,7.0,0.0,B,758551113.0,B
U,MQRMH,3.0,0.0,B,460174677.0,B
U,MQSET,6.0,0.0,B,460172105.0,B
U,MQSETPARMS,4.0,0.0,B,460175181.0,B
U,MSPLINT,4.0,0.0,N,153391689.0,B
U,MVALID,3.0,4.0,N,1170.0,B
B,N,1.0,0.0,N,9.0,X
B,NETPV,4.0,0.0,N,4681.0,X
U,NHOLIDATA,1.0,2.0,B,18.0,B
U,NHOLIDAY,2.0,3.0,N,138.0,B
U,NHOLIDESC,1.0,3.0,C,153.0,B
U,NHOLIDLEN,2.0,3.0,N,138.0,B
U,NHOLINAME,1.0,3.0,C,153.0,B
U,NHOLINUM,1.0,2.0,N,17.0,B
B,NINVALID,1.0,2.0,N,18.0,B
U,NLDATE,2.0,3.0,C,145.0,B
U,NLDATEI,2.0,3.0,N,146.0,B
U,NLDATM,2.0,3.0,C,145.0,B
U,NLDATMI,2.0,3.0,N,146.0,B
U,NLDATRST,1.0,2.0,C,18.0,B
U,NLDATSTR,1.0,2.0,C,18.0,B
B,NLITERAL,1.0,1.0,C,2.0,B
U,NLMNYCODE,1.0,1.0,N,2.0,B
U,NLMNYDESC,1.0,1.0,C,10.0,B
U,NLTIME,2.0,3.0,C,145.0,B
B,NMISS,1.0,0.0,N,9.0,X
U,NOMRATE,2.0,2.0,N,10.0,X
B,NORMAL,1.0,1.0,N,1.0,B
B,NOTALNUM,1.0,2.0,N,10.0,X
B,NOTALPHA,1.0,2.0,N,10.0,X
B,NOTCNTRL,1.0,2.0,N,10.0,X
B,NOTDIGIT,1.0,2.0,N,10.0,X
U,NOTE,1.0,1.0,N,1.0,B
B,NOTFIRST,1.0,2.0,N,10.0,X
B,NOTGRAPH,1.0,2.0,N,10.0,X
B,NOTLOWER,1.0,2.0,N,10.0,X
B,NOTNAME,1.0,2.0,N,10.0,X
B,NOTPRINT,1.0,2.0,N,10.0,X
B,NOTPUNCT,1.0,2.0,N,10.0,X
B,NOTSPACE,1.0,2.0,N,10.0,X
B,NOTUPPER,1.0,2.0,N,10.0,X
B,NOTWORD,1.0,2.0,N,10.0,B
B,NOTXDIGIT,1.0,2.0,N,10.0,X
B,NPV,4.0,0.0,N,4681.0,X
B,NULLIFY,1.0,0.0,B,7.0,B
B,NVALID,1.0,2.0,N,18.0,B
U,NWKDOM,4.0,4.0,N,585.0,X
U,OPEN,0.0,4.0,N,1106.0,B
U,OPENQUEUE,5.0,7.0,B,611501.0,B
B,ORDINAL,2.0,0.0,N,73.0,X
B,ORDINAL2,2.0,0.0,N,73.0,X
U,OWENQ,5.0,5.0,N,4681.0,B
U,PACKAGE_BEGIN,4.0,0.0,B,109205.0,B
U,PACKAGE_DESTROY,2.0,2.0,B,41.0,B
U,PACKAGE_END,2.0,2.0,B,41.0,B
U,PACKAGE_FIRST,8.0,11.0,B,985357673.0,B
U,PACKAGE_NEXT,8.0,11.0,B,985357673.0,B
U,PACKAGE_PUBLISH,5.0,0.0,B,9297.0,B
U,PACKAGE_TERM,2.0,2.0,B,41.0,B
U,PARSEMESSAGE,5.0,0.0,B,1073739117.0,B
U,PATHNAME,1.0,2.0,C,18.0,B
U,PATHNAME_COMMAND,1.0,1.0,N,2.0,B
U,PATHNAME_JOIN,4.0,4.0,N,3218.0,B
U,PATHNAME_LEXISTS,3.0,3.0,N,434.0,B
U,PATHNAME_SPLIT,4.0,4.0,N,3506.0,B
B,PCTL,2.0,0.0,N,73.0,X
B,PCTL1,2.0,0.0,N,73.0,X
B,PCTL2,2.0,0.0,N,73.0,X
B,PCTL3,2.0,0.0,N,73.0,X
B,PCTL4,2.0,0.0,N,73.0,X
B,PCTL5,2.0,0.0,N,73.0,X
U,PDF,2.0,0.0,N,37450.0,X
U,PEEK,1.0,2.0,N,9.0,B
U,PEEKC,1.0,2.0,C,9.0,B
U,PEEKCLONG,1.0,2.0,C,10.0,B
U,PEEKLONG,1.0,2.0,N,10.0,B
B,PERM,1.0,2.0,N,9.0,X
U,PMF,2.0,0.0,N,37450.0,X
U,PMT,3.0,5.0,N,4681.0,X
U,POINT,2.0,2.0,N,9.0,B
B,POISSON,2.0,2.0,N,9.0,X
U,POKE,2.0,4.0,B,587.0,B
U,POKELONG,2.0,4.0,B,595.0,B
U,PPMT,4.0,6.0,N,37449.0,X
U,PROBACC2,6.0,7.0,N,299593.0,B
B,PROBBETA,3.0,3.0,N,73.0,X
B,PROBBNML,3.0,3.0,N,73.0,X
U,PROBBNRM,3.0,3.0,N,73.0,X
B,PROBCHI,2.0,3.0,N,73.0,X
U,PROBDF,2.0,4.0,N,1097.0,X
B,PROBF,3.0,4.0,N,585.0,X
B,PROBGAM,2.0,2.0,N,9.0,X
B,PROBHYPR,4.0,5.0,N,4681.0,X
B,PROBIT,1.0,1.0,N,1.0,X
U,PROBMC,5.0,0.0,N,37450.0,X
U,PROBMED,2.0,2.0,N,9.0,X
B,PROBNEGB,3.0,3.0,N,73.0,X
B,PROBNORM,1.0,1.0,N,1.0,X
B,PROBT,2.0,3.0,N,73.0,X
U,PROPCASE,1.0,3.0,C,146.0,X
U,PRXCHANGE,3.0,7.0,B,1498253.0,B
U,PRXCHANGE,3.0,3.0,C,139.0,X
U,PRXDEBUG,1.0,1.0,B,1.0,B
U,PRXFREE,1.0,1.0,B,5.0,X
U,PRXMATCH,2.0,2.0,N,19.0,X
U,PRXNEXT,5.0,6.0,B,185453.0,B
U,PRXPAREN,1.0,1.0,N,5.0,B
U,PRXPARSE,1.0,1.0,N,2.0,X
U,PRXPOSN,3.0,4.0,B,2893.0,B
U,PRXPOSN,3.0,3.0,C,141.0,X
U,PRXSUBSTR,3.0,4.0,B,2901.0,B
U,PSEUDOL10N,2.0,2.0,C,18.0,X
U,PTRLONGADD,2.0,2.0,C,10.0,B
B,PUTC,2.0,4.0,C,594.0,X
B,PUTN,2.0,4.0,C,593.0,X
U,PVP,6.0,6.0,N,37449.0,X
U,QQPSWDE,1.0,1.0,C,2.0,B
U,QQPSWEN,1.0,1.0,C,2.0,B
B,QTR,1.0,1.0,N,1.0,X
U,QUANTILE,2.0,0.0,N,37450.0,X
B,QUOTE,1.0,2.0,C,18.0,X
B,RANBIN,4.0,4.0,B,2637.0,B
B,RANBIN,3.0,3.0,N,73.0,B
B,RANCAU,2.0,2.0,B,45.0,B
B,RANCAU,1.0,1.0,N,1.0,B
B,RANCOMB,3.0,0.0,B,1741.0,B
U,RAND,1.0,0.0,N,37450.0,X
U,RANDPERK,2.0,0.0,B,1073741817.0,X
U,RANDPERK,2.0,0.0,N,1073741817.0,X
U,RANDPERM,1.0,0.0,B,1073741823.0,X
U,RANDPERM,1.0,0.0,N,1073741823.0,X
B,RANEXP,2.0,2.0,B,45.0,B
B,RANEXP,1.0,1.0,N,1.0,B
B,RANGAM,3.0,3.0,B,333.0,B
B,RANGAM,2.0,2.0,N,9.0,B
B,RANGE,1.0,0.0,N,9.0,X
B,RANK,1.0,1.0,N,2.0,X
B,RANNOR,2.0,2.0,B,45.0,B
B,RANNOR,1.0,1.0,N,1.0,B
B,RANNORM,2.0,0.0,B,45.0,B
B,RANNORM,1.0,1.0,N,1.0,B
B,RANPERK,3.0,0.0,B,4045.0,B
B,RANPERM,2.0,0.0,B,509.0,B
B,RANPOI,3.0,3.0,B,333.0,B
B,RANPOI,2.0,2.0,N,9.0,B
B,RANTBL,3.0,0.0,B,589.0,B
B,RANTBL,2.0,0.0,N,73.0,B
B,RANTRI,3.0,3.0,B,333.0,B
B,RANTRI,2.0,2.0,N,9.0,B
B,RANUNI,2.0,2.0,B,45.0,B
B,RANUNI,1.0,1.0,N,1.0,B
U,RECEIVEMESSAGE,5.0,0.0,B,460172205.0,B
B,RECIP,1.0,1.0,N,1.0,X
U,REGIS_GETBOOL,2.0,2.0,N,18.0,B
U,REGIS_GETCHAR,2.0,2.0,C,18.0,B
U,REGIS_GETINT,2.0,2.0,N,18.0,B
U,REGIS_GETNUM,2.0,2.0,N,18.0,B
U,REGIS_PUTCHAR,2.0,3.0,B,146.0,B
U,REGIS_PUTCHAR,2.0,3.0,N,146.0,B
U,REGIS_PUTINT,3.0,3.0,B,82.0,B
U,REGIS_PUTINT,3.0,3.0,N,82.0,B
U,REGIS_PUTNUM,3.0,3.0,B,82.0,B
U,REGIS_PUTNUM,3.0,3.0,N,82.0,B
U,RENAME,2.0,6.0,N,42130.0,B
B,REPEAT,2.0,2.0,C,10.0,X
B,RESOLVE,1.0,1.0,C,2.0,B
U,RETRIEVE_CATALOG,4.0,4.0,B,2705.0,B
U,RETRIEVE_DATASET,4.0,0.0,B,306784913.0,B
U,RETRIEVE_DMDB,4.0,4.0,B,2705.0,B
U,RETRIEVE_FDB,4.0,4.0,B,2705.0,B
U,RETRIEVE_FILE,3.0,3.0,B,337.0,B
U,RETRIEVE_HTML,11.0,0.0,B,1054567825.0,B
U,RETRIEVE_MDDB,4.0,4.0,B,2705.0,B
U,RETRIEVE_NESTED,7.0,7.0,B,1531241.0,B
U,RETRIEVE_PACKAGE,5.0,0.0,B,613013.0,B
U,RETRIEVE_REF,4.0,4.0,B,2705.0,B
U,RETRIEVE_SQLVIEW,4.0,4.0,B,2705.0,B
U,RETRIEVE_VIEWER,3.0,5.0,B,9553.0,B
B,REVERSE,1.0,1.0,C,2.0,X
U,REWIND,1.0,1.0,N,1.0,B
B,RIGHT,1.0,1.0,C,2.0,X
B,RMS,1.0,0.0,N,9.0,X
B,ROUND,1.0,2.0,N,9.0,X
B,ROUNDE,1.0,2.0,N,9.0,X
B,ROUNDZ,1.0,2.0,N,9.0,X
U,RTFENCODE,1.0,2.0,C,10.0,B
U,RTFENUNI,1.0,2.0,C,10.0,B
U,RXCHANGE,3.0,7.0,B,1498251.0,B
U,RXCHANGE,3.0,7.0,C,139.0,B
U,RXCHECK,0.0,4.0,B,594.0,B
U,RXFREE,1.0,1.0,B,5.0,B
U,RXMATCH,2.0,3.0,B,147.0,B
U,RXMATCH,2.0,3.0,N,147.0,B
U,RXNEXT,5.0,7.0,B,1496427.0,B
U,RXPARSE,1.0,2.0,N,18.0,B
U,RXPATMOD,1.0,0.0,N,2.0,B
U,RXPATTERN,1.0,0.0,N,2.0,B
U,RXSHOW,0.0,2.0,B,11.0,B
U,RXSTYLE,0.0,2.0,B,27.0,B
U,RXSUBSTR,3.0,5.0,B,23381.0,B
U,SASMSG,2.0,0.0,C,306783378.0,B
U,SASMSGL,3.0,0.0,C,306783378.0,B
B,SASVER,0.0,0.0,C,0.0,B
B,SAVING,4.0,4.0,N,585.0,X
U,SAVINGS,8.0,0.0,N,2433609.0,X
B,SCAN,4.0,6.0,B,76618.0,X
B,SCAN,2.0,4.0,C,1162.0,X
B,SCANQ,4.0,6.0,B,76618.0,X
B,SCANQ,2.0,4.0,C,1162.0,X
U,SCHED_CANCEL,1.0,1.0,N,1.0,B
U,SCHED_DELETE,1.0,1.0,N,1.0,B
U,SCHED_GETID,1.0,1.0,C,1.0,B
U,SCHED_GETJOB,4.0,4.0,N,1170.0,B
U,SCHED_GETLOG,5.0,5.0,C,9297.0,B
U,SCHED_GETNAME,1.0,1.0,C,1.0,B
U,SCHED_GETSTATUS,1.0,1.0,C,1.0,B
U,SCHED_NEWJOB,5.0,5.0,N,9362.0,B
U,SCHED_RUNCAL,1.0,4.0,N,657.0,B
U,SCHED_RUNMAN,1.0,1.0,N,1.0,B
U,SCHED_RUNNOW,1.0,1.0,N,1.0,B
U,SCHED_TIMEEVENT,5.0,5.0,N,9361.0,B
U,SCMXXFPH,3.0,3.0,C,146.0,B
U,SCMXXMDR,2.0,2.0,C,18.0,B
U,SCMXXSPH,1.0,1.0,C,2.0,B
U,SDF,2.0,0.0,N,37450.0,X
U,SDGETCDF,2.0,2.0,N,8.0,B
U,SDGETPDF,2.0,2.0,N,8.0,B
U,SDGETQUANTILE,2.0,2.0,N,8.0,B
U,SDGETRANDOM,1.0,1.0,N,0.0,B
B,SEC,1.0,1.0,N,1.0,X
B,SECOND,1.0,1.0,N,1.0,X
U,SEECHAR,1.0,2.0,C,18.0,X
U,SEENUM,1.0,2.0,N,17.0,X
U,SENDMESSAGE,3.0,0.0,B,460175021.0,B
U,SESSBUSY,1.0,1.0,N,2.0,B
U,SESSFOUND,1.0,1.0,N,2.0,B
U,SET,1.0,1.0,B,1.0,B
U,SETALIAS,5.0,6.0,B,76434.0,B
U,SETLOCALE,1.0,2.0,C,18.0,B
U,SETMAP,4.0,4.0,B,1362.0,B
U,SETMODEL,6.0,0.0,B,460171922.0,B
U,SHA256,1.0,1.0,C,2.0,B
U,SHA256HEX,1.0,2.0,C,10.0,B
U,SHA256HMACHEX,2.0,3.0,C,82.0,B
B,SIGN,1.0,1.0,N,1.0,X
B,SIGNUM,2.0,2.0,N,9.0,X
B,SIN,1.0,1.0,N,1.0,X
B,SINH,1.0,1.0,N,1.0,X
B,SKEWNESS,3.0,0.0,N,585.0,X
B,SLEEP,1.0,2.0,B,9.0,X
B,SLEEP,1.0,2.0,N,9.0,X
B,SMALLEST,1.0,0.0,N,9.0,X
U,SOAPWEB,2.0,14.0,N,287909010.0,B
U,SOAPWEBMETA,2.0,12.0,N,306488466.0,B
U,SOAPWIPSERVICE,2.0,11.0,N,290006162.0,B
U,SOAPWIPSRS,3.0,10.0,N,304686226.0,B
U,SOAPWS,2.0,13.0,N,304424082.0,B
U,SOAPWSMETA,2.0,12.0,N,306488466.0,B
U,SOFTMAX,1.0,0.0,B,5.0,B
U,SORT,1.0,0.0,B,1073741823.0,X
U,SORT,1.0,0.0,N,1073741823.0,X
U,SORTC,1.0,0.0,B,1073741823.0,X
U,SORTC,1.0,0.0,N,1073741823.0,X
U,SORTCX,1.0,0.0,B,1073741823.0,B
U,SORTCX,1.0,0.0,N,1073741823.0,B
B,SORTH,1.0,0.0,B,63.0,B
U,SORTKEY,1.0,9.0,C,38347922.0,B
U,SORTKEYT,1.0,9.0,C,38347922.0,B
U,SORTN,1.0,0.0,B,1073741823.0,X
U,SORTN,1.0,0.0,N,1073741823.0,X
U,SORTNX,1.0,0.0,B,1073741823.0,B
U,SORTNX,1.0,0.0,N,1073741823.0,B
B,SOUND,2.0,2.0,B,9.0,B
U,SOUNDEX,1.0,1.0,C,2.0,B
U,SPEDIS,2.0,2.0,N,18.0,X
B,SQRT,1.0,1.0,N,1.0,X
U,SQUANTILE,2.0,0.0,N,37450.0,X
B,STD,2.0,0.0,N,73.0,X
B,STDERR,2.0,0.0,N,73.0,X
B,STDIZE,1.0,0.0,B,27.0,B
U,STDMED,1.0,1.0,N,1.0,B
U,STEPTITLE,1.0,1.0,N,10.0,B
B,STFIPS,1.0,1.0,N,2.0,B
B,STNAME,1.0,1.0,C,2.0,B
B,STNAMEL,1.0,1.0,C,2.0,B
U,STPSRVGETC,1.0,1.0,C,2.0,B
U,STPSRVGETN,1.0,1.0,N,2.0,B
U,STPSRVSET,2.0,2.0,N,10.0,B
U,STPSRV_HEADER,2.0,3.0,C,146.0,B
U,STPSRV_SESSION,1.0,2.0,N,10.0,B
U,STPSRV_UNQUOTE,1.0,1.0,B,6.0,B
U,STPSRV_UNQUOTE2,1.0,1.0,B,6.0,B
U,STPSRX_FILENAME,2.0,4.0,N,1170.0,B
U,STPSRX_LIBTEMP,2.0,2.0,N,18.0,B
U,STPSRX_RMTXEND,1.0,2.0,N,17.0,B
U,STREAM,1.0,1.0,B,1.0,X
U,STREAM,1.0,1.0,N,1.0,X
U,STREAMDUMP,0.0,1.0,B,1.0,X
U,STREAMDUMP,0.0,1.0,N,1.0,X
U,STREAMINIT,1.0,3.0,B,219.0,X
U,STREAMINIT,1.0,3.0,N,219.0,X
U,STREAMREWIND,0.0,1.0,B,1.0,X
U,STREAMREWIND,0.0,1.0,N,1.0,X
U,STREWIND,1.0,2.0,B,9.0,X
B,STRIP,1.0,1.0,C,2.0,X
B,SUBPAD,2.0,3.0,C,74.0,B
B,SUBSTR,2.0,3.0,C,74.0,X
B,SUBSTRN,2.0,3.0,C,75.0,X
B,SUM,1.0,0.0,N,9.0,X
B,SUMABS,1.0,0.0,N,9.0,X
B,SYMDEL,1.0,2.0,B,18.0,B
B,SYMEXIST,1.0,2.0,N,18.0,B
B,SYMGET,1.0,1.0,C,2.0,B
B,SYMGETC,1.0,3.0,C,146.0,B
B,SYMGETN,1.0,3.0,N,138.0,B
B,SYMGLOBL,1.0,2.0,N,18.0,B
B,SYMLOCAL,1.0,2.0,N,18.0,B
B,SYMPUT,2.0,2.0,B,18.0,B
B,SYMPUTX,2.0,3.0,B,154.0,B
U,SYNCOSCMD,1.0,1.0,N,1.0,B
B,SYSEXEC,1.0,2.0,B,10.0,B
B,SYSEXEC,1.0,1.0,N,2.0,B
U,SYSEXIST,1.0,1.0,N,2.0,B
B,SYSGET,1.0,1.0,C,2.0,X
U,SYSMSG,0.0,0.0,C,0.0,B
B,SYSOTAY,1.0,3.0,N,82.0,B
B,SYSPARM,0.0,0.0,C,0.0,B
U,SYSPROCESSID,0.0,0.0,C,0.0,B
U,SYSPROCESSNAME,0.0,1.0,C,2.0,B
B,SYSPROD,1.0,3.0,N,82.0,B
U,SYSRC,0.0,0.0,N,0.0,B
B,SYSTEM,1.0,2.0,B,10.0,B
B,SYSTEM,1.0,1.0,N,2.0,B
